Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),831.19,0.00,1840.35,,,,,,745.44,,1501.39,1524.53,1611.08,530.15
Active Decode Throughput Per User (tokens/sec/user),94.42,0.00,294.85,,,,,,92.00,,124.38,131.41,135.09,20.62
Active Prefill Throughput (tokens/sec),417.08,107.68,2502.83,,,,,,331.17,,694.52,904.54,2502.83,316.34
Active Prefill Throughput Per User (tokens/sec/user),340.12,98.14,983.87,,,,,,302.68,,561.55,683.14,781.55,157.20
Active Total Throughput (tokens/sec),861.37,77.39,2502.83,,,,,,776.65,,1478.33,1636.61,1958.33,562.25
Credit-to-Start Latency (ms),1.71,0.56,13.00,218.85,0.57,0.61,0.65,0.76,1.01,1.61,3.60,4.78,10.65,1.89
Decode Duration (ms),44257.60,1333.22,431429.45,5664972.40,2128.11,2880.12,3873.70,6110.71,10731.11,34744.26,95834.63,286400.75,385821.13,86404.95
E2E Output Token Throughput (tokens/sec/user),92.84,44.98,120.38,11883.11,64.88,77.61,80.69,87.62,92.90,99.79,104.99,108.84,117.77,10.66
Effective Concurrency,9.44,0.00,16.00,,,,,,9.00,,16.00,16.00,16.00,5.87
Effective Decode Concurrency,9.34,0.00,16.00,,,,,,9.00,,16.00,16.00,16.00,5.79
Effective Decode Throughput (tokens/sec),830.45,0.00,1840.35,,,,,,745.31,,1501.33,1524.48,1611.08,530.49
Effective Decode Throughput Per User (tokens/sec/user),94.34,0.00,294.85,,,,,,91.99,,124.35,131.41,135.09,20.80
Effective Latency (CO-aware) (ms),44744.00,1858.82,431842.67,5727232.03,2782.62,3332.55,4378.40,6615.80,11180.22,35217.73,96226.64,286801.39,386262.76,86394.52
Effective Prefill Concurrency,0.10,0.00,16.00,,,,,,0.00,,0.00,1.00,2.00,0.61
Effective Prefill Throughput (tokens/sec),30.85,0.00,2502.83,,,,,,0.00,,0.00,279.27,626.37,139.00
Effective Prefill Throughput Per User (tokens/sec/user),25.16,0.00,983.87,,,,,,0.00,,0.00,258.93,540.90,98.76
Effective Total Throughput (tokens/sec),861.31,0.00,2502.83,,,,,,776.65,,1478.33,1636.61,1958.33,562.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1028.13,34.00,9444.00,131601.00,52.70,71.35,96.40,150.50,249.00,841.00,2270.20,6598.55,9142.97,1968.14
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),442.86,15.62,4058.34,56686.01,23.75,31.54,42.34,65.27,107.97,363.88,975.68,2842.48,3927.60,846.93
HTTP Data Sent (KB),0.59,0.25,1.49,75.20,0.27,0.30,0.35,0.42,0.54,0.71,0.89,1.03,1.37,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),44742.23,1858.09,431841.67,5727005.72,2781.74,3331.76,4377.05,6613.86,11179.19,35216.01,96225.26,286800.31,386262.01,86394.53
HTTP Receiving (ms),44261.31,1333.22,431432.12,5665448.01,2128.12,2880.13,3873.70,6121.28,10731.12,34744.27,95834.63,286400.75,385821.87,86404.93
HTTP Sending (ms),0.13,0.11,0.22,16.42,0.11,0.11,0.11,0.12,0.12,0.13,0.17,0.18,0.21,0.02
HTTP Total Time (ms),44742.23,1858.09,431841.67,5727005.72,2781.74,3331.76,4377.05,6613.86,11179.19,35216.01,96225.26,286800.31,386262.01,86394.53
HTTP Waiting (TTFB) (ms),480.79,363.82,685.89,61541.29,366.56,369.34,373.99,406.83,452.44,532.71,645.55,685.52,685.85,93.38
Input Sequence Length (tokens),146.27,50.00,403.00,18722.00,51.54,60.70,78.70,98.75,131.00,172.00,246.20,280.90,327.03,66.49
Inter Chunk Latency (ms),43.09,23.05,190647.23,5664972.40,28.49,33.28,34.84,40.21,41.09,41.52,42.02,44.00,89.92,611.65
Inter Token Latency (ms),10.35,7.80,22.21,1325.37,7.85,8.62,8.82,9.46,10.26,10.99,11.63,12.18,14.64,1.57
Output Sequence Length (tokens),3937.70,142.00,33652.00,504026.00,218.43,307.40,378.10,636.75,1052.50,3157.75,9146.60,23436.35,33606.57,7402.30
Output Token Count (tokens),202.10,3.00,521.00,25263.00,50.16,81.20,105.40,136.00,185.00,243.00,328.80,389.40,512.92,97.02
Output Token Throughput Per User (tokens/sec/user),98.28,45.02,128.22,12579.28,68.33,82.14,86.02,91.02,97.50,105.73,113.39,115.96,127.32,11.98
Prefill Throughput Per User (tokens/sec/user),320.35,72.88,983.87,41004.81,81.81,112.38,137.66,199.94,287.49,399.80,556.04,682.85,778.86,167.01
Reasoning Token Count (tokens),3740.34,85.00,33652.00,478763.00,125.02,214.45,251.80,447.50,865.50,2956.00,8867.80,23204.10,33605.76,7405.41
Request Latency (ms),44738.58,1858.15,431839.05,5726538.34,2781.81,3331.81,4377.12,6571.82,11179.25,35216.07,96225.31,286800.36,386261.33,86394.55
Time to First Output Token (ms),31446.76,1576.01,314402.45,3899398.34,2119.87,2894.56,3657.49,5333.44,9332.93,28905.50,71745.45,157655.84,285389.61,57444.49
Time to First Token (ms),480.98,364.01,686.13,61565.94,366.74,369.52,374.16,407.02,452.62,532.90,645.81,685.79,686.09,93.40
Time to Second Token (ms),40.43,27.39,46.05,5174.60,32.35,38.02,38.49,39.93,40.84,41.22,41.48,41.74,45.59,2.04
Tokens In Flight (tokens),85446.88,0.00,168078.44,,,,,,79572.24,,151212.05,157970.34,165092.00,44233.82
Usage Completion Tokens (tokens),3937.70,142.00,33652.00,504026.00,218.43,307.40,378.10,636.75,1052.50,3157.75,9146.60,23436.35,33606.57,7402.30
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
