Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1704.94,0.00,13366.34,,,,,,1061.63,,3319.54,6605.05,11857.32,2287.51
Active Decode Throughput Per User (tokens/sec/user),32.95,0.00,403.56,,,,,,17.72,,103.49,148.40,153.76,39.86
Active Prefill Throughput (tokens/sec),90.19,0.15,14608.15,,,,,,10.96,,197.22,436.09,848.93,586.21
Active Prefill Throughput Per User (tokens/sec/user),0.88,0.15,69.92,,,,,,0.32,,2.01,3.89,7.55,2.63
Active Total Throughput (tokens/sec),1747.22,13.41,14608.15,,,,,,1011.02,,4437.74,7086.18,11582.84,2253.97
Credit-to-Start Latency (ms),1.78,0.49,33.96,888.97,0.54,0.60,0.65,0.85,1.12,1.85,2.63,3.13,16.79,2.91
Decode Duration (ms),142269.14,2323.17,849117.55,71134568.73,3880.14,5590.08,7462.78,12680.80,42731.92,201155.95,466301.25,517865.43,720654.21,189516.06
E2E Output Token Throughput (tokens/sec/user),39.14,0.52,100.38,19569.21,1.13,2.31,4.04,12.40,33.90,63.56,82.59,88.53,96.58,29.10
Effective Concurrency,100.05,0.00,256.00,,,,,,77.00,,237.00,256.00,256.00,78.36
Effective Decode Concurrency,75.57,0.00,176.00,,,,,,77.00,,144.00,160.00,171.00,48.03
Effective Decode Throughput (tokens/sec),1704.32,0.00,13366.34,,,,,,1061.30,,3318.37,6603.55,11857.32,2287.32
Effective Decode Throughput Per User (tokens/sec/user),32.93,0.00,403.56,,,,,,17.72,,103.49,148.40,153.76,39.85
Effective Latency (CO-aware) (ms),188367.14,3573.77,918445.43,94183567.74,5134.54,8522.06,11775.40,22832.98,68282.64,336191.21,544632.86,737467.35,833158.96,234798.90
Effective Prefill Concurrency,24.48,0.00,256.00,,,,,,0.00,,77.00,94.00,113.00,34.22
Effective Prefill Throughput (tokens/sec),42.87,0.00,14608.15,,,,,,0.00,,41.39,167.08,668.21,406.67
Effective Prefill Throughput Per User (tokens/sec/user),0.42,0.00,69.92,,,,,,0.00,,0.54,1.78,5.89,1.86
Effective Total Throughput (tokens/sec),1747.19,0.00,14608.15,,,,,,1011.02,,4437.74,7086.18,11582.84,2253.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,665.64,38.00,7803.00,332818.00,55.99,83.95,109.90,172.00,311.00,675.50,1626.10,2600.00,4755.59,969.44
HTTP Chunks Sent,1.00,1.00,1.00,500.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.95,0.00,24.91,976.50,0.00,0.00,0.00,0.00,0.00,1.14,7.25,9.61,23.23,4.20
HTTP Connection Overhead (ms),2.21,0.00,31.93,1105.45,0.00,0.00,0.00,0.00,0.00,1.14,7.25,14.88,23.23,4.97
HTTP Connection Reused (ratio),0.52,0.00,1.00,260.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),285.47,17.23,3354.12,142735.67,25.01,37.17,47.93,74.41,133.51,289.63,694.75,1108.74,2046.38,414.94
HTTP Data Sent (KB),0.32,0.14,1.92,160.54,0.15,0.17,0.18,0.22,0.27,0.36,0.52,0.64,0.88,0.18
HTTP DNS Lookup (ms),0.26,0.00,10.17,128.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.54,1.44
HTTP Duration (excl. conn) (ms),188365.30,3572.93,918444.71,94182647.56,5133.51,8521.01,11774.30,22832.04,68281.09,336188.89,544631.79,737466.48,833156.79,234799.09
HTTP Receiving (ms),142281.75,2323.17,849117.55,71140875.36,3880.14,5607.45,7467.06,12696.45,42731.92,201226.38,466356.79,517865.43,720654.21,189516.74
HTTP Sending (ms),2.09,0.10,25.15,1045.40,0.11,0.11,0.11,0.12,0.22,1.31,7.42,9.76,23.29,4.21
HTTP Total Time (ms),188367.51,3573.23,918444.71,94183753.01,5133.52,8525.42,11774.67,22834.86,68296.00,336194.29,544631.79,737466.48,833156.79,234798.05
HTTP Waiting (TTFB) (ms),46081.45,326.13,384975.01,23040726.81,603.55,667.03,677.45,946.90,15450.55,24232.85,187001.86,313148.26,354812.94,90274.31
Input Sequence Length (tokens),80.72,18.00,768.00,40360.00,24.00,30.00,33.00,44.00,61.00,88.25,147.20,206.30,339.15,73.14
Inter Chunk Latency (ms),214.11,22.75,502234.20,71134568.73,40.47,46.21,57.30,63.34,81.31,87.64,90.75,92.69,97.17,5087.02
Inter Token Latency (ms),61.55,9.16,1402.70,30777.12,9.36,10.37,10.82,12.07,17.09,44.79,165.13,265.83,613.18,125.48
Output Sequence Length (tokens),3209.88,172.00,33710.00,1604940.00,315.61,465.90,574.80,911.50,1616.00,3357.00,7741.90,12638.55,22366.28,4427.09
Output Token Count (tokens),508.63,40.00,1669.00,253297.00,64.94,152.85,202.80,285.00,426.50,670.50,933.50,1111.00,1390.00,296.78
Output Token Throughput Per User (tokens/sec/user),53.75,0.71,109.22,26875.90,1.63,3.76,6.06,22.33,58.52,82.88,92.44,96.47,106.81,32.35
Prefill Throughput Per User (tokens/sec/user),30.78,0.07,835.64,15391.05,0.11,0.21,0.48,1.99,4.62,44.81,92.21,128.26,267.54,60.87
Reasoning Token Count (tokens),2703.29,110.00,33710.00,1351643.00,177.84,283.90,349.30,598.75,1123.50,2639.25,6569.40,11589.25,21026.24,4257.21
Request Latency (ms),188352.75,3573.01,918444.76,94176373.74,5133.59,8521.07,11715.17,22784.36,68281.21,336188.96,544631.84,737466.53,833156.84,234799.12
Time to First Output Token (ms),169611.15,2202.26,913943.96,84466351.40,3330.97,5890.51,8651.55,19359.59,44856.37,269703.02,521554.33,727040.23,824347.79,227250.84
Time to First Token (ms),46083.61,326.43,384975.18,23041805.02,605.64,669.16,678.51,952.34,15450.74,24250.58,187002.03,313148.44,354813.11,90273.49
Time to Second Token (ms),67.21,27.62,89.05,33606.88,37.34,52.37,53.61,59.96,63.17,77.75,86.17,87.88,88.96,12.66
Tokens In Flight (tokens),215768.17,0.00,349575.14,,,,,,214375.09,,330371.34,336544.07,341502.93,104389.67
Usage Completion Tokens (tokens),3209.88,172.00,33710.00,1604940.00,315.61,465.90,574.80,911.50,1616.00,3357.00,7741.90,12638.55,22366.28,4427.09
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),80.72,18.00,768.00,40360.00,24.00,30.00,33.00,44.00,61.00,88.25,147.20,206.30,339.15,73.14
Usage Reasoning Tokens (tokens),2703.29,110.00,33710.00,1351643.00,177.84,283.90,349.30,598.75,1123.50,2639.25,6569.40,11589.25,21026.24,4257.21
Usage Total Tokens (tokens),3290.60,198.00,33792.00,1645300.00,348.47,500.90,628.70,958.50,1694.00,3444.25,7913.30,12938.20,22432.43,4452.28

Metric,Value
Benchmark Duration (sec),941.38
Input Token Throughput (tokens/sec),42.87
Output Token Throughput (tokens/sec),1704.85
Overall Usage Prompt Cache Read % (%),0.00
Request Count,500.00
Request Throughput (requests/sec),0.53
Total Input Sequence Length (tokens),40360.00
Total Output Sequence Length (tokens),1604940.00
Total Output Tokens (tokens),253297.00
Total Reasoning Tokens (tokens),1351643.00
Total Token Throughput (tokens/sec),1747.72
Total Usage Completion Tokens (tokens),1604940.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),40360.00
Total Usage Reasoning Tokens (tokens),1351643.00
Total Usage Total Tokens (tokens),1645300.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
