Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),878.49,0.00,1736.98,,,,,,785.79,,1433.49,1455.63,1523.06,479.74
Active Decode Throughput Per User (tokens/sec/user),84.96,0.00,272.59,,,,,,86.97,,118.76,122.89,127.92,24.67
Active Prefill Throughput (tokens/sec),74.07,16.19,423.22,,,,,,62.47,,100.67,132.59,423.22,49.35
Active Prefill Throughput Per User (tokens/sec/user),59.16,15.57,97.40,,,,,,59.21,,73.30,83.62,97.27,13.68
Active Total Throughput (tokens/sec),882.69,16.19,1473.13,,,,,,990.57,,1358.71,1423.08,1454.96,469.19
Credit-to-Start Latency (ms),1.87,0.59,12.96,238.90,0.60,0.68,0.74,0.84,1.14,1.76,4.09,6.36,9.98,2.03
Decode Duration (ms),61791.73,2828.15,530935.65,7909340.97,3072.76,4273.96,5401.24,8283.14,15695.03,30990.04,199715.77,408371.89,507062.47,119991.87
E2E Output Token Throughput (tokens/sec/user),84.03,49.65,107.63,10755.53,56.81,66.91,71.76,78.44,84.39,91.50,97.07,98.40,104.58,10.01
Effective Concurrency,11.19,0.00,16.00,,,,,,14.00,,16.00,16.00,16.00,5.49
Effective Decode Concurrency,11.09,0.00,16.00,,,,,,13.00,,16.00,16.00,16.00,5.44
Effective Decode Throughput (tokens/sec),877.66,0.00,1736.98,,,,,,785.32,,1433.48,1455.62,1523.06,480.27
Effective Decode Throughput Per User (tokens/sec/user),84.88,0.00,272.59,,,,,,86.95,,118.76,122.88,127.89,24.80
Effective Latency (CO-aware) (ms),62363.73,3314.79,531474.32,7982558.06,3573.85,4780.66,6166.36,8799.22,16115.28,31562.24,200130.25,408944.35,507467.04,119953.62
Effective Prefill Concurrency,0.10,0.00,16.00,,,,,,0.00,,0.00,1.00,1.00,0.68
Effective Prefill Throughput (tokens/sec),4.97,0.00,423.22,,,,,,0.00,,0.00,54.25,90.99,22.52
Effective Prefill Throughput Per User (tokens/sec/user),3.97,0.00,97.40,,,,,,0.00,,0.00,51.17,72.03,15.22
Effective Total Throughput (tokens/sec),882.64,0.00,1473.13,,,,,,990.57,,1358.71,1423.08,1454.96,469.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1324.62,70.00,9612.00,169552.00,75.40,104.70,133.60,203.75,357.00,705.00,4396.90,8158.05,9580.65,2399.82
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),568.96,30.91,4124.52,72826.54,33.44,46.07,58.42,87.99,153.27,302.14,1889.88,3507.83,4109.53,1029.83
HTTP Data Sent (KB),0.20,0.16,0.27,25.54,0.17,0.17,0.18,0.18,0.20,0.21,0.23,0.24,0.26,0.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),62361.81,3313.51,531473.28,7982311.62,3568.93,4778.91,6164.91,8798.21,16114.37,31561.01,200129.07,408942.85,507463.75,119953.14
HTTP Receiving (ms),61800.10,2828.16,530940.17,7910412.79,3072.77,4273.97,5401.25,8283.15,15695.04,30990.05,199727.93,408375.61,507066.05,119990.21
HTTP Sending (ms),0.13,0.11,0.21,16.47,0.11,0.11,0.11,0.12,0.12,0.13,0.17,0.19,0.21,0.02
HTTP Total Time (ms),62361.81,3313.51,531473.28,7982311.62,3568.93,4778.91,6164.91,8798.21,16114.37,31561.01,200129.07,408942.85,507463.75,119953.14
HTTP Waiting (TTFB) (ms),561.58,361.40,1605.46,71882.37,364.08,366.68,370.51,407.25,483.04,534.38,716.82,1605.02,1605.27,313.96
Input Sequence Length (tokens),27.71,20.00,43.00,3547.00,20.00,23.00,23.00,25.00,27.00,30.00,32.30,36.00,41.73,4.12
Inter Chunk Latency (ms),46.69,22.85,202901.29,7909340.97,29.86,32.67,36.70,38.84,41.17,41.73,42.44,45.56,93.28,875.87
Inter Token Latency (ms),11.57,9.04,20.12,1480.42,9.19,9.50,9.93,10.53,11.41,12.25,13.03,13.77,17.40,1.61
Output Sequence Length (tokens),4892.09,238.00,33772.00,626188.00,315.10,441.00,535.70,766.50,1270.50,2599.25,15197.30,33669.90,33768.19,8969.15
Output Token Count (tokens),355.59,1.00,1008.00,43737.00,19.82,117.40,170.40,234.00,329.00,440.00,557.40,639.00,897.60,170.60
Output Token Throughput Per User (tokens/sec/user),87.90,49.71,110.61,11251.79,57.53,72.63,76.77,81.64,87.65,95.00,100.75,105.22,108.82,10.67
Prefill Throughput Per User (tokens/sec/user),56.80,14.33,97.40,7270.44,14.66,17.47,38.77,48.90,57.80,66.08,73.62,83.17,95.58,16.86
Reasoning Token Count (tokens),4550.40,135.00,33772.00,582451.00,141.75,198.30,278.10,417.25,1003.50,2410.50,14878.20,33474.25,33767.46,9004.28
Request Latency (ms),62353.50,3313.57,531468.83,7981248.07,3568.99,4778.96,6138.61,8767.04,16114.42,31561.07,200116.97,408939.20,507460.24,119954.79
Time to First Output Token (ms),39091.01,2102.80,528598.44,4730012.34,2299.35,3329.68,3518.15,5546.03,11110.26,21594.36,80937.28,189082.45,486365.50,87614.06
Time to First Token (ms),561.77,361.59,1605.73,71907.10,364.25,366.85,370.70,407.42,483.21,534.56,717.07,1605.26,1605.52,313.98
Time to Second Token (ms),140.92,27.86,899.47,18037.88,35.25,37.72,39.88,40.46,40.95,41.78,888.26,898.53,899.44,274.88
Tokens In Flight (tokens),120107.10,0.00,234420.17,,,,,,103067.25,,215032.76,221668.60,230547.46,73525.94
Usage Completion Tokens (tokens),4892.09,238.00,33772.00,626188.00,315.10,441.00,535.70,766.50,1270.50,2599.25,15197.30,33669.90,33768.19,8969.15
