Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),943.38,0.00,5521.63,,,,,,494.27,,2164.44,4282.40,4918.59,1157.54
Active Decode Throughput Per User (tokens/sec/user),70.55,0.00,300.76,,,,,,76.16,,114.67,136.04,138.65,30.88
Active Prefill Throughput (tokens/sec),600.34,11.58,2778.80,,,,,,408.71,,1279.44,2573.60,2778.80,631.51
Active Prefill Throughput Per User (tokens/sec/user),217.98,10.38,741.30,,,,,,211.19,,417.13,452.97,519.95,134.62
Active Total Throughput (tokens/sec),972.40,29.63,6360.70,,,,,,580.01,,2465.18,3853.80,5071.64,1164.01
Credit-to-Start Latency (ms),1.45,0.56,16.69,237.32,0.59,0.64,0.68,0.83,1.07,1.98,2.32,2.60,4.49,1.40
Decode Duration (ms),63699.12,2607.40,762037.45,10446655.45,3722.59,5075.56,6830.60,9704.95,15773.60,40384.67,171520.17,333049.64,687417.64,130333.38
E2E Output Token Throughput (tokens/sec/user),62.54,24.93,89.15,10256.06,25.18,31.38,35.24,48.32,69.74,75.68,78.77,81.71,84.93,16.91
Effective Concurrency,13.59,0.00,64.00,,,,,,8.00,,33.00,64.00,64.00,16.03
Effective Decode Concurrency,13.23,0.00,64.00,,,,,,8.00,,31.00,61.00,64.00,15.34
Effective Decode Throughput (tokens/sec),942.57,0.00,5521.63,,,,,,493.81,,2163.87,4239.63,4918.59,1157.37
Effective Decode Throughput Per User (tokens/sec/user),70.49,0.00,300.76,,,,,,76.14,,114.66,136.03,138.64,30.93
Effective Latency (CO-aware) (ms),65436.29,3203.47,762487.09,10731551.19,4268.86,6011.84,7944.93,11734.81,17962.47,41623.14,172711.35,333695.51,689344.90,130123.62
Effective Prefill Concurrency,0.36,0.00,64.00,,,,,,0.00,,0.00,0.00,4.00,3.83
Effective Prefill Throughput (tokens/sec),29.78,0.00,2778.80,,,,,,0.00,,0.00,0.00,818.05,191.75
Effective Prefill Throughput Per User (tokens/sec/user),10.81,0.00,741.30,,,,,,0.00,,0.00,0.00,320.51,56.02
Effective Total Throughput (tokens/sec),972.35,0.00,6360.70,,,,,,580.01,,2465.18,3853.80,5071.64,1164.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1194.26,53.00,16332.00,195859.00,65.30,86.30,100.30,159.75,289.00,795.75,3480.60,6795.20,10436.64,2445.64
HTTP Chunks Sent,1.00,1.00,1.00,164.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.77,0.00,5.25,126.59,0.00,0.00,0.00,0.00,0.00,0.60,2.76,4.96,5.18,1.53
HTTP Connection Overhead (ms),1.15,0.00,9.57,189.25,0.00,0.00,0.00,0.00,0.00,0.60,2.76,9.00,9.49,2.62
HTTP Connection Reused (ratio),0.71,0.00,1.00,116.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),514.12,23.89,7028.39,84315.48,29.13,37.99,43.87,69.41,124.45,341.83,1493.76,2931.22,4486.12,1052.83
HTTP Data Sent (KB),0.59,0.25,1.49,96.14,0.27,0.31,0.35,0.42,0.54,0.71,0.91,1.05,1.34,0.23
HTTP DNS Lookup (ms),0.38,0.00,4.34,62.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.99,4.28,1.17
HTTP Duration (excl. conn) (ms),65434.77,3202.49,762485.45,10731302.54,4267.01,6010.91,7944.22,11733.57,17961.48,41621.53,172709.73,333693.50,689343.75,130123.68
HTTP Receiving (ms),63706.54,2607.40,762040.34,10447873.34,3722.60,5075.56,6835.07,9704.95,15775.93,40397.78,171520.17,333138.57,687436.14,130335.82
HTTP Sending (ms),0.94,0.11,5.50,153.70,0.11,0.11,0.12,0.12,0.14,0.76,3.04,5.22,5.42,1.57
HTTP Total Time (ms),65435.93,3202.49,762485.45,10731491.79,4267.01,6010.91,7944.22,11733.57,17966.65,41627.13,172709.73,333693.50,689343.75,130123.32
HTTP Waiting (TTFB) (ms),1727.29,396.04,5438.27,283275.50,434.50,445.05,460.01,533.46,613.91,2596.50,5434.99,5435.41,5435.95,1646.94
Input Sequence Length (tokens),143.41,50.00,403.00,23520.00,52.26,63.30,78.30,98.75,129.00,166.75,237.70,280.40,323.07,64.19
Inter Chunk Latency (ms),53.39,22.24,395805.58,10446655.45,28.95,32.66,39.30,44.35,46.82,50.00,51.05,51.81,96.43,1091.62
Inter Token Latency (ms),15.46,10.83,25.96,2535.31,11.19,11.66,12.02,12.82,13.77,17.49,22.09,23.48,24.94,3.77
Output Sequence Length (tokens),4540.93,218.00,60811.00,744712.00,284.23,341.85,416.60,612.75,1103.50,2843.00,12106.10,25248.70,40360.28,9318.11
Output Token Count (tokens),204.88,48.00,720.00,33601.00,54.63,75.30,92.90,129.00,178.50,248.25,346.70,423.00,650.50,115.61
Output Token Throughput Per User (tokens/sec/user),67.97,38.52,92.32,11146.99,40.10,42.59,45.27,57.16,72.62,78.00,83.18,85.78,89.36,13.73
Prefill Throughput Per User (tokens/sec/user),185.02,9.19,741.30,30343.12,10.69,17.85,23.08,44.32,183.32,283.22,390.92,464.10,628.24,151.53
Reasoning Token Count (tokens),4336.04,112.00,60129.00,711111.00,154.20,226.75,297.60,467.25,883.50,2695.25,11914.60,25032.05,39980.11,9250.84
Request Latency (ms),65427.42,3202.55,762482.62,10730097.11,4267.06,6010.97,7944.27,11733.63,17961.59,41608.54,172709.79,333604.62,689325.33,130121.24
Time to First Output Token (ms),63537.64,2193.09,761029.37,10420173.70,2655.67,4812.80,6266.71,10065.30,16037.35,40404.04,170676.01,330972.90,686576.60,129859.12
Time to First Token (ms),1728.30,396.21,5441.24,283441.66,434.67,445.24,460.19,533.65,614.08,2598.05,5438.01,5440.14,5441.12,1648.14
Time to Second Token (ms),71.49,31.02,181.99,11723.94,43.81,46.80,48.37,49.02,49.67,50.82,169.49,169.91,181.91,47.19
Tokens In Flight (tokens),157137.59,0.00,265415.65,,,,,,168784.23,,239740.81,248060.62,258939.92,72056.22
Usage Completion Tokens (tokens),4540.93,218.00,60811.00,744712.00,284.23,341.85,416.60,612.75,1103.50,2843.00,12106.10,25248.70,40360.28,9318.11
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),143.41,50.00,403.00,23520.00,52.26,63.30,78.30,98.75,129.00,166.75,237.70,280.40,323.07,64.19
Usage Reasoning Tokens (tokens),4336.04,112.00,60129.00,711111.00,154.20,226.75,297.60,467.25,883.50,2695.25,11914.60,25032.05,39980.11,9250.84
Usage Total Tokens (tokens),4684.34,317.00,61076.00,768232.00,384.56,448.30,501.30,745.75,1270.00,2969.50,12230.00,25459.60,40499.29,9331.11

Metric,Value
Benchmark Duration (sec),789.87
Input Token Throughput (tokens/sec),29.78
Output Token Throughput (tokens/sec),942.78
Overall Usage Prompt Cache Read % (%),0.00
Request Count,164.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),23520.00
Total Output Sequence Length (tokens),744712.00
Total Output Tokens (tokens),33601.00
Total Reasoning Tokens (tokens),711111.00
Total Token Throughput (tokens/sec),972.55
Total Usage Completion Tokens (tokens),744712.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),23520.00
Total Usage Reasoning Tokens (tokens),711111.00
Total Usage Total Tokens (tokens),768232.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
