Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2495.09,0.00,17200.52,,,,,,900.38,,6164.39,14797.72,15855.86,3974.05
Active Decode Throughput Per User (tokens/sec/user),48.98,0.00,293.67,,,,,,34.63,,102.93,119.39,136.11,32.60
Active Prefill Throughput (tokens/sec),806.68,0.48,17342.11,,,,,,299.21,,1053.58,1053.58,17252.42,2463.77
Active Prefill Throughput Per User (tokens/sec/user),3.77,0.48,130.69,,,,,,2.74,,4.32,4.32,34.57,4.92
Active Total Throughput (tokens/sec),2557.34,56.16,17342.11,,,,,,1074.74,,7276.84,13885.39,16028.37,3860.90
Credit-to-Start Latency (ms),2.91,0.47,25.09,1456.77,0.58,0.68,0.73,0.92,1.40,2.15,3.92,15.99,22.67,4.73
Decode Duration (ms),71071.58,2762.23,627283.28,35535791.27,4746.56,7097.65,9532.76,14738.97,27488.24,60387.97,215218.28,351852.73,510057.51,109068.42
E2E Output Token Throughput (tokens/sec/user),43.14,3.20,69.34,21572.40,5.16,14.48,20.66,31.05,47.10,55.91,59.65,61.97,65.92,15.37
Effective Concurrency,66.40,0.00,500.00,,,,,,34.00,,158.00,317.00,495.00,99.74
Effective Decode Concurrency,56.53,0.00,256.00,,,,,,33.00,,155.00,253.00,256.00,67.69
Effective Decode Throughput (tokens/sec),2492.98,0.00,17200.52,,,,,,900.12,,6157.26,14797.72,15855.86,3973.03
Effective Decode Throughput Per User (tokens/sec/user),48.94,0.00,293.67,,,,,,34.60,,102.93,119.39,136.11,32.61
Effective Latency (CO-aware) (ms),83497.44,4870.02,628701.43,41748718.52,6923.91,10437.62,12971.96,23913.55,43651.76,81998.69,217494.64,360312.11,518893.71,111882.37
Effective Prefill Concurrency,9.87,0.00,500.00,,,,,,0.00,,0.00,62.00,241.00,44.13
Effective Prefill Throughput (tokens/sec),64.19,0.00,17342.11,,,,,,0.00,,0.00,141.21,1027.72,728.49
Effective Prefill Throughput Per User (tokens/sec/user),0.30,0.00,130.69,,,,,,0.00,,0.00,2.50,4.26,1.72
Effective Total Throughput (tokens/sec),2557.18,0.00,17342.11,,,,,,1074.74,,7276.84,13885.39,16028.37,3860.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,745.67,39.00,8877.00,372835.00,67.99,100.00,138.00,209.75,382.00,742.25,1734.80,2915.95,4390.23,1033.68
HTTP Chunks Sent,1.00,1.00,1.00,500.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.85,0.00,30.52,926.54,0.00,0.26,0.29,0.40,0.72,1.61,4.32,6.44,21.12,3.57
HTTP Connection Overhead (ms),2.01,0.00,35.77,1003.71,0.00,0.26,0.29,0.40,0.72,1.61,4.32,10.07,21.12,3.95
HTTP Connection Reused (ratio),0.03,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.18
HTTP Data Received (KB),318.36,17.64,3798.64,159182.47,29.96,43.75,59.53,90.06,162.75,317.84,737.85,1243.35,1873.71,441.25
HTTP Data Sent (KB),0.32,0.14,1.92,160.54,0.15,0.17,0.18,0.22,0.27,0.36,0.52,0.64,0.88,0.18
HTTP DNS Lookup (ms),0.15,0.00,5.78,77.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.86
HTTP Duration (excl. conn) (ms),83494.47,4869.00,628698.63,41747233.27,6922.88,10436.60,12971.19,23911.08,43650.85,81997.57,217492.69,360310.35,518891.96,111881.89
HTTP Receiving (ms),71088.67,2762.23,627287.48,35544337.46,4746.56,7097.65,9596.14,14738.97,27488.24,60387.97,215307.17,351852.73,510057.52,109070.35
HTTP Sending (ms),1.99,0.17,30.75,997.29,0.18,0.37,0.40,0.53,0.85,1.75,4.53,6.59,21.26,3.58
HTTP Total Time (ms),83496.47,4869.29,628699.34,41748236.98,6922.88,10448.55,12971.61,23911.88,43659.45,81999.34,217493.58,360310.80,518892.28,111881.97
HTTP Waiting (TTFB) (ms),12403.80,490.36,50000.78,6201898.52,771.20,783.61,976.48,1406.14,1667.45,22719.37,32808.58,40591.80,47543.51,13822.21
Input Sequence Length (tokens),80.72,18.00,768.00,40360.00,24.00,30.00,33.00,44.00,61.00,88.25,147.20,206.30,339.15,73.14
Inter Chunk Latency (ms),95.47,24.91,337869.45,35535791.27,38.56,48.97,56.83,69.90,72.11,94.58,96.82,97.83,100.37,1774.79
Inter Token Latency (ms),20.73,13.93,229.73,10366.90,14.37,14.95,15.34,15.96,17.04,18.96,21.90,25.46,134.16,20.26
Output Sequence Length (tokens),3135.91,169.00,35231.00,1567957.00,296.74,443.60,583.50,892.50,1623.00,3200.00,7320.90,12159.00,18738.58,4285.54
Output Token Count (tokens),531.40,49.00,11173.00,265700.00,98.97,152.80,199.60,288.50,438.00,675.00,924.50,1162.65,1430.05,563.02
Output Token Throughput Per User (tokens/sec/user),56.14,4.35,71.79,28070.49,7.46,39.28,45.65,52.74,58.70,62.64,65.17,66.87,69.61,10.73
Prefill Throughput Per User (tokens/sec/user),34.68,0.48,732.10,17342.11,0.72,1.20,1.65,3.18,19.64,49.64,79.74,110.52,227.42,53.73
Reasoning Token Count (tokens),2604.51,105.00,34279.00,1302257.00,165.92,281.70,377.90,610.50,1147.50,2510.00,6344.60,11376.05,17448.64,4041.53
Request Latency (ms),83477.43,4798.45,628694.50,41738716.70,6922.96,10436.72,12971.26,23911.14,43614.19,81997.63,217403.88,360310.40,518892.02,111879.90
Time to First Output Token (ms),73738.30,3371.18,621964.01,36869147.98,4714.68,7269.24,9395.35,18278.16,36719.30,68919.50,188211.27,336070.41,483481.84,107321.61
Time to First Token (ms),12405.85,490.61,50003.75,6202925.43,771.98,785.29,978.74,1406.97,1671.26,22720.68,32809.51,40592.89,47545.05,13823.01
Time to Second Token (ms),112.40,28.23,208.99,56197.57,65.68,67.76,68.57,69.55,71.26,187.82,195.77,202.80,203.63,57.73
Tokens In Flight (tokens),248092.40,0.00,430987.93,,,,,,257619.31,,406529.17,416225.63,424997.65,131555.67
Usage Completion Tokens (tokens),3135.91,169.00,35231.00,1567957.00,296.74,443.60,583.50,892.50,1623.00,3200.00,7320.90,12159.00,18738.58,4285.54
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),80.72,18.00,768.00,40360.00,24.00,30.00,33.00,44.00,61.00,88.25,147.20,206.30,339.15,73.14
Usage Reasoning Tokens (tokens),2604.51,105.00,34279.00,1302257.00,165.92,281.70,377.90,610.50,1147.50,2510.00,6344.60,11376.05,17448.64,4041.53
Usage Total Tokens (tokens),3216.63,193.00,35383.00,1608317.00,331.65,481.75,649.90,950.00,1683.00,3284.50,7453.40,12330.10,18936.85,4307.94

Metric,Value
Benchmark Duration (sec),628.70
Input Token Throughput (tokens/sec),64.19
Output Token Throughput (tokens/sec),2493.78
Overall Usage Prompt Cache Read % (%),0.00
Request Count,500.00
Request Throughput (requests/sec),0.80
Total Input Sequence Length (tokens),40360.00
Total Output Sequence Length (tokens),1567957.00
Total Output Tokens (tokens),265700.00
Total Reasoning Tokens (tokens),1302257.00
Total Token Throughput (tokens/sec),2557.97
Total Usage Completion Tokens (tokens),1567957.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),40360.00
Total Usage Reasoning Tokens (tokens),1302257.00
Total Usage Total Tokens (tokens),1608317.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
