method,dataset,concurrency,exit_code,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,csv_path
dspark,spec-al-humaneval,128,0,71.98,1140.58,71.29,818.65,14.47,raw/dspark/spec-al-humaneval/c128/profile_export_aiperf.csv
dspark,spec-al-humaneval,16,0,98.28,830.66,51.92,480.98,10.35,raw/dspark/spec-al-humaneval/c16/profile_export_aiperf.csv
dspark,spec-al-humaneval,256,0,71.03,1076.39,67.27,1635.81,14.25,raw/dspark/spec-al-humaneval/c256/profile_export_aiperf.csv
dspark,spec-al-humaneval,32,0,88.42,929.31,58.08,541.97,11.98,raw/dspark/spec-al-humaneval/c32/profile_export_aiperf.csv
dspark,spec-al-humaneval,4,0,121.39,444.4,27.77,470.94,8.34,raw/dspark/spec-al-humaneval/c4/profile_export_aiperf.csv
dspark,spec-al-humaneval,512,0,68.17,1010.04,63.13,2891.61,15.23,raw/dspark/spec-al-humaneval/c512/profile_export_aiperf.csv
dspark,spec-al-humaneval,64,0,81.13,882.05,55.13,583.18,12.76,raw/dspark/spec-al-humaneval/c64/profile_export_aiperf.csv
dspark,spec-al-humaneval,8,0,108.58,691.02,43.19,509.27,9.31,raw/dspark/spec-al-humaneval/c8/profile_export_aiperf.csv
dspark,spec-al-math500,128,0,56.97,2032.76,127.05,13198.77,47.28,raw/dspark/spec-al-math500/c128/profile_export_aiperf.csv
dspark,spec-al-math500,16,0,125.24,1605.35,100.33,491.84,8.09,raw/dspark/spec-al-math500/c16/profile_export_aiperf.csv
dspark,spec-al-math500,256,0,53.75,1704.85,106.55,46083.61,61.55,raw/dspark/spec-al-math500/c256/profile_export_aiperf.csv
dspark,spec-al-math500,32,0,109.91,1987.3,124.21,502.46,9.39,raw/dspark/spec-al-math500/c32/profile_export_aiperf.csv
dspark,spec-al-math500,4,0,136.34,437.29,27.33,625.19,7.45,raw/dspark/spec-al-math500/c4/profile_export_aiperf.csv
dspark,spec-al-math500,512,0,55.81,2164.7,135.29,22215.88,54.25,raw/dspark/spec-al-math500/c512/profile_export_aiperf.csv
dspark,spec-al-math500,64,0,76.96,2168.96,135.56,2506.72,17.27,raw/dspark/spec-al-math500/c64/profile_export_aiperf.csv
dspark,spec-al-math500,8,0,139.07,761.26,47.58,522.14,7.28,raw/dspark/spec-al-math500/c8/profile_export_aiperf.csv
dspark,spec-al-mbpp,128,0,42.02,961.32,60.08,23418.73,138.17,raw/dspark/spec-al-mbpp/c128/profile_export_aiperf.csv
dspark,spec-al-mbpp,16,0,87.90,877.84,54.87,561.77,11.57,raw/dspark/spec-al-mbpp/c16/profile_export_aiperf.csv
dspark,spec-al-mbpp,256,0,41.48,792.61,49.54,84833.00,128.26,raw/dspark/spec-al-mbpp/c256/profile_export_aiperf.csv
dspark,spec-al-mbpp,32,0,76.45,1102.96,68.94,730.51,13.71,raw/dspark/spec-al-mbpp/c32/profile_export_aiperf.csv
dspark,spec-al-mbpp,4,0,109.88,401.95,25.12,568.00,9.18,raw/dspark/spec-al-mbpp/c4/profile_export_aiperf.csv
dspark,spec-al-mbpp,512,0,45.33,842.41,52.65,28642.20,134.49,raw/dspark/spec-al-mbpp/c512/profile_export_aiperf.csv
dspark,spec-al-mbpp,64,0,54.61,1027.69,64.23,8884.19,43.38,raw/dspark/spec-al-mbpp/c64/profile_export_aiperf.csv
dspark,spec-al-mbpp,8,0,100.22,627.78,39.24,568.25,10.10,raw/dspark/spec-al-mbpp/c8/profile_export_aiperf.csv
mtp,spec-al-humaneval,128,0,65.60,717.72,44.86,1422.31,15.39,raw/mtp/spec-al-humaneval/c128/profile_export_aiperf.csv
mtp,spec-al-humaneval,16,0,87.20,871.02,54.44,977.67,11.61,raw/mtp/spec-al-humaneval/c16/profile_export_aiperf.csv
mtp,spec-al-humaneval,256,0,68.21,1054.2,65.89,3139.44,14.78,raw/mtp/spec-al-humaneval/c256/profile_export_aiperf.csv
mtp,spec-al-humaneval,32,0,79.57,885.4,55.34,1082.89,12.91,raw/mtp/spec-al-humaneval/c32/profile_export_aiperf.csv
mtp,spec-al-humaneval,4,0,106.52,384.76,24.05,653.28,9.46,raw/mtp/spec-al-humaneval/c4/profile_export_aiperf.csv
mtp,spec-al-humaneval,512,0,61.35,1038.1,64.88,1291.41,16.63,raw/mtp/spec-al-humaneval/c512/profile_export_aiperf.csv
mtp,spec-al-humaneval,64,0,67.97,942.78,58.92,1728.30,15.46,raw/mtp/spec-al-humaneval/c64/profile_export_aiperf.csv
