Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1336.66,0.00,2877.98,,,,,,1793.60,,2250.58,2342.38,2449.96,865.60
Active Decode Throughput Per User (tokens/sec/user),137.75,0.00,312.92,,,,,,138.97,,150.79,153.12,163.97,12.91
Active Prefill Throughput (tokens/sec),302.91,67.45,1716.26,,,,,,241.02,,540.68,683.68,1716.26,253.35
Active Prefill Throughput Per User (tokens/sec/user),143.03,67.45,290.01,,,,,,133.68,,208.56,239.65,277.46,44.91
Active Total Throughput (tokens/sec),1455.85,93.73,2504.50,,,,,,2133.49,,2365.94,2417.63,2475.89,952.44
Credit-to-Start Latency (ms),0.90,0.56,2.53,115.82,0.57,0.61,0.63,0.71,0.78,0.93,1.20,2.12,2.42,0.40
Decode Duration (ms),5177.61,1478.05,33700.21,662734.66,1568.98,1813.96,2158.12,3037.70,3946.25,5025.98,7086.85,12541.73,28818.69,5024.16
E2E Output Token Throughput (tokens/sec/user),130.40,98.44,157.73,16691.15,102.00,111.28,116.43,124.10,131.65,138.07,143.29,146.53,152.32,11.06
Effective Concurrency,10.47,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,6.57
Effective Decode Concurrency,9.53,0.00,16.00,,,,,,13.00,,16.00,16.00,16.00,6.02
Effective Decode Throughput (tokens/sec),1329.37,0.00,2877.98,,,,,,1790.55,,2249.23,2342.38,2449.96,868.84
Effective Decode Throughput Per User (tokens/sec/user),137.00,0.00,312.92,,,,,,138.82,,150.76,153.12,163.66,16.40
Effective Latency (CO-aware) (ms),5694.93,1998.03,34182.42,728951.39,2078.60,2321.97,2650.12,3555.67,4467.56,5605.46,7640.10,12994.10,29249.34,5015.66
Effective Prefill Concurrency,0.94,0.00,16.00,,,,,,0.00,,3.00,4.00,8.00,1.85
Effective Prefill Throughput (tokens/sec),126.36,0.00,1716.26,,,,,,0.00,,380.99,503.22,1003.65,221.55
Effective Prefill Throughput Per User (tokens/sec/user),59.67,0.00,290.01,,,,,,0.00,,163.10,205.57,258.77,76.26
Effective Total Throughput (tokens/sec),1455.73,0.00,2504.50,,,,,,2133.49,,2365.94,2417.63,2475.89,952.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.94,35.00,992.00,16760.00,40.00,47.00,55.00,76.75,98.50,124.75,177.40,313.15,760.08,135.31
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),57.55,16.24,426.44,7365.92,18.51,21.46,24.99,34.35,43.56,54.85,77.41,135.85,328.19,58.07
HTTP Data Sent (KB),0.38,0.24,0.69,49.04,0.25,0.27,0.28,0.31,0.36,0.45,0.50,0.54,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5693.96,1997.18,34181.31,728827.27,2077.92,2320.82,2649.41,3554.87,4466.62,5604.59,7638.93,12993.27,29248.31,5015.63
HTTP Receiving (ms),5183.13,1478.06,33700.21,663440.38,1568.99,1837.37,2158.12,3037.71,3946.25,5025.98,7086.86,12541.73,28818.70,5022.73
HTTP Sending (ms),0.15,0.11,0.26,18.68,0.11,0.11,0.12,0.12,0.13,0.16,0.19,0.22,0.24,0.03
HTTP Total Time (ms),5693.96,1997.18,34181.31,728827.27,2077.92,2320.82,2649.41,3554.87,4466.62,5604.59,7638.93,12993.27,29248.31,5015.63
HTTP Waiting (TTFB) (ms),510.69,357.59,661.87,65368.22,379.19,396.82,399.60,441.04,516.41,559.47,624.55,661.03,661.71,79.98
Input Sequence Length (tokens),68.71,35.00,136.00,8795.00,39.27,41.35,45.70,53.75,64.00,82.00,96.30,103.65,131.65,20.89
Inter Chunk Latency (ms),39.89,24.73,87.18,662734.66,28.49,34.84,36.65,39.61,40.10,40.60,42.82,43.61,45.47,3.44
Inter Token Latency (ms),6.81,5.41,9.74,872.25,5.59,5.86,6.02,6.35,6.69,7.16,7.69,8.16,9.30,0.76
Output Sequence Length (tokens),723.84,217.00,4096.00,92652.00,268.16,297.20,339.00,461.75,590.00,752.75,975.80,1636.80,3702.88,582.67
Output Token Count (tokens),157.55,48.00,336.00,19851.00,55.25,75.25,85.50,109.25,152.00,198.00,226.00,273.75,303.00,60.21
Output Token Throughput Per User (tokens/sec/user),148.40,102.64,184.97,18995.02,107.52,122.61,129.98,139.69,149.48,157.55,166.12,170.76,179.02,15.07
Prefill Throughput Per User (tokens/sec/user),137.51,62.00,290.01,17601.86,68.56,78.95,87.23,104.42,123.28,158.83,204.47,222.79,272.41,46.60
Reasoning Token Count (tokens),568.76,150.00,4096.00,72801.00,179.59,219.70,256.80,331.50,421.00,571.25,758.90,1359.80,3667.78,579.50
Request Latency (ms),5688.52,1997.24,34181.38,728130.61,2077.98,2320.87,2649.46,3554.93,4464.32,5604.67,7639.00,12993.34,29248.37,5017.08
Time to First Output Token (ms),4194.66,1517.23,24575.68,528526.83,1601.15,1808.10,2078.10,2663.95,3350.55,4277.10,5823.11,9602.81,23262.58,3547.23
Time to First Token (ms),510.91,357.77,662.24,65395.94,379.45,397.04,399.78,441.22,516.65,559.67,624.80,661.30,662.00,79.99
Time to Second Token (ms),40.01,27.33,44.46,5121.09,30.24,36.58,38.50,39.49,39.87,40.43,42.92,43.30,44.29,2.40
Tokens In Flight (tokens),6736.28,0.00,12124.71,,,,,,6785.98,,9303.46,9935.53,11250.71,2075.49
Usage Completion Tokens (tokens),723.84,217.00,4096.00,92652.00,268.16,297.20,339.00,461.75,590.00,752.75,975.80,1636.80,3702.88,582.67
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),68.71,35.00,136.00,8795.00,39.27,41.35,45.70,53.75,64.00,82.00,96.30,103.65,131.65,20.89
Usage Reasoning Tokens (tokens),568.76,150.00,4096.00,72801.00,179.59,219.70,256.80,331.50,421.00,571.25,758.90,1359.80,3667.78,579.50
Usage Total Tokens (tokens),792.55,269.00,4186.00,101447.00,313.05,347.05,390.40,521.50,658.00,842.25,1057.80,1736.50,3776.35,589.06

Metric,Value
Benchmark Duration (sec),69.59
Input Token Throughput (tokens/sec),126.36
Output Token Throughput (tokens/sec),1331.20
Overall Usage Prompt Cache Read % (%),0.00
Request Count,128.00
Request Throughput (requests/sec),1.84
Total Input Sequence Length (tokens),8795.00
Total Output Sequence Length (tokens),92652.00
Total Output Tokens (tokens),19851.00
Total Reasoning Tokens (tokens),72801.00
Total Token Throughput (tokens/sec),1457.57
Total Usage Completion Tokens (tokens),92652.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),8795.00
Total Usage Reasoning Tokens (tokens),72801.00
Total Usage Total Tokens (tokens),101447.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
