method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,183.28,594.85,37.18,480.20,5.50,4133.15,69.71,650.52
mtp,4,0,100,132.61,434.09,27.13,620.83,7.57,5630.10,69.71,657.26
dspark,4,0,100,184.34,583.41,36.46,555.44,5.48,4188.58,69.71,650.94
dspark-adaptive,8,0,100,167.48,1002.93,62.68,528.55,6.02,4516.55,69.71,649.98
mtp,8,0,100,115.40,694.52,43.41,662.16,8.71,6418.88,69.71,659.32
dspark,8,0,100,168.17,991.82,61.99,531.13,6.00,4509.88,69.71,651.83
dspark-adaptive,16,0,128,148.40,1331.20,83.20,510.91,6.81,5688.52,68.71,723.84
mtp,16,0,128,95.38,1080.77,67.55,693.27,10.57,7840.16,68.71,676.97
dspark,16,0,128,150.62,1467.28,91.70,656.30,6.71,5516.39,68.71,695.91
dspark-adaptive,32,0,256,133.77,2476.88,154.81,537.60,7.58,6162.04,69.96,710.17
mtp,32,0,256,98.60,2001.17,125.07,603.35,10.22,7910.35,69.96,713.54
dspark,32,0,256,138.10,2644.28,165.27,718.34,7.32,5970.81,69.96,692.85
dspark-adaptive,64,0,512,118.09,4412.33,275.77,560.24,8.59,6799.90,70.12,695.24
mtp,64,0,512,82.80,3591.11,224.44,667.03,12.15,9220.83,70.12,697.80
dspark,64,0,512,124.89,4574.20,285.89,790.94,8.09,6665.44,70.12,702.86
dspark-adaptive,128,0,1024,95.12,7738.39,483.65,621.99,10.72,8425.39,70.81,698.71
mtp,128,0,1024,62.77,5475.62,342.23,762.15,16.10,12050.66,70.81,699.85
dspark,128,0,1024,107.38,7780.28,486.27,1167.08,9.41,8038.68,70.81,706.47
dspark-adaptive,256,0,2048,102.18,10744.24,671.51,5459.55,9.94,12732.49,70.59,698.09
mtp,256,0,2048,46.20,8554.86,534.68,929.34,22.10,16524.53,70.59,704.06
dspark,256,0,2048,98.39,10933.89,683.37,5710.13,10.27,13169.88,70.59,702.76
dspark-adaptive,512,0,4096,101.52,11889.80,743.11,18144.30,10.01,25613.98,70.97,710.10
mtp,512,0,4096,65.69,13450.48,840.65,10433.09,15.29,21289.37,70.97,701.91
dspark,512,0,4096,97.84,11637.99,727.37,18586.63,10.33,26188.50,70.97,708.46
