Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),809.59,0.00,1335.80,,,,,,924.74,,996.07,1029.23,1082.79,276.05
Active Decode Throughput Per User (tokens/sec/user),121.90,0.00,298.95,,,,,,120.37,,134.19,135.92,144.10,9.64
Active Prefill Throughput (tokens/sec),337.44,90.22,1394.67,,,,,,268.10,,637.88,778.95,1394.67,231.88
Active Prefill Throughput Per User (tokens/sec/user),272.84,90.22,756.87,,,,,,244.22,,458.28,561.05,756.87,135.71
Active Total Throughput (tokens/sec),879.61,111.40,1681.84,,,,,,953.20,,1108.83,1210.31,1575.71,315.07
Credit-to-Start Latency (ms),1.42,0.59,4.06,141.61,0.60,0.62,0.67,0.75,1.04,1.39,3.40,3.60,3.97,0.98
Decode Duration (ms),12877.06,1596.74,41456.39,1287705.82,1632.61,2522.40,3010.26,4018.15,7996.07,13062.09,36182.10,37592.03,41132.77,12367.94
E2E Output Token Throughput (tokens/sec/user),117.23,90.16,140.18,11722.69,95.61,98.15,101.17,109.30,118.12,125.32,131.59,135.07,138.29,11.35
Effective Concurrency,7.00,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.36
Effective Decode Concurrency,6.72,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.35
Effective Decode Throughput (tokens/sec),807.35,0.00,1335.80,,,,,,924.55,,995.89,1029.20,1082.79,278.93
Effective Decode Throughput Per User (tokens/sec/user),121.57,0.00,298.95,,,,,,120.35,,134.18,135.92,144.10,11.56
Effective Latency (CO-aware) (ms),13405.60,2223.16,41895.81,1340559.73,2235.82,3088.70,3582.05,4525.04,8505.66,13604.23,36723.57,38134.49,41725.50,12348.36
Effective Prefill Concurrency,0.27,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.68
Effective Prefill Throughput (tokens/sec),72.23,0.00,1394.67,,,,,,0.00,,275.91,379.13,916.07,175.12
Effective Prefill Throughput Per User (tokens/sec/user),58.40,0.00,756.87,,,,,,0.00,,248.26,345.44,561.05,128.32
Effective Total Throughput (tokens/sec),879.58,0.00,1681.84,,,,,,953.20,,1108.83,1210.31,1575.71,315.10
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,349.28,45.00,1110.00,34928.00,45.00,69.00,83.70,109.25,215.50,353.75,974.20,1057.90,1106.04,334.59
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),151.18,20.51,477.58,15118.17,20.62,30.90,37.18,48.13,93.41,152.84,420.45,454.81,476.05,143.58
HTTP Data Sent (KB),0.59,0.28,1.43,58.99,0.30,0.33,0.35,0.43,0.55,0.66,0.87,1.01,1.34,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13404.12,2220.36,41894.80,1340411.66,2234.93,3087.40,3581.06,4523.32,8503.83,13603.35,36721.04,38133.31,41724.76,12348.21
HTTP Receiving (ms),12880.85,1596.75,41456.39,1288085.46,1632.60,2522.41,3047.35,4018.15,7996.08,13062.10,36182.10,37592.04,41132.77,12365.56
HTTP Sending (ms),0.14,0.11,0.23,14.19,0.11,0.12,0.12,0.13,0.15,0.15,0.16,0.16,0.19,0.02
HTTP Total Time (ms),13404.12,2220.36,41894.80,1340411.66,2234.93,3087.40,3581.06,4523.32,8503.83,13603.35,36721.04,38133.31,41724.76,12348.21
HTTP Waiting (TTFB) (ms),523.12,427.51,691.01,52312.02,429.98,435.96,438.23,449.57,511.13,576.24,634.22,690.63,690.96,76.26
Input Sequence Length (tokens),138.36,50.00,330.00,13836.00,50.99,59.00,76.30,95.00,128.00,164.00,219.90,283.75,319.11,63.56
Inter Chunk Latency (ms),36.99,22.69,387.11,1287705.82,28.38,32.87,34.98,36.55,37.11,37.59,38.12,39.43,42.11,5.99
Inter Token Latency (ms),7.94,6.21,10.12,793.60,6.46,6.76,6.83,7.31,7.82,8.46,9.17,9.54,10.04,0.86
Output Sequence Length (tokens),1547.47,236.00,4096.00,154747.00,238.97,323.30,374.50,517.00,1036.00,1664.50,4096.00,4096.00,4096.00,1361.79
Output Token Count (tokens),182.51,14.00,481.00,15331.00,42.22,59.60,79.00,126.25,165.00,233.25,288.50,328.30,434.52,85.36
Output Token Throughput Per User (tokens/sec/user),127.43,98.78,161.13,12743.39,99.56,104.80,109.11,118.22,127.82,136.85,146.43,147.96,154.76,13.33
Prefill Throughput Per User (tokens/sec/user),273.41,72.38,756.87,27340.64,90.04,105.23,134.51,186.21,246.37,327.04,467.05,564.32,741.61,140.66
Reasoning Token Count (tokens),1394.16,112.00,4096.00,139416.00,156.55,239.65,265.30,344.00,846.00,1449.25,4096.00,4096.00,4096.00,1402.67
Request Latency (ms),13400.39,2220.43,41894.85,1340038.99,2234.99,3087.47,3544.04,4523.39,8503.89,13603.42,36721.11,38133.38,41724.82,12350.58
Time to First Output Token (ms),8042.62,1651.13,36673.85,675580.38,1898.64,2254.84,2648.26,3435.98,5954.91,9048.10,13801.92,25751.16,35951.90,7393.53
Time to First Token (ms),523.33,427.72,691.24,52333.17,430.21,436.15,438.40,449.75,511.35,576.47,634.44,690.85,691.23,76.27
