method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,139.80,480.07,30.00,477.69,7.23,11964.78,138.36,1512.17
dspark-fair,4,0,100,141.49,499.42,31.21,470.49,7.14,11862.83,138.36,1521.36
dspark-adaptive,8,0,100,127.43,807.87,50.49,523.33,7.94,13400.39,138.36,1547.47
dspark-fair,8,0,100,128.81,861.52,53.84,524.83,7.85,12910.71,138.36,1506.50
dspark-adaptive,16,0,128,113.32,1445.26,90.33,522.46,8.94,16722.05,146.27,1741.08
dspark-fair,16,0,128,114.82,1455.09,90.94,493.15,8.82,16628.20,146.27,1740.96
dspark-adaptive,32,0,256,98.70,2483.55,155.22,514.22,10.28,17273.87,139.77,1539.45
dspark-fair,32,0,256,105.58,2603.39,162.71,531.26,9.57,15981.69,139.77,1548.59
dspark-adaptive,64,0,512,87.22,4272.54,267.03,558.44,11.64,19915.09,142.14,1583.83
dspark-fair,64,0,512,95.69,4660.67,291.29,555.67,10.56,18181.98,142.14,1608.30
dspark-adaptive,128,0,1024,66.16,6389.53,399.35,761.13,16.04,28136.06,142.19,1623.25
dspark-fair,128,0,1024,73.97,7217.09,451.07,782.72,14.07,24642.49,142.19,1612.78
dspark-adaptive,256,0,2048,48.84,5751.19,359.45,23588.61,24.65,63873.98,142.94,1616.48
dspark-fair,256,0,2048,59.27,7154.97,447.19,18779.17,19.61,50160.36,142.94,1597.16
dspark-adaptive,512,0,4096,43.72,5433.03,339.56,77086.10,40.80,137455.71,143.48,1622.30
dspark-fair,512,0,4096,53.84,6475.78,404.74,67065.43,32.06,115327.20,143.48,1637.08
