Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),484.49,95.63,774.79,,,,,,502.17,,539.19,547.71,574.94,60.45
Active Decode Throughput Per User (tokens/sec/user),126.51,42.66,251.24,,,,,,127.12,,135.56,137.81,144.42,7.54
Active Prefill Throughput (tokens/sec),149.62,34.52,746.23,,,,,,120.84,,232.61,272.23,586.46,106.53
Active Prefill Throughput Per User (tokens/sec/user),135.22,34.52,746.23,,,,,,114.53,,227.00,258.94,586.46,102.16
Active Total Throughput (tokens/sec),501.48,108.44,1135.83,,,,,,508.61,,539.04,546.36,612.77,57.18
Credit-to-Start Latency (ms),1.59,0.62,7.15,158.78,0.63,0.68,0.71,0.88,1.16,1.92,2.61,4.79,5.47,1.15
Decode Duration (ms),13937.95,2434.35,41883.60,1393795.41,2657.18,2958.68,3706.71,5735.64,9715.95,19651.55,31973.87,34498.75,38955.43,10659.11
E2E Output Token Throughput (tokens/sec/user),120.89,85.06,149.81,12088.54,86.17,96.40,105.50,114.49,122.28,130.37,134.91,137.57,145.03,12.97
Effective Concurrency,3.97,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.25
Effective Decode Concurrency,3.81,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.51
Effective Decode Throughput (tokens/sec),481.82,0.00,774.79,,,,,,501.88,,539.13,547.65,574.80,70.17
Effective Decode Throughput Per User (tokens/sec/user),125.81,0.00,251.24,,,,,,127.06,,135.55,137.81,144.35,12.02
Effective Latency (CO-aware) (ms),14515.67,2864.56,42396.42,1451567.08,3044.84,3522.18,4127.40,6248.78,10250.72,20170.78,32481.51,35632.78,40960.58,10756.58
Effective Prefill Concurrency,0.16,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.46
Effective Prefill Throughput (tokens/sec),19.66,0.00,746.23,,,,,,0.00,,79.45,148.55,256.72,63.61
Effective Prefill Throughput Per User (tokens/sec/user),17.76,0.00,746.23,,,,,,0.00,,73.07,124.14,243.10,58.80
Effective Total Throughput (tokens/sec),501.47,0.00,1135.83,,,,,,508.61,,539.04,546.36,612.77,57.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,322.73,57.00,969.00,32273.00,61.95,70.75,86.60,133.75,226.00,454.00,740.00,795.90,899.70,245.65
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),139.11,25.49,415.70,13910.90,27.35,31.34,38.50,58.28,97.80,194.98,317.20,342.61,387.09,105.04
HTTP Data Sent (KB),0.33,0.18,0.93,32.89,0.18,0.19,0.20,0.23,0.30,0.37,0.49,0.58,0.77,0.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14514.00,2862.87,42394.41,1451400.37,3043.02,3520.95,4126.28,6247.91,10247.57,20169.80,32474.50,35631.44,40959.81,10756.47
HTTP Receiving (ms),13944.60,2434.35,41883.65,1394460.05,2657.18,3002.55,3708.60,5735.65,9740.24,19651.55,31973.91,34498.76,38955.43,10656.99
HTTP Sending (ms),0.16,0.11,1.11,16.03,0.11,0.12,0.12,0.12,0.14,0.15,0.18,0.27,0.51,0.11
HTTP Total Time (ms),14514.00,2862.87,42394.41,1451400.37,3043.02,3520.95,4126.28,6247.91,10247.57,20169.80,32474.50,35631.44,40959.81,10756.47
HTTP Waiting (TTFB) (ms),569.24,376.00,2109.94,56924.29,380.50,387.95,424.65,462.11,477.14,521.19,601.38,949.81,2020.24,344.29
Input Sequence Length (tokens),71.94,21.00,354.00,7194.00,23.97,27.90,31.00,39.00,57.50,88.00,117.10,160.05,270.84,51.51
Inter Chunk Latency (ms),43.34,29.14,91.76,1393795.41,38.44,40.63,41.51,43.07,43.47,43.71,44.33,45.96,48.28,2.38
Inter Token Latency (ms),7.85,6.47,10.53,784.97,6.48,6.88,7.04,7.26,7.66,8.18,8.94,9.53,10.50,0.84
Output Sequence Length (tokens),1764.36,259.00,4096.00,176436.00,284.74,397.90,484.40,786.00,1259.50,2577.50,4096.00,4096.00,4096.00,1278.94
Output Token Count (tokens),406.06,50.00,974.00,35327.00,64.62,133.40,152.80,232.00,338.00,554.50,709.20,783.40,964.54,223.57
Output Token Throughput Per User (tokens/sec/user),128.72,94.95,154.56,12872.34,95.21,104.95,111.90,122.18,130.63,137.67,142.13,145.31,154.27,12.53
Prefill Throughput Per User (tokens/sec/user),138.25,15.85,746.23,13824.65,29.08,53.73,60.29,79.15,115.25,162.42,227.20,259.61,588.06,101.84
Reasoning Token Count (tokens),1411.09,157.00,4096.00,141109.00,184.72,232.75,294.10,480.25,851.50,1791.75,4096.00,4096.00,4096.00,1271.53
Request Latency (ms),14507.44,2862.95,42394.49,1450744.28,3043.10,3477.14,4121.95,6247.98,10223.41,20169.87,32475.00,35631.51,40959.87,10758.64
Time to First Output Token (ms),8540.43,1849.58,34400.15,743017.81,1937.04,2380.76,2707.94,4065.39,6511.88,10898.79,17630.24,22523.00,31054.70,6661.29
Time to First Token (ms),569.49,376.19,2110.11,56948.87,380.68,388.12,424.86,462.38,477.34,521.38,601.59,950.03,2020.43,344.28
Time to Second Token (ms),43.34,38.41,52.48,4334.24,38.88,41.05,41.57,42.79,43.28,43.77,44.76,46.27,48.54,1.77
Tokens In Flight (tokens),5569.16,0.00,15107.64,,,,,,5146.54,,9458.53,10649.57,13416.90,2796.78
Usage Completion Tokens (tokens),1764.36,259.00,4096.00,176436.00,284.74,397.90,484.40,786.00,1259.50,2577.50,4096.00,4096.00,4096.00,1278.94
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),71.94,21.00,354.00,7194.00,23.97,27.90,31.00,39.00,57.50,88.00,117.10,160.05,270.84,51.51
Usage Reasoning Tokens (tokens),1411.09,157.00,4096.00,141109.00,184.72,232.75,294.10,480.25,851.50,1791.75,4096.00,4096.00,4096.00,1271.53
Usage Total Tokens (tokens),1836.30,287.00,4450.00,183630.00,308.78,430.00,524.50,836.25,1337.00,2627.75,4184.30,4223.60,4316.35,1308.28

Metric,Value
Benchmark Duration (sec),365.98
Input Token Throughput (tokens/sec),19.66
Output Token Throughput (tokens/sec),482.09
Overall Usage Prompt Cache Read % (%),0.00
Request Count,100.00
Request Throughput (requests/sec),0.27
Total Input Sequence Length (tokens),7194.00
Total Output Sequence Length (tokens),176436.00
Total Output Tokens (tokens),35327.00
Total Reasoning Tokens (tokens),141109.00
Total Token Throughput (tokens/sec),501.75
Total Usage Completion Tokens (tokens),176436.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),7194.00
Total Usage Reasoning Tokens (tokens),141109.00
Total Usage Total Tokens (tokens),183630.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
