Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5933.79,0.00,11450.59,,,,,,5627.97,,8795.65,9333.01,9710.29,1879.14
Active Decode Throughput Per User (tokens/sec/user),35.57,0.00,261.46,,,,,,31.63,,50.46,66.24,97.56,14.90
Active Prefill Throughput (tokens/sec),105.75,0.20,5998.94,,,,,,100.86,,119.82,126.18,340.34,156.58
Active Prefill Throughput Per User (tokens/sec/user),0.34,0.20,18.85,,,,,,0.32,,0.36,0.39,0.92,0.31
Active Total Throughput (tokens/sec),6031.66,1.24,10245.90,,,,,,6015.43,,7638.32,8239.55,9707.82,1562.11
Credit-to-Start Latency (ms),2.10,0.31,13.96,8604.45,0.44,0.73,0.88,1.11,1.53,2.63,4.32,4.80,6.93,1.50
Decode Duration (ms),50385.60,2523.32,473265.67,206379405.51,4869.86,7008.92,8658.60,12895.72,24872.04,76059.19,108233.96,161737.36,291016.56,59339.31
E2E Output Token Throughput (tokens/sec/user),14.15,1.25,104.33,57949.69,2.44,3.60,4.36,6.36,10.28,18.46,25.67,33.75,68.17,12.42
Effective Concurrency,463.15,0.00,512.00,,,,,,512.00,,512.00,512.00,512.00,128.19
Effective Decode Concurrency,179.38,0.00,237.00,,,,,,186.00,,217.00,223.00,231.00,42.09
Effective Decode Throughput (tokens/sec),5931.83,0.00,11450.59,,,,,,5627.54,,8794.41,9332.71,9710.29,1881.93
Effective Decode Throughput Per User (tokens/sec/user),35.56,0.00,261.46,,,,,,31.62,,50.45,66.24,97.56,14.91
Effective Latency (CO-aware) (ms),130130.69,3847.09,583398.96,533015309.54,11712.65,39724.25,68744.86,90843.90,115728.61,159027.37,204229.54,255070.56,379772.56,68231.24
Effective Prefill Concurrency,283.77,0.00,512.00,,,,,,318.00,,344.00,352.00,369.00,97.23
Effective Prefill Throughput (tokens/sec),99.79,0.00,5998.94,,,,,,99.94,,119.25,125.03,339.63,154.05
Effective Prefill Throughput Per User (tokens/sec/user),0.32,0.00,18.85,,,,,,0.31,,0.36,0.39,0.92,0.31
Effective Total Throughput (tokens/sec),6031.62,0.00,10245.90,,,,,,6015.43,,7638.32,8239.55,9707.82,1562.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,513.82,46.00,2028.00,2104592.00,81.00,111.00,131.00,188.00,315.00,751.50,1275.50,1385.00,1515.05,431.24
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,15.77,725.17,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.02,3.60,0.86
