method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,124.63,459.40,28.71,463.98,8.11,13418.16,27.72,1563.72
dspark,4,0,100,127.90,469.42,29.34,500.91,7.90,13428.87,27.72,1603.91
dspark-adaptive,8,0,100,113.55,782.94,48.93,521.47,8.91,14784.88,27.72,1574.63
dspark,8,0,100,116.18,809.08,50.57,504.64,8.70,14737.14,27.72,1617.56
dspark-adaptive,16,0,128,100.60,1331.64,83.23,483.23,10.07,18323.27,27.71,1743.61
dspark,16,0,128,103.80,1432.94,89.56,490.78,9.73,17306.64,27.71,1705.67
dspark-adaptive,32,0,256,87.96,2258.30,141.14,502.84,11.49,20150.67,27.98,1665.65
dspark,32,0,256,96.10,2569.90,160.62,518.60,10.51,18519.80,27.98,1684.89
dspark-adaptive,64,0,512,79.17,4076.02,254.75,521.31,12.76,22542.84,28.04,1679.67
dspark,64,0,512,87.03,4423.88,276.49,534.58,11.60,21036.04,28.04,1727.52
dspark-adaptive,128,0,1024,66.60,6594.12,412.13,648.34,15.61,27961.34,28.05,1676.07
dspark,128,0,1024,68.92,6984.51,436.53,672.88,14.89,26239.18,28.05,1671.32
dspark-adaptive,256,0,2048,49.96,6031.00,376.94,24230.35,22.03,61889.06,28.04,1684.46
dspark,256,0,2048,58.62,7364.43,460.28,19707.52,18.89,51949.97,28.04,1700.64
dspark-adaptive,512,0,4096,45.36,5935.39,370.96,79729.17,31.17,130114.76,28.04,1667.64
dspark,512,0,4096,52.44,6594.45,412.15,70185.21,27.25,114923.89,28.04,1679.58
