Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),411.13,0.00,966.40,,,,,,393.12,,545.35,580.62,662.27,101.36
Active Decode Throughput Per User (tokens/sec/user),111.55,0.00,349.33,,,,,,107.27,,143.00,152.62,169.57,23.20
Active Prefill Throughput (tokens/sec),1601.18,50.92,5460.59,,,,,,1602.49,,3296.14,3446.48,3828.41,1285.85
Active Prefill Throughput Per User (tokens/sec/user),1503.94,50.92,3828.41,,,,,,1424.89,,3121.52,3342.04,3828.41,1216.90
Active Total Throughput (tokens/sec),624.06,108.10,5699.44,,,,,,425.74,,669.56,2750.85,3728.50,699.28
Credit-to-Start Latency (ms),1.61,0.40,4.32,257.23,0.42,0.60,0.69,0.90,1.46,2.11,2.77,3.18,4.16,0.85
Decode Duration (ms),15069.44,1405.71,46815.43,2411110.73,1571.54,2186.81,3379.68,6014.58,13946.14,22485.23,29545.07,33195.63,41702.17,10301.25
E2E Output Token Throughput (tokens/sec/user),114.25,55.45,179.83,18279.75,59.62,71.79,79.40,89.38,111.08,136.16,157.54,164.95,177.92,29.58
Effective Concurrency,3.86,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.53
Effective Decode Concurrency,3.72,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.64
Effective Decode Throughput (tokens/sec),410.94,0.00,966.40,,,,,,392.98,,545.33,580.60,662.27,101.73
Effective Decode Throughput Per User (tokens/sec/user),111.50,0.00,349.33,,,,,,107.25,,143.00,152.62,169.57,23.32
Effective Latency (CO-aware) (ms),15659.86,1801.46,47500.31,2505578.17,2103.25,2825.44,3943.60,6651.02,14552.66,23080.77,30114.17,33585.35,42560.71,10340.20
Effective Prefill Concurrency,0.14,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),213.11,0.00,5460.59,,,,,,0.00,,145.24,2339.07,3342.04,718.25
Effective Prefill Throughput Per User (tokens/sec/user),200.17,0.00,3828.41,,,,,,0.00,,141.59,2138.25,3296.14,676.81
Effective Total Throughput (tokens/sec),624.05,0.00,5699.44,,,,,,425.74,,669.56,2750.85,3728.50,699.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,448.39,42.00,1384.00,71742.00,47.13,65.85,103.40,180.50,419.50,673.75,876.70,989.10,1236.71,305.78
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),193.34,19.29,594.88,30934.71,21.48,29.96,45.83,78.41,180.76,288.81,375.13,425.65,529.04,130.91
HTTP Data Sent (KB),3.61,0.19,18.24,577.53,0.22,0.24,0.26,0.34,1.41,6.17,10.09,11.76,15.38,4.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),15658.19,1800.50,47498.07,2505310.08,2102.42,2823.98,3943.09,6650.27,14550.94,23077.56,30111.46,33584.04,42558.36,10339.90
HTTP Receiving (ms),15072.20,1405.72,46815.43,2411552.79,1571.55,2186.81,3379.69,6014.60,13962.87,22485.23,29545.44,33195.64,41702.29,10300.77
HTTP Sending (ms),0.14,0.12,0.24,22.59,0.12,0.12,0.12,0.13,0.13,0.15,0.16,0.17,0.23,0.02
HTTP Total Time (ms),15658.19,1800.50,47498.07,2505310.08,2102.42,2823.98,3943.09,6650.27,14550.94,23077.56,30111.46,33584.04,42558.36,10339.90
HTTP Waiting (TTFB) (ms),585.84,296.14,1327.04,93734.70,363.16,393.74,396.95,424.70,542.93,640.66,883.48,958.14,1232.21,199.73
Input Sequence Length (tokens),863.54,24.00,4159.00,138166.00,25.18,30.95,34.00,50.00,335.50,1422.75,2337.60,3021.50,4149.05,1053.86
Inter Chunk Latency (ms),33.69,22.80,428.36,2411110.73,28.52,30.43,31.82,33.11,33.75,34.42,35.03,35.98,38.60,3.51
Inter Token Latency (ms),8.85,4.79,16.73,1415.36,5.11,5.32,5.69,6.73,8.31,10.84,12.23,13.22,15.90,2.62
Output Sequence Length (tokens),1666.15,230.00,4096.00,266584.00,244.21,359.60,487.90,817.75,1451.50,2301.00,3147.10,4096.00,4096.00,1047.94
Output Token Count (tokens),521.38,11.00,1772.00,79249.00,13.53,27.10,41.10,177.25,343.50,840.50,1102.70,1419.05,1640.51,441.39
Output Token Throughput Per User (tokens/sec/user),122.99,59.77,208.63,19678.05,62.88,75.66,81.76,92.26,120.36,148.68,175.73,188.05,195.82,35.24
Prefill Throughput Per User (tokens/sec/user),1173.83,50.92,3828.41,187813.56,56.54,67.16,76.09,105.80,697.73,2293.36,2874.02,3128.49,3540.73,1160.61
Reasoning Token Count (tokens),1170.84,31.00,4096.00,187335.00,97.18,218.45,273.50,618.75,887.50,1342.25,2456.40,3887.95,4096.00,958.81
Request Latency (ms),15655.50,1800.56,47498.14,2504880.19,2102.48,2824.06,3943.15,6650.33,14534.28,23077.64,30111.53,33584.11,42558.32,10340.38
Time to First Output Token (ms),9484.41,623.31,33245.02,1441630.70,1041.70,2082.71,2874.62,4408.12,8309.65,12363.15,17194.24,22890.17,30948.62,6419.69
Time to First Token (ms),586.06,296.33,1327.24,93769.47,363.39,393.93,397.17,424.91,543.14,640.88,883.69,958.39,1232.45,199.73
Time to Second Token (ms),32.74,25.47,38.19,5238.28,28.09,29.49,30.63,31.84,32.86,33.76,34.40,35.46,37.89,1.86
Tokens In Flight (tokens),8363.90,0.00,17293.60,,,,,,8289.50,,12573.41,13931.33,16074.01,3263.89
Usage Completion Tokens (tokens),1666.15,230.00,4096.00,266584.00,244.21,359.60,487.90,817.75,1451.50,2301.00,3147.10,4096.00,4096.00,1047.94
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),863.54,24.00,4159.00,138166.00,25.18,30.95,34.00,50.00,335.50,1422.75,2337.60,3021.50,4149.05,1053.86
Usage Reasoning Tokens (tokens),1170.84,31.00,4096.00,187335.00,97.18,218.45,273.50,618.75,887.50,1342.25,2456.40,3887.95,4096.00,958.81
Usage Total Tokens (tokens),2529.69,268.00,8255.00,404750.00,305.85,534.10,677.20,1219.75,1989.50,3728.25,5041.60,5757.70,7486.75,1706.99

Metric,Value
Benchmark Duration (sec),648.32
Input Token Throughput (tokens/sec),213.11
Output Token Throughput (tokens/sec),411.19
Overall Usage Prompt Cache Read % (%),0.00
Request Count,160.00
Request Throughput (requests/sec),0.25
Total Input Sequence Length (tokens),138166.00
