method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,160,122.99,411.19,25.70,586.06,8.85,15655.50,863.54,1666.15
dspark,4,0,160,125.86,419.84,26.24,826.41,8.55,15255.43,847.62,1641.89
dspark-adaptive,8,0,160,111.25,709.45,44.34,638.07,9.76,17264.96,871.34,1669.19
dspark,8,0,160,113.34,740.67,46.29,632.51,9.51,16458.22,854.49,1616.55
dspark-adaptive,16,0,160,98.74,1235.65,77.23,612.38,11.04,19685.20,893.94,1697.51
dspark,16,0,160,101.61,1260.12,78.76,643.81,10.64,18991.88,894.02,1700.85
dspark-adaptive,32,0,160,88.88,1910.23,119.39,643.54,12.32,21613.75,872.86,1683.22
dspark,32,0,160,94.34,2018.17,126.14,718.50,11.44,20160.29,859.44,1663.90
dspark-adaptive,64,0,160,83.53,2730.33,170.65,704.66,13.07,22738.06,891.13,1685.51
dspark,64,0,160,86.37,2634.93,164.68,789.41,12.52,21994.91,872.93,1661.11
dspark-adaptive,128,0,160,81.08,2702.87,168.93,726.77,13.45,23098.25,884.46,1662.44
dspark,128,0,160,83.98,2726.95,170.43,747.88,12.81,22229.26,855.42,1653.67
