Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3733.84,0.00,6330.15,,,,,,4565.09,,5153.18,5324.59,5646.92,1762.04
Active Decode Throughput Per User (tokens/sec/user),82.33,0.00,243.82,,,,,,78.33,,103.33,113.33,118.35,12.70
Active Prefill Throughput (tokens/sec),1444.02,33.82,13311.51,,,,,,312.31,,4905.63,6373.55,9119.95,2141.51
Active Prefill Throughput Per User (tokens/sec/user),501.13,33.82,2023.34,,,,,,125.51,,1419.33,1557.19,1921.42,590.16
Active Total Throughput (tokens/sec),4594.87,59.34,18081.73,,,,,,4772.49,,7926.88,9872.03,12932.37,2830.12
Credit-to-Start Latency (ms),1.50,0.56,17.99,770.08,0.63,0.72,0.78,0.92,1.25,1.72,2.66,3.04,3.88,1.04
Decode Duration (ms),14317.13,1785.90,67264.11,7330370.95,1943.03,2565.72,3432.00,5351.50,11074.88,18268.62,31389.22,41859.55,55854.70,12074.86
E2E Output Token Throughput (tokens/sec/user),81.02,36.90,135.47,41484.24,44.76,55.85,60.91,68.51,76.08,93.82,109.96,115.64,124.44,18.61
Effective Concurrency,49.68,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,23.81
Effective Decode Concurrency,47.82,0.00,64.00,,,,,,61.00,,63.00,64.00,64.00,23.17
Effective Decode Throughput (tokens/sec),3717.95,0.00,6330.15,,,,,,4564.28,,5153.00,5324.59,5646.92,1775.02
Effective Decode Throughput Per User (tokens/sec/user),81.98,0.00,243.82,,,,,,78.27,,102.88,113.32,118.35,13.76
Effective Latency (CO-aware) (ms),14882.90,2294.42,67756.97,7620043.65,2523.62,3123.28,3950.07,5955.46,11631.85,18760.56,32177.82,42454.98,56379.03,12100.14
Effective Prefill Concurrency,1.86,0.00,64.00,,,,,,1.00,,4.00,5.00,7.00,4.81
Effective Prefill Throughput (tokens/sec),876.71,0.00,13311.51,,,,,,114.98,,3173.41,5326.10,7955.43,1811.55
Effective Prefill Throughput Per User (tokens/sec/user),304.25,0.00,2023.34,,,,,,67.61,,1303.84,1448.02,1796.84,520.92
Effective Total Throughput (tokens/sec),4594.66,0.00,18081.73,,,,,,4772.49,,7926.88,9872.03,12932.37,2830.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,315.83,40.00,1489.00,161705.00,43.22,57.00,75.10,117.75,244.00,399.75,701.10,928.90,1231.67,268.19
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,4.40,93.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,4.10,0.73
HTTP Connection Overhead (ms),0.28,0.00,8.01,141.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,7.21,1.23
HTTP Connection Reused (ratio),0.91,0.00,1.00,464.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.29
HTTP Data Received (KB),135.98,18.45,633.52,69622.57,19.65,25.62,33.32,51.61,105.57,172.22,300.04,398.56,524.99,114.17
HTTP Data Sent (KB),1.28,0.19,6.85,653.51,0.19,0.20,0.20,0.26,0.37,2.81,3.36,3.85,6.30,1.53
