method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,127.60,444.63,27.79,467.08,8.27,13226.11,69.57,1483.33
dspark,4,0,100,130.28,446.89,27.93,475.45,8.08,12416.60,69.57,1405.07
dspark-adaptive,8,0,100,115.19,769.91,48.12,538.65,9.15,14377.46,69.57,1439.73
dspark,8,0,100,117.69,795.58,49.72,520.19,8.91,13696.53,69.57,1413.00
dspark-adaptive,16,0,128,102.24,1287.43,80.46,524.25,10.24,15416.04,65.61,1396.48
dspark,16,0,128,104.92,1315.35,82.21,514.48,9.96,14706.70,65.61,1371.84
dspark-adaptive,32,0,256,86.40,2074.39,129.65,525.35,11.97,15013.76,266.99,1192.05
dspark,32,0,256,92.45,2221.43,138.84,552.34,11.14,14257.14,266.99,1221.73
dspark-adaptive,64,0,512,87.35,3721.28,232.58,556.48,12.24,14873.61,262.63,1114.76
dspark,64,0,512,92.74,3975.19,248.45,579.44,11.38,13440.79,262.63,1074.88
dspark-adaptive,128,0,1024,78.46,6776.88,423.56,587.72,13.62,16664.48,263.88,1119.98
dspark,128,0,1024,79.31,6973.05,435.82,619.88,13.32,16237.45,263.88,1116.60
dspark-adaptive,256,0,2048,69.31,7696.30,481.02,12901.50,15.74,30998.46,262.89,1089.69
dspark,256,0,2048,72.11,8268.00,516.75,12110.22,14.68,28886.46,262.89,1089.17
dspark-adaptive,512,0,4096,56.47,7167.71,447.98,42749.44,24.76,69469.26,275.48,1076.35
dspark,512,0,4096,62.72,7936.67,496.04,38863.40,21.68,62139.96,275.48,1077.11
