Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5363.30,0.00,10013.74,,,,,,5277.09,,6532.05,6732.48,7465.70,955.40
Active Decode Throughput Per User (tokens/sec/user),36.97,0.00,157.80,,,,,,35.51,,44.84,47.19,70.20,8.28
Active Prefill Throughput (tokens/sec),5800.96,13.77,76914.19,,,,,,5736.08,,6102.38,6808.57,11257.86,3700.61
Active Prefill Throughput Per User (tokens/sec/user),16.79,13.77,598.89,,,,,,16.17,,16.53,18.80,30.59,7.07
Active Total Throughput (tokens/sec),11055.36,36.77,76914.19,,,,,,11105.94,,11803.34,12905.18,17864.43,3721.39
Credit-to-Start Latency (ms),1.70,0.33,19.74,6974.55,0.41,0.93,1.21,1.38,1.54,1.70,2.10,2.63,5.01,1.35
Decode Duration (ms),26934.29,4367.77,76982.81,110322870.13,9687.27,15082.43,16854.94,19879.15,24082.59,32852.20,42276.00,46783.04,56153.12,10063.53
E2E Output Token Throughput (tokens/sec/user),12.23,2.19,78.40,50106.05,4.29,6.61,8.46,9.82,11.21,12.60,14.12,21.06,46.84,6.58
Effective Concurrency,482.46,0.00,512.00,,,,,,512.00,,512.00,512.00,512.00,95.53
Effective Decode Concurrency,148.11,0.00,178.00,,,,,,151.00,,162.00,165.00,172.00,19.73
Effective Decode Throughput (tokens/sec),5359.01,0.00,10013.74,,,,,,5276.67,,6531.79,6732.48,7465.70,966.98
Effective Decode Throughput Per User (tokens/sec/user),36.94,0.00,157.80,,,,,,35.50,,44.83,47.18,70.20,8.34
Effective Latency (CO-aware) (ms),87747.94,8252.49,144846.42,359415555.32,20975.84,46834.53,69721.87,79619.57,88860.98,99790.72,109200.82,114748.07,124162.65,19332.92
Effective Prefill Concurrency,334.35,0.00,512.00,,,,,,359.00,,371.00,375.00,384.00,85.58
Effective Prefill Throughput (tokens/sec),5696.30,0.00,76914.19,,,,,,5728.48,,6097.07,6798.46,11257.86,3747.48
Effective Prefill Throughput Per User (tokens/sec/user),16.49,0.00,598.89,,,,,,16.16,,16.53,18.76,30.59,7.35
Effective Total Throughput (tokens/sec),11055.31,0.00,76914.19,,,,,,11105.94,,11803.34,12905.18,17864.43,3721.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,301.49,65.00,528.00,1234892.00,130.95,208.00,233.00,265.00,305.00,341.00,366.00,386.00,444.10,58.12
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,23.40,930.29,0.00,0.00,0.00,0.00,0.00,0.00,0.24,1.17,3.98,1.36
HTTP Connection Overhead (ms),0.24,0.00,26.91,986.37,0.00,0.00,0.00,0.00,0.00,0.00,0.24,1.17,3.98,1.46
HTTP Connection Reused (ratio),0.88,0.00,1.00,3600.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),130.07,28.86,224.10,532764.93,56.84,90.95,101.10,114.85,131.73,146.53,157.15,165.33,189.76,24.49
HTTP Data Sent (KB),4.53,3.88,4.97,18534.62,4.12,4.26,4.33,4.42,4.52,4.63,4.74,4.79,4.89,0.16
HTTP DNS Lookup (ms),0.01,0.00,4.57,56.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Duration (excl. conn) (ms),87746.17,8251.05,144844.92,359408315.82,20975.30,46833.11,69720.27,79618.31,88858.90,99789.38,109199.22,114746.48,124161.19,19332.94
HTTP Receiving (ms),26936.69,4367.77,76982.81,110332673.67,9746.70,15090.39,16874.53,19884.05,24082.59,32852.20,42276.00,46783.06,56157.21,10062.40
HTTP Sending (ms),0.37,0.06,23.69,1501.06,0.11,0.11,0.12,0.12,0.14,0.15,0.36,1.30,4.14,1.36
HTTP Total Time (ms),87746.41,8251.42,144844.92,359409302.19,20975.58,46839.45,69720.27,79618.31,88858.90,99789.38,109199.63,114746.48,124161.19,19332.63
HTTP Waiting (TTFB) (ms),60809.12,591.60,91470.65,249074141.09,2064.38,23864.55,50629.65,58523.81,63714.23,68863.81,73204.07,75892.17,81023.51,15092.00
Input Sequence Length (tokens),1036.00,1036.00,1037.00,4243460.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,0.03
Inter Chunk Latency (ms),89.65,26.56,35981.38,110322870.13,49.00,59.74,61.09,61.99,69.18,72.44,75.80,78.77,83.64,506.16
Inter Token Latency (ms),28.19,11.60,131.34,115454.44,14.25,16.34,17.65,20.49,24.68,33.13,43.08,48.77,68.61,11.53
OSL Mismatch Diff % (%),-4.72,-81.15,0.00,-19337.30,-66.51,-46.26,-13.77,0.00,0.00,0.00,0.00,0.00,0.00,14.54
Output Sequence Length (tokens),975.66,193.00,1024.00,3996290.00,342.90,550.25,883.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,148.85
