method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,110.42,403.70,25.23,670.21,9.25,9661.02,1036.00,982.35
mtp,4,0,100,112.31,401.39,25.09,805.19,9.05,9580.89,1036.00,975.77
dspark,4,0,100,114.95,413.35,25.83,723.08,8.95,9270.74,1036.00,968.25
dspark-adaptive,8,0,100,100.68,707.58,44.22,745.76,10.24,10378.07,1036.00,951.72
mtp,8,0,100,99.16,696.82,43.55,816.37,10.27,10684.61,1036.00,969.57
dspark,8,0,100,104.69,742.72,46.42,720.32,9.76,10179.22,1036.00,978.17
dspark-adaptive,16,0,128,89.71,1237.11,77.32,725.88,11.49,11680.23,1036.00,966.48
mtp,16,0,128,81.64,1163.96,72.75,834.60,12.48,12540.73,1036.00,951.27
dspark,16,0,128,92.30,1262.42,78.90,914.56,11.06,11644.11,1036.00,979.91
dspark-adaptive,32,0,256,80.77,2198.51,137.41,754.98,12.82,12925.36,1036.00,966.79
mtp,32,0,256,80.24,2259.46,141.22,816.96,12.66,13184.89,1036.00,983.68
dspark,32,0,256,85.33,2367.32,147.96,804.77,12.02,12710.87,1036.00,997.59
dspark-adaptive,64,0,512,73.37,3966.28,247.89,846.12,14.05,14428.85,1036.00,979.20
mtp,64,0,512,69.59,3902.64,243.91,948.48,14.64,15201.46,1036.00,981.66
dspark,64,0,512,75.32,4142.69,258.92,939.23,13.67,14163.37,1036.00,980.04
dspark-adaptive,128,0,1024,65.62,7176.94,448.56,1025.36,15.71,16204.72,1036.00,978.29
mtp,128,0,1024,54.36,6143.87,383.99,1174.17,18.76,19450.64,1036.00,982.27
dspark,128,0,1024,61.61,6748.13,421.76,1163.47,16.73,17238.62,1036.00,973.00
dspark-adaptive,256,0,2048,40.32,5191.94,324.50,18536.64,28.12,45619.39,1036.00,979.76
mtp,256,0,2048,40.08,9114.14,569.63,1580.56,25.55,26280.55,1036.00,975.96
dspark,256,0,2048,41.62,5399.86,337.49,17483.95,27.19,43678.73,1036.00,975.56
dspark-adaptive,512,0,4096,40.13,5364.51,335.28,60809.55,28.19,87743.85,1036.00,975.66
mtp,512,0,4096,37.93,8923.19,557.70,23968.24,29.84,52750.19,1036.00,979.47
dspark,512,0,4096,42.75,5586.24,349.14,58048.00,26.53,83481.93,1036.00,976.97
