Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2949.67,0.00,10867.58,,,,,,2951.10,,3720.26,3962.43,4594.87,735.50
Active Decode Throughput Per User (tokens/sec/user),26.10,0.00,216.31,,,,,,25.16,,31.75,34.34,74.10,8.40
Active Prefill Throughput (tokens/sec),942.75,1.93,70836.30,,,,,,930.70,,1004.11,1122.82,1905.17,1361.29
Active Prefill Throughput Per User (tokens/sec/user),2.53,1.87,680.45,,,,,,2.38,,2.57,2.89,4.99,2.82
Active Total Throughput (tokens/sec),3872.01,37.28,70836.30,,,,,,3893.50,,4252.78,4445.89,6397.19,1472.50
Credit-to-Start Latency (ms),2.88,0.33,20.33,11797.40,0.40,0.49,0.88,1.71,2.71,3.56,4.69,5.68,11.20,1.98
Decode Duration (ms),130409.14,4937.90,393584.15,534155845.05,17077.88,38339.54,55034.86,86775.98,127144.70,169662.14,208259.52,232011.03,284453.97,59436.00
E2E Output Token Throughput (tokens/sec/user),7.18,0.22,78.66,29404.16,0.71,1.17,1.75,2.78,5.73,8.14,13.22,16.15,45.38,7.70
Effective Concurrency,474.31,0.00,512.00,,,,,,512.00,,512.00,512.00,512.00,110.74
Effective Decode Concurrency,116.17,0.00,159.00,,,,,,118.00,,130.00,132.00,142.00,17.63
Effective Decode Throughput (tokens/sec),2949.27,0.00,10867.58,,,,,,2950.90,,3720.10,3962.21,4594.87,736.25
Effective Decode Throughput Per User (tokens/sec/user),26.10,0.00,216.31,,,,,,25.16,,31.75,34.34,74.10,8.41
Effective Latency (CO-aware) (ms),532536.66,7422.35,854299.99,2181270146.80,50982.91,226187.63,397827.37,489715.86,555495.67,613504.26,662012.28,691613.05,748240.24,132618.61
Effective Prefill Concurrency,358.14,0.00,512.00,,,,,,391.00,,403.00,405.00,410.00,99.12
Effective Prefill Throughput (tokens/sec),922.73,0.00,70836.30,,,,,,929.91,,1002.38,1118.72,1905.17,1353.60
Effective Prefill Throughput Per User (tokens/sec/user),2.48,0.00,680.45,,,,,,2.37,,2.56,2.89,4.98,2.82
Effective Total Throughput (tokens/sec),3872.00,0.00,70836.30,,,,,,3893.50,,4252.78,4445.89,6397.19,1472.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,805.35,29.00,3230.00,3298699.00,130.00,225.00,293.00,461.00,797.50,1040.00,1334.00,1539.25,2050.00,423.57
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,26.10,573.88,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.31,2.75,1.14
HTTP Connection Overhead (ms),0.15,0.00,29.67,626.62,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.31,2.75,1.22
HTTP Connection Reused (ratio),0.88,0.00,1.00,3600.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),348.68,13.54,1380.25,1428206.18,56.33,97.12,125.90,197.85,344.51,449.30,585.23,666.53,885.15,184.35
HTTP Data Sent (KB),4.53,3.82,4.97,18548.06,4.07,4.24,4.33,4.42,4.53,4.64,4.75,4.81,4.90,0.17
HTTP DNS Lookup (ms),0.01,0.00,3.66,52.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21
HTTP Duration (excl. conn) (ms),532533.71,7421.35,854298.59,2181258082.08,50982.03,226187.11,397820.75,489711.93,555492.79,613502.82,662008.51,691609.99,748235.78,132618.18
HTTP Receiving (ms),130428.24,4937.90,393584.18,534234065.19,17143.49,38362.17,55034.86,86776.02,127207.56,169675.38,208307.11,232011.03,284453.98,59430.25
HTTP Sending (ms),0.28,0.06,26.30,1151.30,0.11,0.12,0.12,0.13,0.14,0.15,0.34,0.51,2.85,1.14
HTTP Total Time (ms),532533.86,7421.35,854298.59,2181258708.69,50982.07,226187.37,397821.25,489711.93,555492.79,613502.82,662008.51,691609.99,748235.78,132617.91
HTTP Waiting (TTFB) (ms),402105.19,608.79,621105.75,1647022865.59,2020.88,118572.91,304149.43,378331.27,426161.86,467722.71,503596.17,528752.02,574984.72,116314.21
Input Sequence Length (tokens),1036.00,1036.00,1037.00,4243461.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,0.03
