method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,121.14,493.40,30.84,653.67,8.71,27485.97,1036.00,3462.62
dspark-fair,4,0,100,127.72,526.13,32.88,653.37,8.25,25429.27,1036.00,3402.52
dspark-adaptive,8,0,100,115.08,930.31,58.14,693.72,9.34,29550.97,1036.00,3556.70
dspark-fair,8,0,100,110.44,852.61,53.29,687.63,9.58,29437.95,1036.00,3367.70
dspark-adaptive,16,0,128,96.10,1408.32,88.02,700.76,11.14,31011.12,1036.00,3141.95
dspark-fair,16,0,128,100.50,1445.70,90.36,729.52,10.44,32240.13,1036.01,3328.79
dspark-adaptive,32,0,256,83.83,2408.26,150.52,735.73,12.79,35996.66,1036.00,3218.45
dspark-fair,32,0,256,93.69,2823.28,176.46,820.67,11.37,34601.28,1036.00,3406.44
dspark-adaptive,64,0,512,61.42,3600.91,225.06,1082.20,17.95,53373.48,1036.00,3331.30
dspark-fair,64,0,512,64.35,3825.62,239.10,1137.71,16.74,48838.16,1036.00,3209.12
dspark-adaptive,128,0,1024,28.68,2867.20,179.20,19121.38,47.00,136037.01,1036.00,3351.81
dspark-fair,128,0,1024,32.22,3121.09,195.07,17671.48,40.79,122688.35,1036.00,3364.41
dspark-adaptive,256,0,2048,26.07,2914.96,182.19,136372.88,54.62,266062.59,1036.00,3302.40
dspark-fair,256,0,2048,27.68,3094.95,193.43,127174.84,51.36,247945.02,1036.00,3289.29
dspark-adaptive,512,0,4096,25.72,2950.16,184.38,402105.54,55.17,532514.69,1036.00,3312.31
dspark-fair,512,0,4096,28.04,3181.25,198.83,369337.01,50.68,490199.22,1036.00,3313.49
