Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),602.39,0.00,996.30,,,,,,615.87,,743.14,774.78,806.95,119.81
Active Decode Throughput Per User (tokens/sec/user),94.16,0.00,246.91,,,,,,93.33,,103.77,107.94,119.64,7.89
Active Prefill Throughput (tokens/sec),7120.97,1992.47,25533.62,,,,,,7241.32,,11313.24,14718.08,25533.62,4435.41
Active Prefill Throughput Per User (tokens/sec/user),3693.68,1992.47,3988.86,,,,,,3747.04,,3895.42,3920.18,3987.49,251.26
Active Total Throughput (tokens/sec),5782.18,101.94,25533.62,,,,,,4516.61,,11533.28,14557.56,25533.62,4823.21
Credit-to-Start Latency (ms),1.31,0.68,2.25,131.19,0.70,0.83,0.97,1.21,1.32,1.46,1.55,1.59,1.84,0.25
Decode Duration (ms),10045.68,944.88,15098.97,1004567.78,2358.65,5307.84,7632.51,9210.87,10202.85,11447.70,12366.58,13341.48,14412.24,2333.52
E2E Output Token Throughput (tokens/sec/user),75.95,28.65,94.79,7595.32,41.86,55.67,61.68,71.49,77.18,83.02,87.75,90.55,92.87,11.00
Effective Concurrency,7.78,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.95
Effective Decode Concurrency,6.35,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.53
Effective Decode Throughput (tokens/sec),593.51,0.00,996.30,,,,,,613.55,,742.34,774.12,806.95,139.32
Effective Decode Throughput Per User (tokens/sec/user),92.77,0.00,246.91,,,,,,93.24,,103.68,107.87,119.48,13.79
Effective Latency (CO-aware) (ms),12302.73,3073.21,17419.25,1230273.22,4736.06,7524.37,9851.31,11415.14,12563.10,13743.81,14533.80,15612.58,16672.71,2353.80
Effective Prefill Concurrency,1.43,0.00,8.00,,,,,,1.00,,3.00,4.00,8.00,1.43
Effective Prefill Throughput (tokens/sec),5188.56,0.00,25533.62,,,,,,3856.71,,11044.56,14196.71,25533.62,4935.66
Effective Prefill Throughput Per User (tokens/sec/user),2691.32,0.00,3988.86,,,,,,3654.92,,3887.52,3910.06,3987.49,1656.40
Effective Total Throughput (tokens/sec),5782.07,0.00,25533.62,,,,,,4516.61,,11533.28,14557.56,25533.62,4823.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,279.96,28.00,421.00,27996.00,70.57,147.75,214.00,257.00,284.50,320.00,343.10,368.15,401.20,64.63
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),120.96,13.07,179.78,12095.90,31.02,64.70,93.26,111.59,123.30,137.75,147.60,157.74,172.32,27.51
