method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,105.31,329.92,20.62,2173.72,9.76,11096.07,8204.02,928.60
dspark-fair,4,0,100,108.17,336.25,21.02,2246.16,9.47,10781.25,8204.00,916.26
dspark-adaptive,8,0,100,94.22,594.14,37.13,2253.50,10.79,12299.18,8204.00,939.44
dspark-fair,8,0,100,97.18,603.49,37.72,2242.48,10.51,12054.53,8204.01,940.24
dspark-adaptive,16,0,128,83.24,1018.82,63.68,2569.44,12.23,13857.18,8204.01,935.89
dspark-fair,16,0,128,87.37,1052.92,65.81,2677.97,11.62,13563.66,8204.01,942.92
dspark-adaptive,32,0,256,81.49,1673.68,104.61,4951.87,12.58,16569.62,8204.01,930.42
dspark-fair,32,0,256,41.01,905.01,56.56,6175.47,28.12,32444.20,8204.02,956.16
dspark-adaptive,64,0,512,57.24,1239.66,77.48,27700.64,19.54,45677.97,8204.01,937.21
dspark-fair,64,0,512,31.25,782.13,48.88,40443.73,35.13,72715.24,8204.01,939.95
dspark-adaptive,128,0,1024,57.22,1259.06,78.69,71330.07,19.63,89213.03,8204.01,933.63
dspark-fair,128,0,1024,31.24,791.98,49.50,109646.41,35.25,141663.59,8204.00,932.72
dspark-adaptive,256,0,2048,56.50,1259.71,78.73,163260.72,19.89,181622.57,8204.01,943.02
dspark-fair,256,0,2048,30.73,786.45,49.15,255327.27,35.82,288271.10,8204.01,944.27
dspark-adaptive,512,0,4096,56.93,1264.71,79.04,335847.65,19.57,354007.55,8204.01,939.95
dspark-fair,512,0,4096,31.01,797.13,49.82,535204.45,35.66,567840.90,8204.00,944.47
