Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),444.68,0.00,730.18,,,,,,449.99,,485.38,496.60,529.11,44.88
Active Decode Throughput Per User (tokens/sec/user),113.88,0.00,258.29,,,,,,113.43,,122.87,126.40,134.31,7.44
Active Prefill Throughput (tokens/sec),317.11,98.03,859.88,,,,,,272.04,,582.19,707.10,781.94,171.55
Active Prefill Throughput Per User (tokens/sec/user),298.10,98.03,781.94,,,,,,270.46,,503.22,650.58,779.92,151.49
Active Total Throughput (tokens/sec),464.27,109.23,1149.52,,,,,,455.97,,484.35,533.32,787.01,70.87
Credit-to-Start Latency (ms),2.63,0.57,29.62,262.60,0.57,0.61,0.66,0.82,1.04,1.87,5.31,10.23,25.90,4.57
Decode Duration (ms),27025.57,1737.59,329692.60,2702557.49,1933.42,2216.52,3522.31,4823.66,8543.43,19675.64,80419.17,123131.67,278807.97,51477.39
E2E Output Token Throughput (tokens/sec/user),113.78,84.73,139.79,11377.94,85.99,93.03,97.43,105.35,115.08,122.32,126.76,131.38,137.47,12.12
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.24
Effective Decode Concurrency,3.91,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.37
Effective Decode Throughput (tokens/sec),444.26,0.00,730.18,,,,,,449.97,,485.36,496.58,529.04,46.91
Effective Decode Throughput Per User (tokens/sec/user),113.77,0.00,258.29,,,,,,113.43,,122.87,126.39,134.31,8.23
Effective Latency (CO-aware) (ms),27502.32,2157.43,330104.77,2750231.52,2443.33,2678.56,3969.08,5326.30,8975.37,20142.02,80931.29,123643.35,279235.67,51473.60
Effective Prefill Concurrency,0.07,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),20.00,0.00,859.88,,,,,,0.00,,0.00,186.94,485.14,88.31
Effective Prefill Throughput Per User (tokens/sec/user),18.80,0.00,781.94,,,,,,0.00,,0.00,186.05,401.74,81.85
Effective Total Throughput (tokens/sec),464.26,0.00,1149.52,,,,,,455.97,,484.35,533.32,787.01,70.90
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,798.77,53.00,9678.00,79877.00,59.93,66.00,102.30,146.75,251.00,580.50,2318.50,3657.45,8238.54,1517.35
