Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),871.69,0.00,1791.97,,,,,,737.05,,1437.00,1451.84,1537.24,505.91
Active Decode Throughput Per User (tokens/sec/user),90.91,0.00,349.57,,,,,,88.90,,123.25,146.48,160.73,25.58
Active Prefill Throughput (tokens/sec),308.72,22.29,831.77,,,,,,273.62,,523.03,548.84,664.85,137.68
Active Prefill Throughput Per User (tokens/sec/user),257.18,21.74,664.85,,,,,,238.05,,469.95,544.60,637.49,137.94
Active Total Throughput (tokens/sec),894.66,22.29,2010.33,,,,,,792.84,,1388.14,1472.95,1685.30,491.06
Credit-to-Start Latency (ms),2.18,0.57,15.75,278.83,0.59,0.63,0.69,0.79,1.00,2.00,4.81,8.86,14.76,2.87
Decode Duration (ms),62550.21,1945.93,687303.35,8006426.38,2352.19,3851.22,5012.79,6787.75,11755.78,45438.75,206913.33,321626.10,622270.14,125227.83
E2E Output Token Throughput (tokens/sec/user),79.89,32.85,123.59,10225.62,35.02,46.24,61.63,75.87,83.41,87.86,92.32,94.41,98.41,14.08
Effective Concurrency,10.31,0.00,16.00,,,,,,10.00,,16.00,16.00,16.00,5.72
Effective Decode Concurrency,10.15,0.00,16.00,,,,,,9.00,,16.00,16.00,16.00,5.66
Effective Decode Throughput (tokens/sec),870.86,0.00,1791.97,,,,,,730.92,,1436.98,1451.83,1537.24,506.38
Effective Decode Throughput Per User (tokens/sec/user),90.82,0.00,349.57,,,,,,88.90,,123.25,146.45,160.73,25.72
Effective Latency (CO-aware) (ms),63537.15,2884.24,687832.42,8132755.64,3559.17,4596.56,5954.87,8101.53,12551.69,45942.87,207471.36,322100.13,622799.21,125051.92
Effective Prefill Concurrency,0.16,0.00,16.00,,,,,,0.00,,0.00,1.00,2.00,1.08
Effective Prefill Throughput (tokens/sec),23.74,0.00,831.77,,,,,,0.00,,0.00,231.84,498.01,90.68
Effective Prefill Throughput Per User (tokens/sec/user),19.77,0.00,664.85,,,,,,0.00,,0.00,202.35,420.45,78.47
Effective Total Throughput (tokens/sec),894.59,0.00,2010.33,,,,,,792.84,,1388.14,1472.95,1685.30,491.10
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1388.84,46.00,15342.00,177771.00,54.05,86.35,104.90,150.00,267.50,1010.25,4686.90,7232.90,12912.70,2745.53
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),598.08,21.05,6603.80,76554.64,24.21,37.96,45.93,65.18,115.08,434.99,2015.40,3115.72,5606.21,1183.55
HTTP Data Sent (KB),0.59,0.25,1.49,75.20,0.27,0.30,0.35,0.42,0.54,0.71,0.89,1.03,1.37,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),63534.91,2882.95,687831.34,8132469.00,3557.16,4595.56,5952.49,8098.00,12547.52,45942.20,207470.41,322099.01,622798.48,125052.23
HTTP Receiving (ms),62557.31,1945.95,687307.58,8007335.59,2352.20,3851.22,5012.80,6798.56,11755.79,45438.77,206945.53,321626.10,622275.67,125228.90
HTTP Sending (ms),0.13,0.11,0.23,16.84,0.11,0.11,0.11,0.12,0.12,0.13,0.18,0.20,0.21,0.03
HTTP Total Time (ms),63534.91,2882.95,687831.34,8132469.00,3557.16,4595.56,5952.49,8098.00,12547.52,45942.20,207470.41,322099.01,622798.48,125052.23
HTTP Waiting (TTFB) (ms),977.47,453.46,4720.89,125116.57,461.09,477.52,483.38,506.99,582.35,649.20,3454.03,4274.86,4720.80,1137.39
Input Sequence Length (tokens),146.27,50.00,403.00,18722.00,51.54,60.70,78.70,98.75,131.00,172.00,246.20,280.90,327.03,66.49
Inter Chunk Latency (ms),45.08,25.13,262262.56,8006426.38,30.94,33.89,37.97,41.96,42.75,43.15,43.75,46.02,97.86,623.10
Inter Token Latency (ms),11.61,8.08,17.32,1486.60,8.92,9.73,10.17,10.89,11.55,12.19,13.01,13.71,16.75,1.35
Output Sequence Length (tokens),5367.05,188.00,65264.00,686982.00,229.80,323.05,409.50,601.75,1053.00,3989.25,17068.30,27527.70,53680.51,10952.34
Output Token Count (tokens),205.89,48.00,588.00,26148.00,56.04,80.80,97.20,138.50,187.00,246.50,353.00,394.90,542.06,99.76
Output Token Throughput Per User (tokens/sec/user),87.20,57.74,123.70,11161.47,59.80,72.95,76.88,82.06,86.58,91.86,98.29,102.82,112.13,9.66
Prefill Throughput Per User (tokens/sec/user),242.63,10.59,664.85,31056.60,14.04,23.38,37.62,154.74,231.78,303.56,433.91,525.71,620.88,141.46
Reasoning Token Count (tokens),5162.77,129.00,65264.00,660834.00,137.10,221.40,274.20,434.00,804.00,3720.50,16663.70,27128.60,53224.34,10921.23
Request Latency (ms),63527.88,2883.01,687827.17,8131568.39,3557.22,4595.62,5952.56,8098.06,12547.58,45942.26,207438.28,322099.07,622793.01,125051.14
Time to First Output Token (ms),58226.38,2006.99,685650.99,7394749.74,2690.90,3839.00,4890.59,6663.95,10689.94,42591.12,179123.77,281441.42,611579.72,118237.67
Time to First Token (ms),977.67,453.64,4721.17,125142.02,461.28,477.71,483.60,507.17,582.57,649.38,3454.34,4275.10,4721.12,1137.42
Time to Second Token (ms),108.57,28.27,1266.60,13896.88,37.63,37.87,39.21,39.98,40.44,41.00,44.05,886.21,1266.55,278.75
Tokens In Flight (tokens),137312.80,0.00,249202.36,,,,,,144014.61,,212413.42,225951.99,241284.58,62101.88
Usage Completion Tokens (tokens),5367.05,188.00,65264.00,686982.00,229.80,323.05,409.50,601.75,1053.00,3989.25,17068.30,27527.70,53680.51,10952.34
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),146.27,50.00,403.00,18722.00,51.54,60.70,78.70,98.75,131.00,172.00,246.20,280.90,327.03,66.49
Usage Reasoning Tokens (tokens),5162.77,129.00,65264.00,660834.00,137.10,221.40,274.20,434.00,804.00,3720.50,16663.70,27128.60,53224.34,10921.23
Usage Total Tokens (tokens),5513.31,248.00,65408.00,705704.00,291.41,411.70,511.90,725.50,1216.00,4119.25,17180.70,27699.80,53914.19,10960.91

Metric,Value
Benchmark Duration (sec),788.65
Input Token Throughput (tokens/sec),23.74
Output Token Throughput (tokens/sec),871.02
Overall Usage Prompt Cache Read % (%),0.00
Request Count,128.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),18722.00
Total Output Sequence Length (tokens),686982.00
Total Output Tokens (tokens),26148.00
Total Reasoning Tokens (tokens),660834.00
Total Token Throughput (tokens/sec),894.76
Total Usage Completion Tokens (tokens),686982.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),18722.00
Total Usage Reasoning Tokens (tokens),660834.00
Total Usage Total Tokens (tokens),705704.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
