method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,106.52,384.76,24.05,653.28,9.46,44377.72,138.36,4391.63
mtp,8,0,100,97.03,608.19,38.01,701.11,10.39,38814.04,138.36,3813.36
mtp,16,0,128,87.20,871.02,54.44,977.67,11.61,63527.88,146.27,5367.05
mtp,32,0,164,79.57,885.40,55.34,1082.89,12.91,64746.64,143.41,4636.96
mtp,64,0,164,67.97,942.78,58.92,1728.30,15.46,65427.42,143.41,4540.93
mtp,128,0,164,65.60,717.72,44.86,1422.31,15.39,72097.76,143.41,4962.37
dspark,4,0,100,121.39,444.40,27.77,470.94,8.34,27496.52,138.36,3074.21
dspark,8,0,100,108.58,691.02,43.19,509.27,9.31,32018.31,138.36,3223.60
dspark,16,0,128,98.28,830.66,51.92,480.98,10.35,44738.58,146.27,3937.70
dspark,32,0,164,88.42,929.31,58.08,541.97,11.98,57581.42,143.41,3910.59
dspark,64,0,164,81.13,882.05,55.13,583.18,12.76,69293.17,143.41,4352.08
dspark,128,0,164,71.98,1140.58,71.29,818.65,14.47,60877.10,143.41,3721.65
