Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),762.16,0.00,1413.30,,,,,,974.78,,1111.52,1127.85,1199.09,395.29
Active Decode Throughput Per User (tokens/sec/user),143.35,0.00,368.39,,,,,,138.13,,169.12,170.34,186.61,17.87
Active Prefill Throughput (tokens/sec),169.90,42.57,1285.12,,,,,,123.24,,298.67,411.68,1285.12,169.10
Active Prefill Throughput Per User (tokens/sec/user),138.19,42.57,628.01,,,,,,111.68,,223.55,314.56,607.12,99.94
Active Total Throughput (tokens/sec),781.26,103.96,1577.41,,,,,,1036.63,,1112.45,1127.37,1183.97,411.84
Credit-to-Start Latency (ms),1.73,0.51,13.09,173.19,0.54,0.60,0.63,0.81,1.06,1.63,3.75,5.06,7.88,1.89
Decode Duration (ms),20011.13,1391.40,138465.67,2001112.57,2082.60,2461.99,3350.41,5903.78,9352.02,23924.46,53669.68,73203.64,103149.50,25184.76
E2E Output Token Throughput (tokens/sec/user),130.10,90.13,162.32,13009.73,96.62,106.66,112.62,121.54,130.38,139.74,145.01,147.60,158.35,13.73
Effective Concurrency,5.78,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.14
Effective Decode Concurrency,5.63,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.07
Effective Decode Throughput (tokens/sec),760.98,0.00,1413.30,,,,,,974.40,,1111.50,1127.80,1199.09,396.12
Effective Decode Throughput Per User (tokens/sec/user),143.13,0.00,368.39,,,,,,138.12,,169.12,170.34,186.61,18.73
Effective Latency (CO-aware) (ms),20541.70,1994.14,138913.15,2054170.17,2532.72,2954.40,3929.67,6452.95,9885.31,24530.39,54182.78,73758.38,103693.25,25180.85
Effective Prefill Concurrency,0.15,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.50
Effective Prefill Throughput (tokens/sec),20.23,0.00,1285.12,,,,,,0.00,,70.14,152.42,314.56,80.21
Effective Prefill Throughput Per User (tokens/sec/user),16.46,0.00,628.01,,,,,,0.00,,70.14,117.67,233.54,56.51
Effective Total Throughput (tokens/sec),781.21,0.00,1577.41,,,,,,1036.63,,1112.45,1127.37,1183.97,411.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,539.14,39.00,4574.00,53914.00,55.83,65.75,90.00,156.00,246.00,632.50,1416.90,1949.90,2743.49,715.31
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),231.31,17.80,1956.92,23130.51,25.25,29.25,39.58,67.68,106.24,270.79,607.08,832.07,1172.39,305.52
HTTP Data Sent (KB),0.30,0.15,0.90,29.57,0.15,0.16,0.17,0.20,0.27,0.34,0.46,0.55,0.74,0.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20539.91,1993.48,138911.73,2053991.29,2531.79,2953.15,3928.50,6450.88,9884.49,24529.36,54181.18,73755.45,103686.83,25180.71
HTTP Receiving (ms),20017.83,1429.70,138465.68,2001783.16,2082.99,2462.00,3350.41,5923.60,9364.46,23924.47,53672.86,73242.90,103149.51,25186.02
HTTP Sending (ms),0.12,0.11,0.18,12.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.15,0.17,0.01
HTTP Total Time (ms),20539.91,1993.48,138911.73,2053991.29,2531.79,2953.15,3928.50,6450.88,9884.49,24529.36,54181.18,73755.45,103686.83,25180.71
HTTP Waiting (TTFB) (ms),521.96,397.89,637.85,52196.02,423.73,442.67,446.16,472.55,525.38,563.75,600.55,622.80,634.84,59.06
Input Sequence Length (tokens),71.94,21.00,354.00,7194.00,23.97,27.90,31.00,39.00,57.50,88.00,117.10,160.05,270.84,51.51
Inter Chunk Latency (ms),37.20,22.55,214.82,2001112.57,28.15,28.81,32.97,37.06,37.63,38.17,39.63,40.29,42.63,4.08
Inter Token Latency (ms),7.28,6.01,10.34,728.16,6.03,6.27,6.30,6.72,7.10,7.77,8.32,8.81,10.22,0.86
Output Sequence Length (tokens),2706.46,210.00,21991.00,270646.00,271.38,392.15,508.40,817.50,1352.50,3177.25,7190.60,9714.50,13157.23,3472.97
Output Token Count (tokens),504.12,50.00,1663.00,50412.00,72.77,132.70,170.50,260.25,389.00,647.00,1001.10,1231.25,1550.14,347.01
Output Token Throughput Per User (tokens/sec/user),139.07,96.71,166.45,13907.37,97.89,113.47,120.18,128.63,140.75,148.91,158.81,159.53,165.93,14.95
Prefill Throughput Per User (tokens/sec/user),140.49,42.29,628.01,14048.52,42.56,48.78,56.33,79.62,112.38,167.25,240.22,318.16,607.32,103.73
Reasoning Token Count (tokens),2202.34,115.00,20581.00,220234.00,138.76,241.40,314.00,535.25,895.00,2462.75,6162.00,8613.10,12157.09,3213.60
Request Latency (ms),20533.27,1955.24,138911.80,2053326.97,2531.47,2953.21,3928.55,6421.07,9884.54,24529.42,54178.06,73716.25,103686.89,25179.46
Time to First Output Token (ms),17281.70,1353.99,131764.54,1728170.48,1612.75,2128.32,2740.34,4643.50,6860.69,18423.03,50071.73,67368.47,95084.24,23593.36
Time to First Token (ms),522.14,398.06,638.02,52214.40,423.92,442.85,446.34,472.75,525.58,563.93,600.76,623.03,635.02,59.06
Time to Second Token (ms),37.29,32.35,42.25,3729.12,33.48,34.74,35.41,36.73,37.31,37.83,39.21,39.89,41.95,1.57
Tokens In Flight (tokens),20071.57,0.00,47746.74,,,,,,18669.19,,35138.42,39889.64,45279.20,9410.88
Usage Completion Tokens (tokens),2706.46,210.00,21991.00,270646.00,271.38,392.15,508.40,817.50,1352.50,3177.25,7190.60,9714.50,13157.23,3472.97
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),71.94,21.00,354.00,7194.00,23.97,27.90,31.00,39.00,57.50,88.00,117.10,160.05,270.84,51.51
Usage Reasoning Tokens (tokens),2202.34,115.00,20581.00,220234.00,138.76,241.40,314.00,535.25,895.00,2462.75,6162.00,8613.10,12157.09,3213.60
Usage Total Tokens (tokens),2778.40,234.00,22117.00,277840.00,317.16,429.00,540.00,872.25,1411.00,3282.25,7313.30,9778.35,13355.50,3494.29

Metric,Value
Benchmark Duration (sec),355.50
Input Token Throughput (tokens/sec),20.23
Output Token Throughput (tokens/sec),761.26
Overall Usage Prompt Cache Read % (%),0.00
Request Count,100.00
Request Throughput (requests/sec),0.28
Total Input Sequence Length (tokens),7194.00
Total Output Sequence Length (tokens),270646.00
Total Output Tokens (tokens),50412.00
Total Reasoning Tokens (tokens),220234.00
Total Token Throughput (tokens/sec),781.49
Total Usage Completion Tokens (tokens),270646.00
