Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),605.57,0.00,1133.58,,,,,,819.02,,897.34,908.75,967.48,330.79
Active Decode Throughput Per User (tokens/sec/user),121.01,0.00,367.89,,,,,,111.90,,158.60,166.69,172.58,28.15
Active Prefill Throughput (tokens/sec),140.14,26.30,622.63,,,,,,108.78,,294.42,340.80,535.02,103.76
Active Prefill Throughput Per User (tokens/sec/user),111.86,26.30,535.02,,,,,,91.59,,186.46,211.37,484.36,76.17
Active Total Throughput (tokens/sec),619.84,26.30,1291.36,,,,,,823.45,,892.86,920.56,943.62,325.83
Credit-to-Start Latency (ms),1.91,0.59,14.70,191.38,0.60,0.65,0.68,0.87,1.14,1.98,3.33,7.25,11.83,2.21
Decode Duration (ms),26497.88,2490.21,212692.85,2649787.68,3371.14,3960.75,5455.74,7228.14,12022.98,28753.89,60316.02,104970.83,193743.61,36136.24
E2E Output Token Throughput (tokens/sec/user),101.37,76.02,142.59,10137.09,77.24,83.38,87.97,95.43,101.94,107.43,112.04,116.47,120.48,10.35
Effective Concurrency,5.68,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.19
Effective Decode Concurrency,5.54,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.13
Effective Decode Throughput (tokens/sec),604.78,0.00,1133.58,,,,,,818.43,,897.31,908.75,967.26,331.30
Effective Decode Throughput Per User (tokens/sec/user),120.85,0.00,367.89,,,,,,111.89,,158.31,166.68,172.58,28.47
Effective Latency (CO-aware) (ms),27206.39,3154.52,213244.79,2720638.52,4087.40,4561.52,6121.45,7999.53,13045.58,29475.71,61177.44,105566.61,194308.69,36161.03
Effective Prefill Concurrency,0.15,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.55
Effective Prefill Throughput (tokens/sec),15.03,0.00,622.63,,,,,,0.00,,49.76,116.47,294.42,55.08
Effective Prefill Throughput Per User (tokens/sec/user),11.99,0.00,535.02,,,,,,0.00,,49.76,94.94,186.46,42.66
Effective Total Throughput (tokens/sec),619.80,0.00,1291.36,,,,,,823.45,,892.86,920.56,943.62,325.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,676.85,65.00,6780.00,67685.00,85.79,100.80,140.00,179.00,303.50,723.00,1494.40,2624.15,4807.92,990.71
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),289.04,28.62,2897.45,28903.63,37.60,44.15,60.51,77.02,129.49,308.30,635.41,1117.57,2050.49,422.64
HTTP Data Sent (KB),0.30,0.15,0.90,29.57,0.15,0.16,0.17,0.20,0.27,0.34,0.46,0.55,0.74,0.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),27204.42,3153.40,213243.71,2720441.54,4086.40,4560.23,6119.45,7998.37,13040.77,29474.67,61164.07,105565.87,194306.90,36161.01
HTTP Receiving (ms),26507.24,2490.22,212692.85,2650723.89,3371.14,3997.99,5455.74,7237.99,12042.75,28783.18,60316.03,104970.83,193743.62,36134.88
HTTP Sending (ms),0.12,0.11,0.19,12.17,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.14,0.18,0.01
HTTP Total Time (ms),27204.42,3153.40,213243.71,2720441.54,4086.40,4560.23,6119.45,7998.37,13040.77,29474.67,61164.07,105565.87,194306.90,36161.01
HTTP Waiting (TTFB) (ms),697.05,484.94,2242.97,69705.49,518.38,528.46,549.03,561.18,592.66,705.10,789.18,920.96,2064.85,331.67
