method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,118.57,389.87,24.37,733.78,8.51,24119.70,71.94,2783.16
mtp,8,0,100,107.42,604.99,37.81,697.24,9.39,27195.12,71.94,2896.54
mtp,16,0,128,94.76,1073.38,67.09,653.52,10.63,33651.84,71.57,3104.43
mtp,32,0,256,90.67,1807.91,112.99,587.75,11.15,35500.22,79.22,3159.12
mtp,64,0,500,79.30,2797.88,174.87,1082.01,13.00,44734.51,80.72,3388.34
mtp,128,0,500,64.31,2668.83,166.80,1844.17,16.79,61040.37,80.72,3170.17
mtp,256,0,500,50.14,2679.17,167.45,1475.12,20.84,71006.21,80.72,3228.89
mtp,512,0,500,56.14,2493.78,155.86,12405.85,20.73,83477.43,80.72,3135.91
dspark,4,0,100,136.34,437.29,27.33,625.19,7.45,24666.53,71.94,3157.58
dspark,8,0,100,139.07,761.26,47.58,522.14,7.28,20533.27,71.94,2706.46
dspark,16,0,128,125.24,1605.35,100.33,491.84,8.09,24513.02,71.57,2863.32
dspark,32,0,256,109.91,1987.30,124.21,502.46,9.39,32869.00,79.22,3215.54
dspark,64,0,500,76.96,2168.96,135.56,2506.72,17.27,60392.83,80.72,3143.27
dspark,128,0,500,56.97,2032.76,127.05,13198.77,47.28,125236.17,80.72,3262.61
dspark,256,0,500,53.75,1704.85,106.55,46083.61,61.55,188352.75,80.72,3209.88
dspark,512,0,500,55.81,2164.70,135.29,22215.88,54.25,151671.94,80.72,3204.24
