Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1103.11,0.00,3106.47,,,,,,717.72,,2550.50,2630.18,2716.12,886.95
Active Decode Throughput Per User (tokens/sec/user),72.07,0.00,270.87,,,,,,75.36,,118.93,120.83,124.88,30.28
Active Prefill Throughput (tokens/sec),72.47,4.55,549.10,,,,,,56.84,,118.99,155.96,364.60,59.92
Active Prefill Throughput Per User (tokens/sec/user),52.19,4.55,119.10,,,,,,54.64,,68.60,74.88,108.83,17.64
Active Total Throughput (tokens/sec),1110.79,11.61,2733.99,,,,,,897.10,,2336.28,2407.63,2630.61,836.46
Credit-to-Start Latency (ms),1.91,0.59,16.23,488.40,0.60,0.68,0.77,0.88,1.14,1.88,3.68,6.53,11.23,2.15
Decode Duration (ms),59990.60,2612.92,744442.85,15357592.90,3678.02,5268.03,6425.17,9311.51,16217.74,32148.19,127715.02,394765.43,609572.71,126954.84
E2E Output Token Throughput (tokens/sec/user),72.68,12.89,106.88,18605.81,38.14,51.65,58.84,67.07,73.53,80.19,86.06,89.75,94.73,11.74
Effective Concurrency,17.52,0.00,32.00,,,,,,16.00,,32.00,32.00,32.00,11.70
Effective Decode Concurrency,17.31,0.00,32.00,,,,,,16.00,,32.00,32.00,32.00,11.54
Effective Decode Throughput (tokens/sec),1102.67,0.00,3106.47,,,,,,717.48,,2550.50,2630.18,2716.12,887.04
Effective Decode Throughput Per User (tokens/sec/user),72.05,0.00,270.87,,,,,,75.33,,118.93,120.82,124.88,30.31
Effective Latency (CO-aware) (ms),60734.90,3053.48,745002.88,15548133.80,4046.93,5850.30,7132.17,9996.32,16929.96,32938.89,129277.94,395305.56,610077.06,126929.10
Effective Prefill Concurrency,0.21,0.00,32.00,,,,,,0.00,,1.00,1.00,2.00,1.58
Effective Prefill Throughput (tokens/sec),8.07,0.00,549.10,,,,,,0.00,,38.38,58.85,119.49,30.32
Effective Prefill Throughput Per User (tokens/sec/user),5.81,0.00,119.10,,,,,,0.00,,35.74,55.61,69.58,17.44
Effective Total Throughput (tokens/sec),1110.74,0.00,2733.99,,,,,,897.10,,2336.28,2407.63,2630.61,836.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1028.16,61.00,9725.00,263208.00,83.75,112.00,137.00,195.25,328.00,676.75,2477.00,6759.00,9179.75,1946.63
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,4.06,58.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,3.84,0.89
HTTP Connection Overhead (ms),0.43,0.00,7.61,109.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.44,7.24,1.66
HTTP Connection Reused (ratio),0.94,0.00,1.00,240.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),441.39,27.30,4195.14,112995.07,37.04,49.27,59.66,84.43,140.97,291.08,1058.90,2911.25,3933.38,834.85
HTTP Data Sent (KB),0.20,0.16,0.31,51.27,0.17,0.17,0.18,0.19,0.20,0.21,0.22,0.24,0.27,0.02
