Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7892.07,0.00,13884.26,,,,,,11378.92,,12544.65,12750.93,13091.08,5189.64
Active Decode Throughput Per User (tokens/sec/user),112.71,0.00,442.28,,,,,,103.60,,141.40,163.13,217.03,24.14
Active Prefill Throughput (tokens/sec),1275.11,13.35,2620.20,,,,,,1258.09,,1826.84,1980.24,2239.35,451.21
Active Prefill Throughput Per User (tokens/sec/user),106.42,11.89,232.44,,,,,,112.20,,134.73,141.95,181.82,34.23
Active Total Throughput (tokens/sec),8549.60,13.35,13753.60,,,,,,12994.47,,13417.46,13501.44,13618.48,5719.39
Credit-to-Start Latency (ms),0.91,0.31,11.28,936.58,0.51,0.59,0.63,0.70,0.81,0.95,1.23,1.70,2.38,0.52
Decode Duration (ms),6871.59,1011.96,56357.07,7036510.79,2129.48,2600.11,3055.23,4224.70,5629.81,7205.16,10100.63,14996.75,36992.56,6076.42
E2E Output Token Throughput (tokens/sec/user),91.22,34.13,190.90,93405.85,40.99,53.60,62.33,87.26,95.06,100.75,105.67,108.40,113.65,16.58
Effective Concurrency,88.61,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,54.13
Effective Decode Concurrency,75.76,0.00,128.00,,,,,,113.00,,121.00,123.00,128.00,51.76
Effective Decode Throughput (tokens/sec),7769.27,0.00,13884.26,,,,,,11362.31,,12542.76,12741.83,13091.08,5240.93
Effective Decode Throughput Per User (tokens/sec/user),110.96,0.00,442.28,,,,,,103.54,,140.89,162.96,216.97,27.72
Effective Latency (CO-aware) (ms),8046.93,1329.39,61543.63,8240054.79,2717.36,3307.07,3792.01,5014.71,6617.76,8823.66,11967.84,16174.06,37542.53,6311.38
Effective Prefill Concurrency,12.85,0.00,128.00,,,,,,7.00,,17.00,125.00,128.00,27.57
Effective Prefill Throughput (tokens/sec),779.79,0.00,2620.20,,,,,,846.07,,1755.84,1855.62,2209.35,714.67
Effective Prefill Throughput Per User (tokens/sec/user),65.08,0.00,232.44,,,,,,96.94,,127.58,136.59,158.34,58.37
Effective Total Throughput (tokens/sec),8549.06,0.00,13753.60,,,,,,12993.49,,13417.46,13501.44,13618.48,5719.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,124.14,34.00,994.00,127119.00,39.00,47.00,55.00,76.00,100.00,129.00,179.10,265.70,805.95,114.20
HTTP Chunks Sent,1.00,1.00,1.00,1024.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.26,0.00,21.30,268.71,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.26,5.21,1.41
HTTP Connection Overhead (ms),0.32,0.00,25.39,327.88,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.26,8.91,1.70
HTTP Connection Reused (ratio),0.89,0.00,1.00,912.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.31
HTTP Data Received (KB),54.66,15.81,427.41,55975.37,17.96,21.47,24.92,33.92,44.47,56.71,78.27,115.36,348.54,49.11
HTTP Data Sent (KB),0.39,0.23,0.76,400.40,0.25,0.28,0.29,0.32,0.38,0.44,0.51,0.57,0.68,0.09
HTTP DNS Lookup (ms),0.06,0.00,4.09,59.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,0.46
HTTP Duration (excl. conn) (ms),8045.95,1328.44,61542.51,8239056.90,2716.57,3306.07,3791.25,5013.82,6617.00,8822.68,11967.08,16173.31,37541.70,6311.36
HTTP Receiving (ms),6878.93,1011.97,56357.06,7044028.71,2130.13,2603.06,3055.23,4224.71,5632.47,7238.68,10106.22,14996.75,36992.56,6075.85
HTTP Sending (ms),0.40,0.06,21.49,408.71,0.06,0.11,0.11,0.12,0.14,0.15,0.41,1.36,5.45,1.42
HTTP Total Time (ms),8046.27,1328.44,61545.19,8239384.78,2716.57,3306.07,3791.25,5013.82,6617.00,8822.68,11969.65,16173.31,37541.70,6311.58
HTTP Waiting (TTFB) (ms),1166.62,316.10,5412.32,1194619.48,446.81,500.81,504.39,559.66,618.19,732.86,4862.81,5182.67,5186.14,1450.26
Input Sequence Length (tokens),70.81,34.00,150.00,72506.00,38.00,44.00,48.00,55.00,67.00,82.00,100.00,113.00,132.77,20.99
Inter Chunk Latency (ms),55.86,16.30,124.87,7036510.79,38.23,47.96,52.84,55.47,56.15,57.17,59.28,60.25,61.95,4.81
Inter Token Latency (ms),9.41,4.66,14.58,9640.91,7.78,8.12,8.35,8.77,9.29,9.87,10.64,11.28,12.46,0.99
Output Sequence Length (tokens),706.47,214.00,4096.00,723423.00,240.69,291.00,345.00,464.00,609.00,762.25,982.50,1336.80,4096.00,521.96
Output Token Count (tokens),169.07,36.00,474.00,171610.00,55.00,76.00,90.00,121.00,162.00,210.00,256.00,289.20,348.72,66.38
Output Token Throughput Per User (tokens/sec/user),107.38,68.59,214.44,109961.27,80.25,88.63,94.01,101.36,107.62,113.97,119.76,123.08,128.53,11.53
Prefill Throughput Per User (tokens/sec/user),104.29,6.46,270.89,106787.98,8.38,11.95,17.93,77.06,104.05,132.77,166.12,189.57,229.91,50.04
Reasoning Token Count (tokens),538.88,150.00,4096.00,551813.00,170.00,207.15,241.30,333.75,439.50,551.25,745.10,1106.25,3800.83,502.41
Request Latency (ms),8038.68,1328.52,61542.58,8231603.61,2716.64,3301.56,3781.34,5007.75,6607.33,8801.92,11939.05,16173.37,37541.77,6311.83
Time to First Output Token (ms),6143.49,1050.62,54402.13,6235647.35,2035.63,2427.18,2820.40,3748.15,4956.45,6877.47,9699.95,12382.07,27801.76,4851.71
Time to First Token (ms),1167.08,316.35,5417.34,1195092.82,446.99,500.98,504.58,559.84,618.40,733.07,4864.27,5183.85,5188.25,1451.00
Time to Second Token (ms),55.87,28.02,66.62,57213.96,43.93,52.27,53.75,55.33,55.84,56.42,59.25,59.65,61.15,3.06
Tokens In Flight (tokens),49660.17,0.00,94146.29,,,,,,56215.64,,84045.48,87231.22,90306.74,26851.48
Usage Completion Tokens (tokens),706.47,214.00,4096.00,723423.00,240.69,291.00,345.00,464.00,609.00,762.25,982.50,1336.80,4096.00,521.96
