Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2008.77,0.00,3628.96,,,,,,2844.77,,3157.58,3234.26,3335.61,1256.03
Active Decode Throughput Per User (tokens/sec/user),105.70,0.00,292.94,,,,,,101.71,,135.89,137.93,145.30,22.51
Active Prefill Throughput (tokens/sec),357.56,33.03,2178.85,,,,,,305.32,,639.57,708.80,1996.38,291.39
Active Prefill Throughput Per User (tokens/sec/user),131.48,33.03,280.79,,,,,,129.40,,174.06,192.31,246.44,36.18
Active Total Throughput (tokens/sec),2194.72,45.66,3512.11,,,,,,3056.63,,3306.86,3347.60,3432.54,1314.30
Credit-to-Start Latency (ms),1.04,0.56,7.49,265.94,0.61,0.65,0.68,0.77,0.91,1.05,1.53,2.17,2.49,0.59
Decode Duration (ms),7307.01,2039.30,46108.91,1870593.39,2388.51,2772.25,3209.77,4299.91,6272.22,7847.07,10858.66,14817.14,35114.05,5725.50
E2E Output Token Throughput (tokens/sec/user),89.36,59.53,118.96,22876.04,66.15,71.93,76.67,84.60,90.52,94.89,99.03,102.47,106.78,8.93
Effective Concurrency,22.21,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,13.46
Effective Decode Concurrency,20.52,0.00,32.00,,,,,,29.00,,31.00,32.00,32.00,12.64
Effective Decode Throughput (tokens/sec),1998.37,0.00,3628.96,,,,,,2835.10,,3156.41,3234.26,3335.61,1261.04
Effective Decode Throughput Per User (tokens/sec/user),105.15,0.00,292.94,,,,,,101.70,,135.88,137.90,145.30,23.70
Effective Latency (CO-aware) (ms),7921.01,2628.86,47333.43,2027779.48,2855.92,3269.91,3771.49,4991.65,6860.81,8525.06,11517.38,15293.06,35627.46,5742.71
Effective Prefill Concurrency,1.69,0.00,32.00,,,,,,1.00,,4.00,5.00,21.00,3.45
Effective Prefill Throughput (tokens/sec),196.20,0.00,2178.85,,,,,,109.21,,524.00,650.61,1199.65,279.73
Effective Prefill Throughput Per User (tokens/sec/user),72.15,0.00,280.79,,,,,,85.39,,164.06,175.22,215.55,70.70
Effective Total Throughput (tokens/sec),2194.57,0.00,3512.11,,,,,,3056.63,,3306.86,3347.60,3432.54,1314.38
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,158.12,46.00,1026.00,40480.00,51.00,60.75,68.50,93.00,131.00,168.00,232.00,321.75,951.55,136.34
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,4.36,62.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.66,4.12,0.94
HTTP Connection Overhead (ms),0.45,0.00,8.30,116.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.84,7.79,1.77
HTTP Connection Reused (ratio),0.94,0.00,1.00,240.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),68.67,20.71,441.03,17580.33,22.91,27.02,30.29,40.69,57.05,72.88,100.15,138.44,409.09,58.43
HTTP Data Sent (KB),0.39,0.24,0.76,99.32,0.25,0.27,0.29,0.32,0.37,0.44,0.51,0.57,0.69,0.10
HTTP DNS Lookup (ms),0.21,0.00,3.93,54.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,3.66,0.82
HTTP Duration (excl. conn) (ms),7919.91,2627.29,47332.53,2027496.53,2854.76,3268.34,3770.35,4990.80,6859.81,8523.97,11516.46,15292.31,35626.56,5742.75
HTTP Receiving (ms),7316.64,2039.31,46108.91,1873059.22,2388.52,2797.79,3217.88,4345.47,6278.14,7847.08,10858.67,14851.66,35114.05,5723.98
HTTP Sending (ms),0.40,0.11,4.70,101.86,0.11,0.11,0.11,0.12,0.14,0.16,0.22,4.01,4.47,0.99
HTTP Total Time (ms),7920.36,2627.29,47332.53,2027612.83,2854.76,3268.34,3770.35,4990.80,6859.81,8523.97,11516.46,15292.31,35626.56,5742.79
HTTP Waiting (TTFB) (ms),602.87,399.90,1421.57,154335.45,401.50,406.91,447.37,489.95,539.79,612.78,845.73,1220.35,1419.15,219.03
Input Sequence Length (tokens),69.96,35.00,144.00,17909.00,39.00,42.00,47.00,53.00,66.00,82.00,101.00,110.00,136.00,21.76
