Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7155.96,0.00,12128.28,,,,,,7375.18,,9886.33,10461.22,11188.16,2210.14
Active Decode Throughput Per User (tokens/sec/user),54.47,0.00,262.11,,,,,,49.81,,76.10,85.52,125.35,16.84
Active Prefill Throughput (tokens/sec),728.01,3.41,25246.65,,,,,,682.08,,937.48,984.16,1608.34,1078.96
Active Prefill Throughput Per User (tokens/sec/user),7.11,2.17,160.90,,,,,,6.78,,8.54,9.32,14.23,4.43
Active Total Throughput (tokens/sec),7790.97,24.53,25246.65,,,,,,8312.37,,9290.55,10690.75,12471.96,2422.03
Credit-to-Start Latency (ms),1.66,0.30,22.75,3393.32,0.60,0.73,0.79,0.95,1.22,1.92,3.19,3.57,4.48,1.48
Decode Duration (ms),31381.20,2696.02,161093.46,64268694.72,3515.84,4853.23,6100.46,9128.95,18311.04,48247.56,77319.25,88866.57,115828.37,29193.75
E2E Output Token Throughput (tokens/sec/user),31.41,3.60,88.95,64327.28,6.96,10.83,13.19,18.97,29.04,40.76,51.20,65.04,79.57,16.14
Effective Concurrency,224.74,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,72.34
Effective Decode Concurrency,140.61,0.00,183.00,,,,,,153.00,,169.00,173.00,180.00,40.22
Effective Decode Throughput (tokens/sec),7150.49,0.00,12128.28,,,,,,7373.75,,9883.59,10461.22,11188.16,2218.13
Effective Decode Throughput Per User (tokens/sec/user),54.43,0.00,262.11,,,,,,49.79,,76.08,85.52,125.35,16.90
Effective Latency (CO-aware) (ms),50168.56,3687.94,179717.71,102745204.30,6866.16,14928.69,20417.93,27355.98,39785.41,68203.43,96852.13,111306.11,136597.16,31065.54
Effective Prefill Concurrency,84.13,0.00,256.00,,,,,,98.00,,113.00,114.00,116.00,37.91
Effective Prefill Throughput (tokens/sec),640.36,0.00,25246.65,,,,,,656.35,,923.53,976.24,1589.89,1039.29
Effective Prefill Throughput Per User (tokens/sec/user),6.25,0.00,160.90,,,,,,6.51,,8.46,9.23,14.20,4.75
