Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7262.18,0.00,10954.13,,,,,,9232.13,,9760.70,9933.41,10246.28,3153.88
Active Decode Throughput Per User (tokens/sec/user),71.69,0.00,274.01,,,,,,75.44,,82.97,91.24,112.80,18.57
Active Prefill Throughput (tokens/sec),887.37,48.19,9756.24,,,,,,730.15,,1466.80,1783.80,4418.29,915.52
Active Prefill Throughput Per User (tokens/sec/user),224.97,33.10,731.76,,,,,,211.16,,330.21,391.87,500.41,86.39
Active Total Throughput (tokens/sec),7898.52,75.51,10647.56,,,,,,9102.93,,9727.84,9852.82,10147.61,2799.16
Credit-to-Start Latency (ms),1.59,0.62,21.02,1623.69,0.65,0.73,0.79,0.95,1.20,1.84,3.11,3.48,4.00,1.24
Decode Duration (ms),22757.79,2803.89,69930.62,23303972.92,3220.61,4345.51,5104.16,8116.82,14127.08,30436.21,59829.77,63980.92,68266.36,20091.69
E2E Output Token Throughput (tokens/sec/user),66.67,35.52,85.74,68270.46,45.52,56.10,59.01,63.18,67.35,70.85,73.99,75.85,79.34,6.48
Effective Concurrency,109.12,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,38.65
Effective Decode Concurrency,105.16,0.00,128.00,,,,,,124.00,,127.00,127.00,128.00,38.42
Effective Decode Throughput (tokens/sec),7241.50,0.00,10954.13,,,,,,9229.72,,9760.68,9932.08,10246.28,3173.07
Effective Decode Throughput Per User (tokens/sec/user),71.48,0.00,274.01,,,,,,75.43,,82.95,91.22,112.80,18.94
Effective Latency (CO-aware) (ms),23626.73,3462.66,70949.06,24193767.41,3847.08,5052.89,5969.86,9138.65,14989.05,31883.67,60530.14,64776.12,69116.13,20085.80
Effective Prefill Concurrency,3.96,0.00,128.00,,,,,,2.00,,6.00,7.00,85.00,11.49
Effective Prefill Throughput (tokens/sec),656.77,0.00,9756.24,,,,,,538.37,,1348.64,1615.71,4418.29,878.53
Effective Prefill Throughput Per User (tokens/sec/user),166.51,0.00,731.76,,,,,,181.78,,305.62,364.91,470.87,123.52
Effective Total Throughput (tokens/sec),7898.28,0.00,10647.56,,,,,,9102.93,,9727.84,9852.82,10147.61,2799.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,370.16,48.00,1125.00,379041.00,49.00,72.15,85.30,133.75,228.00,488.25,993.70,1041.70,1100.54,330.61
HTTP Chunks Sent,1.00,1.00,1.00,1024.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.27,0.00,20.80,272.51,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.95,5.06,1.27
HTTP Connection Overhead (ms),0.32,0.00,20.80,330.82,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.95,8.83,1.53
HTTP Connection Reused (ratio),0.89,0.00,1.00,912.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.31
HTTP Data Received (KB),160.02,21.82,484.29,163859.90,22.23,32.36,37.97,58.51,98.81,210.79,427.29,447.71,473.29,141.89
HTTP Data Sent (KB),0.61,0.28,1.52,628.95,0.30,0.34,0.38,0.45,0.56,0.73,0.93,1.10,1.43,0.23
HTTP DNS Lookup (ms),0.06,0.00,4.07,58.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.63,0.45
HTTP Duration (excl. conn) (ms),23625.08,3459.73,70948.35,24192078.14,3846.07,5051.49,5967.79,9137.69,14987.54,31882.61,60526.91,64773.15,69113.26,20085.80
HTTP Receiving (ms),22768.01,2803.90,69930.63,23314442.86,3220.61,4345.51,5153.27,8116.82,14137.10,30470.06,59829.78,63980.92,68266.36,20087.40
HTTP Sending (ms),0.40,0.06,21.01,414.63,0.11,0.12,0.12,0.12,0.14,0.15,0.40,2.06,5.25,1.28
HTTP Total Time (ms),23625.40,3459.73,70948.87,24192408.96,3846.07,5051.49,5970.04,9137.69,14987.54,31884.14,60526.91,64773.15,69113.72,20085.75
HTTP Waiting (TTFB) (ms),856.66,438.25,3671.08,877220.65,445.50,495.45,504.11,567.43,652.99,764.72,1202.27,2638.43,3474.01,664.50
Input Sequence Length (tokens),142.19,50.00,403.00,145605.00,51.00,62.00,78.00,98.00,128.50,166.00,237.70,281.00,330.00,63.83
Inter Chunk Latency (ms),61.68,28.07,377.83,23303972.92,47.36,51.24,53.43,55.38,56.24,57.08,59.04,136.25,163.58,23.47
Inter Token Latency (ms),14.11,11.11,18.53,14450.57,11.48,12.15,12.59,13.30,14.08,14.93,15.69,16.07,16.85,1.20
Output Sequence Length (tokens),1568.80,249.00,4096.00,1606448.00,252.00,323.00,377.00,588.50,1020.00,2083.50,4096.00,4096.00,4096.00,1324.88
Output Token Count (tokens),185.36,1.00,584.00,161816.00,48.00,64.00,85.00,127.00,174.00,237.00,294.00,349.00,437.84,85.81
Output Token Throughput Per User (tokens/sec/user),71.38,53.97,90.03,73089.68,59.33,62.24,63.73,66.97,71.03,75.22,79.45,82.30,87.07,6.11
Prefill Throughput Per User (tokens/sec/user),207.28,15.93,731.76,212259.06,28.82,49.78,82.38,133.88,186.63,256.59,365.34,434.21,569.75,113.53
Reasoning Token Count (tokens),1410.77,125.00,4096.00,1444632.00,176.00,217.20,263.00,426.00,808.00,1850.00,4096.00,4096.00,4096.00,1362.30
Request Latency (ms),23614.92,3459.79,70948.40,24181677.77,3846.14,5042.99,5959.75,9126.19,14973.52,31882.65,60519.24,64773.06,69113.32,20090.07
Time to First Output Token (ms),14591.41,2220.84,61840.53,12636157.72,2959.16,3666.13,4411.16,6332.80,10264.36,18054.55,33051.48,42799.22,56275.75,12120.83
Time to First Token (ms),857.13,438.43,3673.91,877704.85,445.71,495.66,504.31,567.61,653.20,764.90,1203.54,2640.49,3476.89,665.29
Time to Second Token (ms),61.22,31.12,224.34,62693.12,43.84,51.04,52.24,53.48,55.38,56.26,57.68,60.98,197.59,29.32
Tokens In Flight (tokens),159081.06,0.00,237091.32,,,,,,184093.04,,212261.93,219812.54,232300.08,56890.84
Usage Completion Tokens (tokens),1568.80,249.00,4096.00,1606448.00,252.00,323.00,377.00,588.50,1020.00,2083.50,4096.00,4096.00,4096.00,1324.88
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),142.19,50.00,403.00,145605.00,51.00,62.00,78.00,98.00,128.50,166.00,237.70,281.00,330.00,63.83
Usage Reasoning Tokens (tokens),1410.77,125.00,4096.00,1444632.00,176.00,217.20,263.00,426.00,808.00,1850.00,4096.00,4096.00,4096.00,1362.30
Usage Total Tokens (tokens),1710.99,302.00,4499.00,1752053.00,334.00,384.00,477.00,698.00,1167.00,2328.00,4228.40,4268.00,4373.00,1345.45

Metric,Value
Benchmark Duration (sec),221.69
Input Token Throughput (tokens/sec),656.77
Output Token Throughput (tokens/sec),7246.12
Overall Usage Prompt Cache Read % (%),0.00
Request Count,1024.00
Request Throughput (requests/sec),4.62
Total Input Sequence Length (tokens),145605.00
Total Output Sequence Length (tokens),1606448.00
Total Output Tokens (tokens),161816.00
Total Reasoning Tokens (tokens),1444632.00
Total Token Throughput (tokens/sec),7902.90
Total Usage Completion Tokens (tokens),1606448.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),145605.00
Total Usage Reasoning Tokens (tokens),1444632.00
Total Usage Total Tokens (tokens),1752053.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
