method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,125.40,440.98,27.56,615.55,8.02,12711.74,138.36,1459.18
mtp,8,0,100,112.59,751.25,46.95,641.11,8.95,14079.70,138.36,1447.11
mtp,16,0,128,96.16,1243.44,77.72,646.53,10.47,18497.64,146.27,1651.98
mtp,32,0,256,91.55,2315.28,144.71,1018.94,11.11,18004.30,139.77,1513.80
mtp,64,0,512,84.98,4188.09,261.76,1138.46,11.85,20903.41,142.14,1609.89
mtp,128,0,1024,71.38,7246.12,452.88,857.13,14.11,23614.92,142.19,1568.80
mtp,256,0,2048,52.16,10762.88,672.68,1113.87,19.59,33458.39,142.94,1607.01
mtp,512,0,4096,55.15,12369.66,773.10,27182.20,19.76,59301.55,143.48,1609.57
dspark,4,0,100,141.49,499.42,31.21,470.49,7.14,11862.83,138.36,1521.36
dspark,8,0,100,128.81,861.52,53.84,524.83,7.85,12910.71,138.36,1506.50
dspark,16,0,128,114.82,1455.09,90.94,493.15,8.82,16628.20,146.27,1740.96
dspark,32,0,256,105.58,2603.39,162.71,531.26,9.57,15981.69,139.77,1548.59
dspark,64,0,512,95.69,4660.67,291.29,555.67,10.56,18181.98,142.14,1608.30
dspark,128,0,1024,73.97,7217.09,451.07,782.72,14.07,24642.49,142.19,1612.78
dspark,256,0,2048,59.27,7154.97,447.19,18779.17,19.61,50160.36,142.94,1597.16
dspark,512,0,4096,53.84,6475.78,404.74,67065.43,32.06,115327.20,143.48,1637.08
