Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1124.13,0.00,1655.29,,,,,,1202.54,,1284.79,1307.05,1375.58,235.13
Active Decode Throughput Per User (tokens/sec/user),157.80,0.00,435.85,,,,,,155.82,,168.89,183.29,202.79,11.87
Active Prefill Throughput (tokens/sec),169.24,47.22,1171.52,,,,,,116.04,,281.74,432.09,1059.66,164.58
Active Prefill Throughput Per User (tokens/sec/user),135.63,47.22,642.25,,,,,,112.74,,211.89,317.87,432.09,84.27
Active Total Throughput (tokens/sec),1167.58,169.55,1752.22,,,,,,1234.33,,1281.96,1322.96,1518.47,242.17
Credit-to-Start Latency (ms),1.38,0.65,4.67,137.63,0.66,0.71,0.74,0.89,1.11,1.63,2.41,2.53,2.87,0.69
Decode Duration (ms),11267.36,1889.23,30010.86,1126735.99,1894.03,2672.78,3324.52,4641.30,7468.97,16322.43,26332.77,27626.23,28904.24,8524.90
E2E Output Token Throughput (tokens/sec/user),146.47,98.88,176.25,14646.57,106.62,123.22,128.82,137.95,146.74,156.53,163.45,166.56,172.59,14.04
Effective Concurrency,7.53,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.56
Effective Decode Concurrency,7.20,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.62
Effective Decode Throughput (tokens/sec),1121.59,0.00,1655.29,,,,,,1202.25,,1284.75,1307.01,1375.58,240.85
Effective Decode Throughput Per User (tokens/sec/user),157.44,0.00,435.85,,,,,,155.79,,168.85,183.21,202.79,14.02
Effective Latency (CO-aware) (ms),11792.05,2332.69,30643.50,1179205.39,2372.84,3128.61,3807.35,5152.01,7964.46,16896.34,26818.55,28183.61,29457.82,8531.88
Effective Prefill Concurrency,0.33,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.70
Effective Prefill Throughput (tokens/sec),45.95,0.00,1171.52,,,,,,0.00,,152.08,213.00,618.59,114.10
Effective Prefill Throughput Per User (tokens/sec/user),36.82,0.00,642.25,,,,,,0.00,,130.37,174.44,354.70,74.61
Effective Total Throughput (tokens/sec),1167.54,0.00,1752.22,,,,,,1234.33,,1281.96,1322.96,1518.47,242.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,304.86,52.00,807.00,30486.00,52.00,72.80,91.50,125.00,202.00,438.50,719.20,738.65,774.33,229.73
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
