Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1435.01,0.00,2086.29,,,,,,1665.50,,1786.24,1806.77,1907.78,506.37
Active Decode Throughput Per User (tokens/sec/user),101.97,0.00,277.61,,,,,,108.82,,113.91,119.69,137.54,23.99
Active Prefill Throughput (tokens/sec),170.53,25.94,1082.03,,,,,,119.68,,308.61,481.32,1082.03,170.38
Active Prefill Throughput Per User (tokens/sec/user),121.37,25.94,616.87,,,,,,97.88,,199.28,274.20,481.32,83.27
Active Total Throughput (tokens/sec),1486.24,25.94,2162.37,,,,,,1610.81,,1675.97,1712.13,2018.53,375.66
Credit-to-Start Latency (ms),1.47,0.68,4.15,188.77,0.70,0.76,0.80,0.94,1.16,1.85,2.74,2.93,3.44,0.76
Decode Duration (ms),17763.39,2494.25,44557.15,2273713.78,3135.82,4037.86,5445.71,7964.77,12681.90,26704.43,39595.66,41504.60,44270.53,12571.72
E2E Output Token Throughput (tokens/sec/user),95.25,68.44,113.47,12192.64,74.51,80.69,85.71,90.81,96.04,100.31,103.21,107.44,112.43,7.82
Effective Concurrency,14.63,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.63
Effective Decode Concurrency,14.11,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,3.71
Effective Decode Throughput (tokens/sec),1429.34,0.00,2086.29,,,,,,1664.68,,1786.14,1806.61,1907.78,513.32
Effective Decode Throughput Per User (tokens/sec/user),101.57,0.00,277.61,,,,,,108.79,,113.91,119.60,137.54,24.78
Effective Latency (CO-aware) (ms),18425.69,3259.71,45554.54,2358488.81,3717.88,4611.23,6004.95,8765.29,13305.64,27281.12,40256.36,42061.85,44854.84,12569.03
Effective Prefill Concurrency,0.52,0.00,16.00,,,,,,0.00,,1.00,2.00,3.00,1.41
Effective Prefill Throughput (tokens/sec),56.85,0.00,1082.03,,,,,,0.00,,162.68,252.85,708.34,127.04
Effective Prefill Throughput Per User (tokens/sec/user),40.46,0.00,616.87,,,,,,0.00,,129.84,171.49,354.17,74.73
Effective Total Throughput (tokens/sec),1486.19,0.00,2162.37,,,,,,1610.81,,1675.97,1712.13,2018.53,375.74
