method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,130.24,496.96,31.06,598.45,7.71,14073.96,71.94,1770.89
mtp,8,0,100,116.98,867.86,54.24,638.35,8.58,15660.57,71.94,1773.85
mtp,16,0,128,100.83,1430.14,89.38,654.44,9.95,18417.83,71.57,1800.49
mtp,32,0,256,97.78,2637.31,164.83,851.95,10.28,19730.07,79.22,1859.49
mtp,64,0,512,88.27,4739.23,296.20,623.65,11.39,22353.09,80.90,1929.88
mtp,128,0,1024,75.16,8183.38,511.46,765.95,13.37,26158.11,80.43,1920.05
mtp,256,0,2048,56.63,12649.66,790.60,842.56,17.84,34688.92,80.35,1921.97
mtp,512,0,4096,59.93,14390.04,899.38,29009.52,17.36,61800.96,80.53,1919.48
dspark,4,0,100,173.38,644.63,40.29,486.45,5.81,10933.39,71.94,1780.17
dspark,8,0,100,157.58,1122.23,70.14,519.57,6.39,11786.93,71.94,1757.04
dspark,16,0,128,140.33,1955.18,122.20,515.50,7.18,13320.66,71.57,1773.20
dspark,32,0,256,128.90,3289.74,205.61,545.66,7.83,15439.53,79.22,1883.95
dspark,64,0,512,117.29,6025.21,376.58,844.84,8.60,18041.57,80.90,1981.53
dspark,128,0,1024,90.76,9250.51,578.16,1270.71,11.36,23351.75,80.43,1926.53
dspark,256,0,2048,76.24,9699.94,606.25,17727.72,14.86,45730.22,80.35,1913.39
dspark,512,0,4096,66.92,8967.22,560.45,57291.79,23.54,99384.78,80.53,1920.75
