Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),809.91,0.00,1260.50,,,,,,860.96,,939.24,967.90,1008.23,160.03
Active Decode Throughput Per User (tokens/sec/user),115.15,0.00,285.05,,,,,,112.48,,131.72,137.33,142.07,10.06
Active Prefill Throughput (tokens/sec),63.79,38.93,418.19,,,,,,54.49,,76.21,114.17,340.50,42.00
Active Prefill Throughput Per User (tokens/sec/user),55.07,38.93,98.44,,,,,,53.61,,66.84,74.45,82.39,9.98
Active Total Throughput (tokens/sec),822.47,44.46,1006.92,,,,,,875.48,,930.60,955.39,979.90,160.32
Credit-to-Start Latency (ms),1.45,0.57,3.79,145.09,0.61,0.71,0.74,0.91,1.10,1.64,3.02,3.30,3.56,0.82
Decode Duration (ms),14232.51,1622.79,41981.31,1423250.57,2218.28,3428.37,3763.38,5528.98,8545.71,19964.79,35532.08,39309.49,40869.84,11949.09
E2E Output Token Throughput (tokens/sec/user),109.08,90.10,184.64,10907.77,92.39,95.18,96.33,101.89,108.20,113.97,121.43,125.12,130.81,11.77
Effective Concurrency,7.37,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.58
Effective Decode Concurrency,7.12,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.60
Effective Decode Throughput (tokens/sec),808.58,0.00,1260.50,,,,,,860.87,,939.24,967.67,1008.23,163.23
Effective Decode Throughput Per User (tokens/sec/user),114.96,0.00,285.05,,,,,,112.46,,131.69,137.33,142.07,11.09
Effective Latency (CO-aware) (ms),14744.54,2163.97,42531.71,1474454.17,2657.44,3869.58,4324.75,6089.06,9031.43,20495.50,35970.30,39738.42,41314.31,11942.32
Effective Prefill Concurrency,0.25,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.60
Effective Prefill Throughput (tokens/sec),13.87,0.00,418.19,,,,,,0.00,,56.59,64.33,114.17,32.80
Effective Prefill Throughput Per User (tokens/sec/user),11.97,0.00,98.44,,,,,,0.00,,54.49,61.97,74.45,23.18
Effective Total Throughput (tokens/sec),822.44,0.00,1006.92,,,,,,875.48,,930.60,955.39,979.90,160.39
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,390.73,46.00,1143.00,39073.00,60.85,94.55,104.80,152.75,234.50,541.75,976.00,1076.30,1105.38,328.70
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),168.74,20.88,492.25,16873.63,27.46,41.77,46.26,66.68,101.61,232.96,419.16,463.56,476.27,141.03
HTTP Data Sent (KB),0.23,0.20,0.30,23.28,0.20,0.21,0.21,0.22,0.23,0.25,0.26,0.27,0.30,0.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14743.03,2161.33,42531.04,1474302.77,2655.77,3866.23,4323.56,6087.38,9030.24,20492.99,35968.87,39735.45,41313.52,11942.39
HTTP Receiving (ms),14238.46,1659.38,41981.32,1423845.96,2218.65,3430.26,3763.38,5555.84,8564.09,19964.80,35532.35,39309.50,40869.85,11945.37
HTTP Sending (ms),0.14,0.11,0.23,14.36,0.11,0.12,0.12,0.13,0.15,0.16,0.17,0.17,0.22,0.02
HTTP Total Time (ms),14743.03,2161.33,42531.04,1474302.77,2655.77,3866.23,4323.56,6087.38,9030.24,20492.99,35968.87,39735.45,41313.52,11942.39
HTTP Waiting (TTFB) (ms),504.42,321.62,625.23,50442.45,389.74,430.21,433.64,441.78,499.83,556.74,584.81,590.29,619.01,64.23
Input Sequence Length (tokens),27.72,20.00,43.00,2772.00,21.98,23.00,24.00,25.00,27.00,29.25,32.00,36.00,42.01,4.04
Inter Chunk Latency (ms),36.54,24.43,77.79,1423250.57,30.34,33.27,34.39,36.07,36.65,37.14,37.90,39.22,41.39,2.41
Inter Token Latency (ms),8.70,5.30,10.67,869.77,7.07,7.50,7.67,8.09,8.72,9.30,9.88,10.10,10.26,0.85
Output Sequence Length (tokens),1617.56,198.00,4096.00,161756.00,295.02,403.30,458.00,644.00,984.00,2141.25,4096.00,4096.00,4096.00,1325.01
Output Token Count (tokens),347.68,70.00,820.00,28510.00,73.24,101.45,154.90,229.00,324.50,441.25,599.50,644.75,758.44,166.81
Output Token Throughput Per User (tokens/sec/user),116.18,93.69,188.53,11618.30,97.50,99.06,101.25,107.54,114.69,123.59,130.45,133.27,141.58,12.64
Prefill Throughput Per User (tokens/sec/user),55.80,38.93,98.44,5580.31,39.35,42.39,44.10,47.18,54.26,62.18,69.35,74.72,82.55,10.68
Reasoning Token Count (tokens),1332.46,116.00,4096.00,133246.00,121.94,201.95,236.90,338.50,592.00,1709.75,4096.00,4096.00,4096.00,1412.02
Request Latency (ms),14737.14,2124.81,42531.09,1473714.31,2655.46,3864.42,4323.61,6060.59,9011.92,20493.05,35968.66,39735.52,41313.58,11946.12
Time to First Output Token (ms),7326.64,1460.96,26872.88,600784.85,1673.39,2369.16,2689.84,3533.52,5122.61,9970.17,15344.53,18496.31,26401.04,5744.02
Time to First Token (ms),504.64,321.82,625.46,50463.74,389.94,430.46,433.85,442.01,500.05,556.93,585.06,590.51,619.24,64.23
Time to Second Token (ms),36.02,27.27,40.30,3602.04,32.25,32.66,34.47,35.73,36.28,36.78,37.19,37.75,39.35,1.59
Tokens In Flight (tokens),9819.86,0.00,16825.91,,,,,,9880.45,,13723.16,14551.86,16072.57,3026.07
Usage Completion Tokens (tokens),1617.56,198.00,4096.00,161756.00,295.02,403.30,458.00,644.00,984.00,2141.25,4096.00,4096.00,4096.00,1325.01
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),27.72,20.00,43.00,2772.00,21.98,23.00,24.00,25.00,27.00,29.25,32.00,36.00,42.01,4.04
Usage Reasoning Tokens (tokens),1332.46,116.00,4096.00,133246.00,121.94,201.95,236.90,338.50,592.00,1709.75,4096.00,4096.00,4096.00,1412.02
Usage Total Tokens (tokens),1645.28,227.00,4139.00,164528.00,318.08,434.95,482.20,669.00,1010.00,2168.25,4124.10,4126.10,4134.05,1325.97

Metric,Value
Benchmark Duration (sec),199.92
Input Token Throughput (tokens/sec),13.87
Output Token Throughput (tokens/sec),809.08
Overall Usage Prompt Cache Read % (%),0.00
Request Count,100.00
Request Throughput (requests/sec),0.50
Total Input Sequence Length (tokens),2772.00
Total Output Sequence Length (tokens),161756.00
Total Output Tokens (tokens),28510.00
Total Reasoning Tokens (tokens),133246.00
Total Token Throughput (tokens/sec),822.95
Total Usage Completion Tokens (tokens),161756.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),2772.00
Total Usage Reasoning Tokens (tokens),133246.00
Total Usage Total Tokens (tokens),164528.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
