Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1253.49,0.00,1821.88,,,,,,1446.04,,1549.06,1580.41,1663.34,409.88
Active Decode Throughput Per User (tokens/sec/user),90.28,0.00,265.54,,,,,,94.79,,101.74,112.01,121.78,21.06
Active Prefill Throughput (tokens/sec),66.73,20.36,435.69,,,,,,50.78,,100.69,126.10,435.69,53.65
Active Prefill Throughput Per User (tokens/sec/user),46.98,20.36,89.06,,,,,,45.95,,59.26,63.73,69.18,9.33
Active Total Throughput (tokens/sec),1269.21,20.37,1537.66,,,,,,1379.78,,1433.73,1443.23,1507.33,289.86
Credit-to-Start Latency (ms),1.46,0.58,4.04,187.18,0.60,0.67,0.76,0.88,1.05,1.65,3.17,3.46,3.75,0.90
Decode Duration (ms),18747.46,2088.29,52045.34,2399674.94,2949.28,3783.06,4951.88,6962.68,11736.53,26399.34,46340.33,48229.29,50807.76,15462.61
E2E Output Token Throughput (tokens/sec/user),85.30,71.97,124.81,10917.94,73.22,76.46,77.93,80.51,84.61,89.09,93.26,95.63,99.02,6.90
Effective Concurrency,14.52,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.49
Effective Decode Concurrency,14.03,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,3.54
Effective Decode Throughput (tokens/sec),1248.44,0.00,1821.88,,,,,,1445.60,,1549.04,1579.87,1663.34,416.68
Effective Decode Throughput Per User (tokens/sec/user),89.92,0.00,265.54,,,,,,94.77,,101.69,111.64,121.78,21.78
Effective Latency (CO-aware) (ms),19408.41,2755.29,52571.79,2484275.86,3581.32,4395.48,5804.78,7548.81,12533.97,27057.90,46976.92,48981.21,52085.16,15461.32
Effective Prefill Concurrency,0.49,0.00,16.00,,,,,,0.00,,1.00,2.00,3.00,1.33
Effective Prefill Throughput (tokens/sec),20.73,0.00,435.69,,,,,,0.00,,61.38,90.03,136.83,42.98
