method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,116.89,429.10,26.82,668.47,8.62,14857.76,27.72,1612.86
mtp,8,0,100,104.51,730.44,45.65,672.75,9.63,16213.36,27.72,1599.80
mtp,16,0,128,90.72,1249.19,78.07,649.06,11.09,19396.53,27.71,1669.92
mtp,32,0,256,87.29,2291.10,143.19,829.82,11.58,20625.45,27.98,1706.51
mtp,64,0,512,81.47,4154.52,259.66,801.70,12.34,21841.07,28.04,1667.12
mtp,128,0,1024,68.13,7075.21,442.20,880.35,14.76,26549.75,28.05,1709.84
mtp,256,0,2048,50.72,10743.53,671.47,1473.23,20.00,35302.45,28.04,1677.68
mtp,512,0,4096,56.16,12932.94,808.31,28127.11,18.27,59249.55,28.04,1674.90
dspark,4,0,100,127.90,469.42,29.34,500.91,7.90,13428.87,27.72,1603.91
dspark,8,0,100,116.18,809.08,50.57,504.64,8.70,14737.14,27.72,1617.56
dspark,16,0,128,103.80,1432.94,89.56,490.78,9.73,17306.64,27.71,1705.67
dspark,32,0,256,96.10,2569.90,160.62,518.60,10.51,18519.80,27.98,1684.89
dspark,64,0,512,87.03,4423.88,276.49,534.58,11.60,21036.04,28.04,1727.52
dspark,128,0,1024,68.92,6984.51,436.53,672.88,14.89,26239.18,28.05,1671.32
dspark,256,0,2048,58.62,7364.43,460.28,19707.52,18.89,51949.97,28.04,1700.64
dspark,512,0,4096,52.44,6594.45,412.15,70185.21,27.25,114923.89,28.04,1679.58
