Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2026.91,0.00,3764.13,,,,,,2422.42,,3086.53,3222.10,3394.24,961.48
Active Decode Throughput Per User (tokens/sec/user),87.22,0.00,292.29,,,,,,81.49,,104.18,107.56,134.62,13.74
Active Prefill Throughput (tokens/sec),2303.60,30.88,8739.28,,,,,,2261.50,,4585.23,5194.56,6817.55,1608.80
Active Prefill Throughput Per User (tokens/sec/user),1563.84,30.88,3249.19,,,,,,1704.39,,2875.94,3137.02,3249.19,1000.15
Active Total Throughput (tokens/sec),3059.54,56.11,11487.16,,,,,,2674.25,,5574.70,6844.64,9049.38,2076.62
Credit-to-Start Latency (ms),1.66,0.41,12.72,265.95,0.42,0.54,0.64,0.85,1.22,2.10,2.81,3.57,8.22,1.53
Decode Duration (ms),19441.79,1740.12,53386.45,3110685.62,1989.76,2636.49,3655.77,8065.67,18191.21,28572.58,38143.22,41954.18,47391.25,12731.32
E2E Output Token Throughput (tokens/sec/user),87.68,44.66,138.19,14028.81,45.25,59.86,64.19,69.64,84.70,105.63,118.72,122.63,126.58,21.49
Effective Concurrency,24.46,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.91
Effective Decode Concurrency,23.59,0.00,32.00,,,,,,30.00,,32.00,32.00,32.00,10.68
Effective Decode Throughput (tokens/sec),2016.96,0.00,3764.13,,,,,,2421.32,,3084.99,3221.65,3394.24,969.52
Effective Decode Throughput Per User (tokens/sec/user),86.79,0.00,292.29,,,,,,81.46,,104.15,107.55,134.62,15.00
Effective Latency (CO-aware) (ms),20166.77,2220.62,54224.49,3226682.95,2785.42,3460.18,4464.11,8767.45,18837.12,29403.59,38743.60,42401.89,48389.25,12763.93
Effective Prefill Concurrency,0.87,0.00,32.00,,,,,,0.00,,2.00,2.00,4.00,2.64
Effective Prefill Throughput (tokens/sec),1042.43,0.00,8739.28,,,,,,0.00,,3194.83,4499.83,6247.63,1576.68
Effective Prefill Throughput Per User (tokens/sec/user),707.67,0.00,3249.19,,,,,,0.00,,2444.75,2669.09,3249.19,1028.86
Effective Total Throughput (tokens/sec),3059.40,0.00,11487.16,,,,,,2674.25,,5574.70,6844.64,9049.38,2076.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,437.36,40.00,1188.00,69978.00,45.72,60.00,83.80,180.75,404.00,635.50,858.10,935.90,1085.92,287.71
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.39,0.00,4.31,62.26,0.00,0.00,0.00,0.00,0.00,0.00,0.35,3.85,4.18,1.17
HTTP Connection Overhead (ms),0.72,0.00,7.95,115.81,0.00,0.00,0.00,0.00,0.00,0.00,0.64,7.20,7.73,2.18
HTTP Connection Reused (ratio),0.90,0.00,1.00,144.00,0.00,0.00,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),188.75,18.48,508.34,30200.34,20.79,27.07,37.01,79.24,174.64,273.06,368.95,405.37,465.10,123.26
HTTP Data Sent (KB),3.61,0.19,17.17,577.19,0.22,0.24,0.26,0.34,1.40,6.50,10.04,11.66,16.23,4.24
HTTP DNS Lookup (ms),0.33,0.00,3.73,53.56,0.00,0.00,0.00,0.00,0.00,0.00,0.29,3.29,3.60,1.01
HTTP Duration (excl. conn) (ms),20165.03,2219.99,54223.32,3226405.14,2784.48,3459.02,4463.04,8766.54,18836.27,29400.88,38742.73,42400.37,48387.48,12763.72
HTTP Receiving (ms),19446.61,1740.17,53386.49,3111458.28,1989.78,2636.54,3655.78,8065.67,18191.22,28572.58,38143.23,41954.19,47391.28,12730.62
HTTP Sending (ms),0.56,0.11,4.63,90.32,0.11,0.11,0.12,0.13,0.15,0.19,0.65,4.21,4.54,1.23
HTTP Total Time (ms),20165.76,2219.99,54223.32,3226520.95,2787.63,3465.61,4468.84,8766.54,18836.27,29400.88,38742.73,42400.37,48387.48,12763.22
HTTP Waiting (TTFB) (ms),717.85,397.33,1570.47,114856.53,402.21,443.84,447.56,529.49,705.16,880.62,985.84,1075.83,1385.63,233.79
Input Sequence Length (tokens),859.44,24.00,4391.00,137511.00,25.18,30.95,34.00,50.00,310.00,1520.00,2292.70,2786.15,4153.69,1048.33
Inter Chunk Latency (ms),44.57,23.22,141.53,3110685.62,36.28,40.49,43.05,44.41,44.88,45.17,45.81,47.17,49.50,2.66
Inter Token Latency (ms),11.44,6.43,21.59,1830.24,6.75,7.30,7.58,8.79,10.76,13.90,15.15,16.00,20.81,3.24
Output Sequence Length (tokens),1663.90,218.00,4096.00,266224.00,238.31,288.95,425.40,832.00,1562.50,2223.50,3072.50,4096.00,4096.00,1026.04
Output Token Count (tokens),530.67,10.00,2550.00,79600.00,12.98,25.45,44.90,152.00,369.50,833.75,1150.80,1368.80,1824.16,466.84
Output Token Throughput Per User (tokens/sec/user),94.34,46.31,155.60,15094.78,48.05,62.48,66.03,71.95,92.93,113.78,131.93,137.02,148.10,25.61
Prefill Throughput Per User (tokens/sec/user),1038.19,29.36,3249.19,166110.67,34.49,40.56,50.16,81.01,616.11,2011.72,2475.21,2876.41,3160.72,1032.48
Reasoning Token Count (tokens),1166.40,31.00,4096.00,186624.00,100.77,214.55,261.50,633.75,949.50,1336.00,2113.90,4096.00,4096.00,957.77
Request Latency (ms),20160.29,2220.06,54223.38,3225645.88,2784.57,3459.15,4463.17,8766.62,18836.33,29400.95,38742.80,42400.44,48387.52,12764.42
Time to First Output Token (ms),11873.30,943.33,51107.00,1780994.47,1398.41,2720.56,3329.96,5410.49,11390.99,16077.22,21120.08,25100.63,29132.11,7431.39
Time to First Token (ms),718.50,397.54,1570.70,114960.26,402.39,444.02,447.77,529.71,705.41,884.08,986.07,1076.06,1385.89,234.09
Time to Second Token (ms),44.00,27.12,49.52,7039.75,39.82,40.50,41.14,43.26,43.99,44.94,46.90,48.12,49.19,2.36
Tokens In Flight (tokens),52241.14,0.00,93401.80,,,,,,57711.08,,85391.51,88340.05,91126.43,25462.09
Usage Completion Tokens (tokens),1663.90,218.00,4096.00,266224.00,238.31,288.95,425.40,832.00,1562.50,2223.50,3072.50,4096.00,4096.00,1026.04
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),859.44,24.00,4391.00,137511.00,25.18,30.95,34.00,50.00,310.00,1520.00,2292.70,2786.15,4153.69,1048.33
Usage Reasoning Tokens (tokens),1166.40,31.00,4096.00,186624.00,100.77,214.55,261.50,633.75,949.50,1336.00,2113.90,4096.00,4096.00,957.77
Usage Total Tokens (tokens),2523.34,253.00,8255.00,403735.00,286.95,468.10,633.70,1254.25,2115.00,3924.75,4764.00,5449.00,7889.13,1688.65

Metric,Value
Benchmark Duration (sec),131.91
Input Token Throughput (tokens/sec),1042.43
Output Token Throughput (tokens/sec),2018.17
Overall Usage Prompt Cache Read % (%),0.00
Request Count,160.00
Request Throughput (requests/sec),1.21
Total Input Sequence Length (tokens),137511.00
Total Output Sequence Length (tokens),266224.00
Total Output Tokens (tokens),79600.00
Total Reasoning Tokens (tokens),186624.00
Total Token Throughput (tokens/sec),3060.61
Total Usage Completion Tokens (tokens),266224.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),137511.00
Total Usage Reasoning Tokens (tokens),186624.00
Total Usage Total Tokens (tokens),403735.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
