Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2698.08,0.00,6884.45,,,,,,2114.71,,5555.57,5910.05,6145.51,1681.29
Active Decode Throughput Per User (tokens/sec/user),72.48,0.00,246.09,,,,,,74.00,,83.04,89.40,118.62,18.20
Active Prefill Throughput (tokens/sec),3174.53,47.96,11585.08,,,,,,2650.59,,5424.55,6346.39,11585.08,2006.85
Active Prefill Throughput Per User (tokens/sec/user),1950.38,47.96,3443.58,,,,,,2056.14,,3059.02,3118.36,3443.58,821.56
Active Total Throughput (tokens/sec),4077.36,47.96,13794.46,,,,,,4021.16,,7687.13,8330.80,13529.24,2786.78
Credit-to-Start Latency (ms),1.65,0.41,5.23,263.91,0.42,0.53,0.58,0.94,1.49,2.29,2.85,3.17,4.03,0.89
Decode Duration (ms),24691.03,2652.32,59227.94,3950564.51,2854.77,4471.03,6132.18,11263.07,22294.39,38121.00,46141.05,52601.08,57156.30,15187.87
E2E Output Token Throughput (tokens/sec/user),64.51,32.84,104.14,10321.26,35.23,48.61,52.22,57.01,64.31,72.26,77.34,80.53,99.73,11.69
Effective Concurrency,41.24,0.00,80.00,,,,,,37.00,,79.00,80.00,80.00,24.25
Effective Decode Concurrency,39.64,0.00,80.00,,,,,,37.00,,76.00,78.00,80.00,23.73
Effective Decode Throughput (tokens/sec),2679.11,0.00,6884.45,,,,,,2082.08,,5551.37,5910.05,6145.51,1690.47
Effective Decode Throughput Per User (tokens/sec/user),71.97,0.00,246.09,,,,,,73.97,,82.99,88.84,118.62,19.12
Effective Latency (CO-aware) (ms),25703.71,3572.81,60500.04,4112594.26,3703.81,5744.03,7200.62,12266.28,23230.55,39235.76,47227.19,53610.80,58272.57,15217.99
Effective Prefill Concurrency,1.60,0.00,80.00,,,,,,0.00,,2.00,3.00,78.00,8.26
Effective Prefill Throughput (tokens/sec),1398.01,0.00,11585.08,,,,,,0.00,,4025.34,5337.61,11464.69,2063.30
Effective Prefill Throughput Per User (tokens/sec/user),858.91,0.00,3443.58,,,,,,0.00,,2602.40,3059.02,3443.58,1111.18
Effective Total Throughput (tokens/sec),4077.11,0.00,13794.46,,,,,,4021.16,,7687.13,8330.80,13529.24,2786.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,454.21,49.00,1101.00,72673.00,50.18,78.95,105.70,189.50,400.00,694.25,892.50,954.80,1087.41,297.37
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.89,0.00,14.88,142.97,0.00,0.00,0.00,0.00,0.00,1.36,3.58,4.30,4.92,1.75
HTTP Connection Overhead (ms),1.22,0.00,14.88,194.63,0.00,0.00,0.00,0.00,0.00,1.36,6.21,7.53,8.65,2.49
HTTP Connection Reused (ratio),0.60,0.00,1.00,96.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),195.80,21.96,475.71,31327.85,22.57,34.74,45.72,81.83,173.21,298.57,384.65,414.11,465.36,127.67
HTTP Data Sent (KB),3.64,0.19,18.11,581.73,0.22,0.24,0.26,0.34,1.41,5.83,10.51,13.53,15.75,4.36
HTTP DNS Lookup (ms),0.32,0.00,4.14,51.66,0.00,0.00,0.00,0.00,0.00,0.00,0.26,3.23,3.44,0.97
HTTP Duration (excl. conn) (ms),25701.99,3570.93,60497.11,4112317.70,3702.98,5742.53,7199.90,12264.85,23228.96,39232.64,47225.43,53608.32,58270.04,15217.83
HTTP Receiving (ms),24705.94,2652.32,59227.94,3952951.03,2854.79,4471.04,6132.18,11263.07,22294.39,38121.00,46141.08,52601.08,57185.34,15183.50
HTTP Sending (ms),1.08,0.12,15.03,173.09,0.13,0.13,0.14,0.16,0.22,1.56,3.79,4.54,5.18,1.76
HTTP Total Time (ms),25703.20,3570.93,60498.66,4112512.33,3707.43,5749.55,7200.04,12265.23,23228.96,39232.64,47226.86,53608.35,58271.53,15217.42
