method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,160,112.19,398.90,24.93,729.40,9.23,16158.63,867.54,1658.60
mtp,8,0,160,99.64,684.30,42.77,747.97,10.39,18066.72,868.59,1657.79
mtp,16,0,160,86.48,1156.55,72.28,769.28,11.95,20827.90,889.15,1673.31
mtp,32,0,160,83.41,1899.24,118.70,737.15,12.46,21906.12,890.58,1689.33
mtp,64,0,160,72.28,2598.67,162.42,821.20,14.38,24377.23,872.41,1659.08
mtp,128,0,160,68.95,2680.71,167.54,996.13,15.05,25687.16,871.24,1670.62
dspark,4,0,160,125.86,419.84,26.24,826.41,8.55,15255.43,847.62,1641.89
dspark,8,0,160,113.34,740.67,46.29,632.51,9.51,16458.22,854.49,1616.55
dspark,16,0,160,101.61,1260.12,78.76,643.81,10.64,18991.88,894.02,1700.85
dspark,32,0,160,94.34,2018.17,126.14,718.50,11.44,20160.29,859.44,1663.90
dspark,64,0,160,86.37,2634.93,164.68,789.41,12.52,21994.91,872.93,1661.11
dspark,128,0,160,83.98,2726.95,170.43,747.88,12.81,22229.26,855.42,1653.67
