Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7937.10,0.00,10792.05,,,,,,8355.17,,9368.20,9639.53,10036.90,1880.38
Active Decode Throughput Per User (tokens/sec/user),49.47,0.00,269.23,,,,,,48.27,,62.12,69.17,108.06,13.81
Active Prefill Throughput (tokens/sec),2158.50,0.41,26157.65,,,,,,2088.06,,2782.83,3094.89,5141.25,1202.11
Active Prefill Throughput Per User (tokens/sec/user),6.99,0.39,125.44,,,,,,6.66,,8.56,9.45,13.93,2.48
Active Total Throughput (tokens/sec),9959.29,29.52,26194.49,,,,,,10476.92,,11663.99,12182.82,14494.89,2671.56
Credit-to-Start Latency (ms),1.67,0.32,43.81,6851.16,0.40,0.52,0.68,0.85,1.24,1.69,2.44,3.18,17.30,2.63
Decode Duration (ms),23276.56,1810.78,224001.26,95340793.81,2641.18,3526.66,4449.59,7799.75,15322.26,28414.91,52884.90,71221.82,120912.69,24444.76
E2E Output Token Throughput (tokens/sec/user),18.41,1.44,98.78,75415.93,3.67,5.52,6.91,10.80,16.32,21.83,30.49,40.45,67.02,12.36
Effective Concurrency,457.93,0.00,512.00,,,,,,512.00,,512.00,512.00,512.00,137.58
Effective Decode Concurrency,171.57,0.00,244.00,,,,,,175.00,,216.00,227.00,238.00,46.71
Effective Decode Throughput (tokens/sec),7929.30,0.00,10792.05,,,,,,8353.94,,9368.00,9639.53,10035.83,1895.83
Effective Decode Throughput Per User (tokens/sec/user),49.42,0.00,269.23,,,,,,48.26,,62.11,69.17,108.06,13.89
Effective Latency (CO-aware) (ms),62149.37,3308.57,260414.22,254563803.52,12220.09,29341.10,38371.20,47122.27,55747.76,69511.44,95766.54,116713.91,165052.15,28009.37
Effective Prefill Concurrency,286.36,0.00,512.00,,,,,,323.00,,353.00,363.00,370.00,103.67
Effective Prefill Throughput (tokens/sec),2029.87,0.00,26157.65,,,,,,2059.28,,2754.03,3062.54,4955.76,1272.81
Effective Prefill Throughput Per User (tokens/sec/user),6.57,0.00,125.44,,,,,,6.58,,8.52,9.38,13.47,2.92
Effective Total Throughput (tokens/sec),9959.17,0.00,26194.49,,,,,,10476.92,,11663.99,12182.82,14494.89,2671.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,267.52,28.00,1301.00,1095771.00,41.00,54.00,66.50,112.00,217.00,335.00,554.00,745.25,1008.00,211.10
HTTP Chunks Sent,1.00,1.00,1.00,4096.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,37.75,717.15,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.33,3.00,1.56
