Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2065.90,0.00,3083.00,,,,,,2451.69,,2668.11,2729.63,2816.45,829.26
Active Decode Throughput Per User (tokens/sec/user),79.85,0.00,213.58,,,,,,81.44,,88.29,93.88,105.54,14.70
Active Prefill Throughput (tokens/sec),854.49,21.52,6410.22,,,,,,259.45,,2865.64,3666.89,5277.57,1201.45
Active Prefill Throughput Per User (tokens/sec/user),380.68,17.93,2191.91,,,,,,115.52,,1275.24,1493.38,1994.77,511.05
Active Total Throughput (tokens/sec),2530.82,42.73,8573.41,,,,,,2499.35,,3920.20,5445.35,6892.31,1300.32
Credit-to-Start Latency (ms),1.64,0.62,5.00,419.67,0.66,0.79,0.91,1.13,1.33,1.96,3.04,3.32,4.07,0.80
Decode Duration (ms),14796.99,2302.29,56165.35,3788030.37,2426.21,3951.63,5811.70,9447.42,12302.39,17031.33,25661.45,34543.85,51968.09,9553.97
E2E Output Token Throughput (tokens/sec/user),75.00,33.61,99.92,19198.84,47.37,58.30,62.06,70.17,76.04,81.29,86.13,88.52,94.73,9.56
Effective Concurrency,27.74,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.53
Effective Decode Concurrency,26.10,0.00,32.00,,,,,,30.00,,32.00,32.00,32.00,9.39
Effective Decode Throughput (tokens/sec),2060.07,0.00,3083.00,,,,,,2450.71,,2668.08,2729.63,2816.45,835.30
Effective Decode Throughput Per User (tokens/sec/user),79.62,0.00,213.58,,,,,,81.42,,88.29,93.85,105.54,15.28
Effective Latency (CO-aware) (ms),15737.61,2782.96,56587.36,4028829.28,2884.97,4619.78,6486.17,10383.80,13442.74,18138.66,26625.65,35136.01,53702.20,9597.71
Effective Prefill Concurrency,1.64,0.00,32.00,,,,,,1.00,,4.00,7.00,15.00,3.36
Effective Prefill Throughput (tokens/sec),470.63,0.00,6410.22,,,,,,59.32,,1395.61,3041.92,4928.53,987.78
Effective Prefill Throughput Per User (tokens/sec/user),209.67,0.00,2191.91,,,,,,45.73,,963.13,1313.56,1822.09,423.91
Effective Total Throughput (tokens/sec),2530.70,0.00,8573.41,,,,,,2499.35,,3920.20,5445.35,6892.31,1300.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,310.77,47.00,1193.00,79558.00,51.55,84.50,117.50,194.00,257.50,358.50,555.50,732.75,1047.50,201.78
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.37,0.00,6.44,94.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,6.35,1.44
HTTP Connection Overhead (ms),0.68,0.00,12.08,173.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.74,11.89,2.64
HTTP Connection Reused (ratio),0.94,0.00,1.00,240.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),134.36,21.13,512.25,34395.45,23.10,37.11,51.63,84.79,111.50,154.93,239.99,314.26,451.06,86.39
HTTP Data Sent (KB),1.32,0.19,6.85,338.01,0.19,0.20,0.21,0.26,0.36,2.07,3.86,5.29,6.40,1.69
