method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,112.93,399.16,24.95,750.07,9.06,14091.79,69.57,1433.82
mtp,8,0,100,101.15,703.15,43.95,655.51,10.12,15666.69,69.57,1446.49
mtp,16,0,128,87.69,1144.00,71.50,623.70,11.62,16885.96,65.61,1381.88
mtp,32,0,256,81.05,2061.83,128.86,930.98,12.51,15727.97,266.99,1169.68
mtp,64,0,512,74.95,3556.54,222.28,642.18,13.64,16094.46,262.63,1108.71
mtp,128,0,1024,62.65,6213.62,388.35,707.90,16.29,19179.28,263.88,1121.15
mtp,256,0,2048,45.42,9298.92,581.18,955.92,22.47,25727.18,262.89,1095.96
mtp,512,0,4096,57.22,12616.61,788.54,18632.90,17.80,38384.79,275.48,1080.26
dspark,4,0,100,130.28,446.89,27.93,475.45,8.08,12416.60,69.57,1405.07
dspark,8,0,100,117.69,795.58,49.72,520.19,8.91,13696.53,69.57,1413.00
dspark,16,0,128,104.92,1315.35,82.21,514.48,9.96,14706.70,65.61,1371.84
dspark,32,0,256,92.45,2221.43,138.84,552.34,11.14,14257.14,266.99,1221.73
dspark,64,0,512,92.74,3975.19,248.45,579.44,11.38,13440.79,262.63,1074.88
dspark,128,0,1024,79.31,6973.05,435.82,619.88,13.32,16237.45,263.88,1116.60
dspark,256,0,2048,72.11,8268.00,516.75,12110.22,14.68,28886.46,262.89,1089.17
dspark,512,0,4096,62.72,7936.67,496.04,38863.40,21.68,62139.96,275.48,1077.11
