Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),6779.86,0.00,8733.21,,,,,,7304.21,,7750.69,7828.61,8076.24,1614.60
Active Decode Throughput Per User (tokens/sec/user),61.51,0.00,188.52,,,,,,61.17,,65.73,72.05,89.97,6.67
Active Prefill Throughput (tokens/sec),8123.94,324.22,58711.70,,,,,,7416.45,,13145.68,14627.95,42178.54,6534.06
Active Prefill Throughput Per User (tokens/sec/user),1115.98,70.28,1571.48,,,,,,1216.27,,1338.18,1379.21,1440.33,323.36
Active Total Throughput (tokens/sec),13926.73,50.37,58711.70,,,,,,14069.52,,19887.20,21317.40,39065.96,6681.06
Credit-to-Start Latency (ms),1.55,0.71,29.29,1586.10,0.88,1.06,1.15,1.25,1.36,1.50,2.24,2.95,3.73,1.03
Decode Duration (ms),16075.15,4473.05,29324.43,16460949.76,6405.55,11223.46,12467.84,14172.70,16173.10,17923.93,19700.84,21071.40,24047.20,3218.66
E2E Output Token Throughput (tokens/sec/user),57.66,26.18,102.68,59041.84,33.48,41.65,43.82,51.11,57.21,64.17,71.28,75.91,83.14,10.49
Effective Concurrency,119.57,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,26.84
Effective Decode Concurrency,111.50,0.00,128.00,,,,,,121.00,,125.00,126.00,127.00,28.23
Effective Decode Throughput (tokens/sec),6741.19,0.00,8733.21,,,,,,7299.15,,7749.64,7827.82,8076.24,1689.01
Effective Decode Throughput Per User (tokens/sec/user),61.16,0.00,188.52,,,,,,61.16,,65.72,72.02,89.97,8.11
Effective Latency (CO-aware) (ms),17242.42,5323.24,39110.72,17656235.28,7433.19,12161.85,13366.22,15072.51,17145.89,18956.81,21455.77,23584.54,28695.11,3653.49
Effective Prefill Concurrency,8.07,0.00,128.00,,,,,,6.00,,11.00,15.00,104.00,14.55
Effective Prefill Throughput (tokens/sec),7185.09,0.00,58711.70,,,,,,6572.20,,12821.39,14439.22,37512.90,6671.26
Effective Prefill Throughput Per User (tokens/sec/user),987.01,0.00,1571.48,,,,,,1196.02,,1333.00,1374.35,1439.02,468.80
Effective Total Throughput (tokens/sec),13926.29,0.00,58711.70,,,,,,14069.52,,19887.20,21317.40,39065.96,6681.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,263.13,75.00,482.00,269449.00,108.00,186.00,207.00,232.00,267.00,295.00,318.00,335.00,400.85,50.89
