Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9136.68,0.00,14587.45,,,,,,10920.06,,12824.21,13028.87,13448.73,3599.26
Active Decode Throughput Per User (tokens/sec/user),40.39,0.00,159.24,,,,,,49.29,,52.83,57.18,76.59,15.05
Active Prefill Throughput (tokens/sec),10549.87,94.92,73124.55,,,,,,9521.57,,16422.02,20788.03,56394.89,8246.76
Active Prefill Throughput Per User (tokens/sec/user),914.22,47.46,1406.18,,,,,,955.93,,1154.81,1205.74,1286.88,267.42
Active Total Throughput (tokens/sec),18780.00,52.42,73124.55,,,,,,18504.45,,25246.24,28674.83,50002.65,7884.65
Credit-to-Start Latency (ms),1.63,0.40,35.12,3341.74,0.50,0.86,1.12,1.31,1.46,1.62,1.98,2.44,3.95,1.89
Decode Duration (ms),24699.99,1716.67,41021.97,50585586.33,9733.37,16169.60,19132.86,22103.93,25283.52,27877.00,29839.00,31205.39,33795.61,4678.33
E2E Output Token Throughput (tokens/sec/user),37.64,17.85,65.65,77096.55,26.49,29.17,30.93,33.59,36.75,40.95,45.86,49.32,55.04,6.03
Effective Concurrency,245.46,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,41.05
Effective Decode Concurrency,230.70,0.00,256.00,,,,,,245.00,,252.00,253.00,255.00,48.44
Effective Decode Throughput (tokens/sec),9104.80,0.00,14587.45,,,,,,10791.19,,12823.77,13028.19,13448.73,3633.14
Effective Decode Throughput Per User (tokens/sec/user),40.25,0.00,159.24,,,,,,49.26,,52.83,57.14,76.38,15.21
Effective Latency (CO-aware) (ms),26285.76,3267.11,49356.72,53833242.92,11034.92,17582.78,20344.84,23648.54,26867.55,29478.16,31458.49,32850.66,36025.95,4839.33
Effective Prefill Concurrency,14.76,0.00,256.00,,,,,,9.00,,19.00,31.00,216.00,31.15
Effective Prefill Throughput (tokens/sec),9674.85,0.00,73124.55,,,,,,9047.32,,16097.99,20263.95,48308.44,8416.29
Effective Prefill Throughput Per User (tokens/sec/user),838.40,0.00,1406.18,,,,,,941.97,,1148.67,1197.33,1279.86,359.38
Effective Total Throughput (tokens/sec),18779.65,0.00,73124.55,,,,,,18504.45,,25246.24,28674.83,50002.65,7885.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,263.24,21.00,407.00,539112.00,104.00,178.00,208.00,242.00,271.00,293.00,309.00,320.00,344.00,45.40
HTTP Chunks Sent,1.00,1.00,1.00,2048.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.00,56.61,986.77,0.00,0.00,0.00,0.00,0.00,0.00,0.28,2.20,7.12,3.54
HTTP Connection Overhead (ms),0.52,0.00,62.46,1071.01,0.00,0.00,0.00,0.00,0.00,0.00,0.28,2.20,11.56,3.69
HTTP Connection Reused (ratio),0.88,0.00,1.00,1808.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),114.22,10.10,174.06,233929.51,45.62,77.00,91.37,105.36,117.41,126.78,133.66,138.22,148.38,19.29
HTTP Data Sent (KB),4.53,3.84,4.98,9273.24,4.11,4.26,4.32,4.42,4.52,4.64,4.74,4.80,4.90,0.17
HTTP DNS Lookup (ms),0.04,0.00,5.98,84.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47
HTTP Duration (excl. conn) (ms),26284.06,3266.20,49355.21,53829763.80,11032.83,17580.96,20343.25,23647.00,26865.80,29476.72,31457.14,32848.66,36024.42,4839.19
HTTP Receiving (ms),24703.58,1716.67,41021.97,50592926.47,9807.46,16169.60,19132.88,22103.93,25285.68,27880.51,29842.10,31205.40,33795.61,4674.99
HTTP Sending (ms),0.63,0.06,56.80,1284.52,0.11,0.12,0.12,0.13,0.14,0.16,0.46,2.37,7.34,3.54
HTTP Total Time (ms),26284.59,3266.20,49368.91,53830834.81,11032.83,17580.96,20343.25,23647.00,26870.29,29476.72,31457.14,32850.11,36024.42,4839.69
HTTP Waiting (TTFB) (ms),1579.86,723.88,24370.03,3235552.80,780.17,848.55,884.77,967.54,1108.45,1292.09,2536.12,5641.78,8099.38,1629.64
Input Sequence Length (tokens),1036.00,1036.00,1037.00,2121732.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,0.04
Inter Chunk Latency (ms),94.20,27.15,438.67,50585586.33,57.31,68.54,70.22,72.39,74.39,124.22,156.83,164.60,216.36,38.36
Inter Token Latency (ms),25.55,14.27,44.86,52322.32,16.91,19.06,20.37,22.96,25.64,28.06,30.37,31.71,34.35,3.84
OSL Mismatch Diff % (%),-4.69,-93.16,0.00,-9607.91,-66.95,-45.47,-13.07,0.00,0.00,0.00,0.00,0.00,0.00,14.57
Output Sequence Length (tokens),975.96,70.00,1024.00,1998767.00,338.41,558.35,890.20,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,149.15
Output Token Count (tokens),210.75,2.00,932.00,147317.00,7.00,24.00,57.60,124.50,208.00,285.50,348.00,397.00,587.28,122.17
Output Token Throughput Per User (tokens/sec/user),40.08,22.29,70.07,82093.14,29.11,31.54,32.92,35.63,39.00,43.55,49.08,52.47,59.14,6.42
Prefill Throughput Per User (tokens/sec/user),886.39,42.50,1430.79,1815332.07,127.83,183.55,408.59,801.69,934.45,1070.50,1170.62,1220.58,1327.59,278.20
Reasoning Token Count (tokens),904.03,60.00,1024.00,1851450.00,132.94,252.00,584.70,879.00,1024.00,1024.00,1024.00,1024.00,1024.00,233.19
Request Latency (ms),26280.55,3266.27,49355.39,53822567.37,11012.26,17581.03,20334.62,23647.06,26865.08,29476.78,31457.20,32848.73,36024.48,4842.43
Time to First Output Token (ms),19882.30,2483.83,43213.56,13897726.62,4269.11,6278.23,7793.61,15059.65,21685.90,25545.40,28133.67,29662.28,31914.68,7473.60
Time to First Token (ms),1580.56,724.08,24378.40,3236981.05,780.38,848.78,885.00,967.77,1108.67,1292.28,2537.13,5644.36,8104.26,1631.34
Time to Second Token (ms),88.27,27.15,225.83,180784.91,44.80,58.01,66.75,69.51,71.20,73.65,188.18,211.52,220.62,45.55
Tokens In Flight (tokens),367842.66,0.00,448897.49,,,,,,383815.34,,410691.03,420597.70,443259.39,63651.02
Usage Completion Tokens (tokens),975.96,70.00,1024.00,1998767.00,338.41,558.35,890.20,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,149.15
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),1036.00,1036.00,1037.00,2121732.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,1036.00,0.04
Usage Reasoning Tokens (tokens),904.03,60.00,1024.00,1851450.00,132.94,252.00,584.70,879.00,1024.00,1024.00,1024.00,1024.00,1024.00,233.19
Usage Total Tokens (tokens),2011.96,1106.00,2061.00,4120499.00,1374.41,1594.35,1926.20,2060.00,2060.00,2060.00,2060.00,2060.00,2060.00,149.16

Metric,Value
Benchmark Duration (sec),219.30
Input Token Throughput (tokens/sec),9674.85
OSL Mismatch Count,236.00
Output Token Throughput (tokens/sec),9114.14
Overall Usage Prompt Cache Read % (%),0.00
Request Count,2048.00
Request Throughput (requests/sec),9.34
Total Input Sequence Length (tokens),2121732.00
Total Output Sequence Length (tokens),1998767.00
Total Output Tokens (tokens),147317.00
Total Reasoning Tokens (tokens),1851450.00
Total Token Throughput (tokens/sec),18788.99
Total Usage Completion Tokens (tokens),1998767.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),2121732.00
Total Usage Reasoning Tokens (tokens),1851450.00
Total Usage Total Tokens (tokens),4120499.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
