Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1448.69,0.00,2165.11,,,,,,1603.61,,1777.30,1806.77,1891.40,457.62
Active Decode Throughput Per User (tokens/sec/user),108.56,0.00,284.59,,,,,,106.96,,128.82,133.79,137.75,11.20
Active Prefill Throughput (tokens/sec),1947.45,816.96,17588.69,,,,,,1511.66,,2929.42,3113.20,16614.69,1858.76
Active Prefill Throughput Per User (tokens/sec/user),1482.62,816.96,1806.37,,,,,,1488.77,,1698.02,1713.39,1729.73,153.83
Active Total Throughput (tokens/sec),1895.29,106.59,17588.69,,,,,,1685.89,,3151.65,3373.45,4649.87,1277.17
Credit-to-Start Latency (ms),2.45,0.81,8.20,313.66,0.82,0.85,0.96,1.53,2.33,2.94,4.30,5.00,6.51,1.37
Decode Duration (ms),31510.61,5224.55,107542.53,4033358.19,6467.31,9157.52,12501.30,18071.75,30932.86,37643.65,52198.11,61668.82,82940.20,17159.46
E2E Output Token Throughput (tokens/sec/user),97.66,56.19,159.21,12501.04,57.25,70.03,72.31,79.71,94.01,117.28,123.52,131.71,155.84,22.74
Effective Concurrency,14.00,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.56
Effective Decode Concurrency,13.69,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.53
Effective Decode Throughput (tokens/sec),1445.26,0.00,2165.11,,,,,,1603.32,,1777.26,1806.68,1891.40,462.48
Effective Decode Throughput Per User (tokens/sec/user),108.30,0.00,284.59,,,,,,106.93,,128.80,133.78,137.75,12.37
Effective Latency (CO-aware) (ms),32247.00,6078.24,108228.27,4127616.22,7137.17,9979.15,13195.38,18842.60,31620.00,38271.11,52853.70,62372.46,83667.27,17148.52
Effective Prefill Concurrency,0.32,0.00,16.00,,,,,,0.00,,1.00,1.00,2.00,1.01
Effective Prefill Throughput (tokens/sec),449.94,0.00,17588.69,,,,,,0.00,,1580.64,1713.39,3113.20,1213.27
Effective Prefill Throughput Per User (tokens/sec/user),342.54,0.00,1806.37,,,,,,0.00,,1504.89,1607.63,1717.65,629.28
Effective Total Throughput (tokens/sec),1895.20,0.00,17588.69,,,,,,1685.89,,3151.65,3373.45,4649.87,1277.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,776.97,129.00,2617.00,99452.00,158.83,226.70,308.20,444.00,760.00,928.50,1279.10,1528.75,2164.19,429.40
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),337.02,56.17,1123.15,43138.56,68.83,98.25,133.08,190.74,330.23,404.15,565.51,665.32,933.35,186.37
HTTP Data Sent (KB),4.52,3.98,4.89,578.84,4.12,4.29,4.35,4.43,4.52,4.63,4.71,4.78,4.84,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),32244.48,6077.24,108227.37,4127293.22,7134.83,9975.29,13188.90,18836.74,31617.81,38268.40,52850.96,62369.44,83664.63,17148.63
HTTP Receiving (ms),31515.04,5224.56,107542.54,4033925.47,6467.31,9174.63,12501.31,18071.76,30932.87,37643.65,52198.11,61668.82,82940.20,17158.94
HTTP Sending (ms),0.15,0.11,0.31,19.63,0.12,0.12,0.12,0.13,0.15,0.16,0.18,0.19,0.25,0.03
HTTP Total Time (ms),32244.48,6077.24,108227.37,4127293.22,7134.83,9975.29,13188.90,18836.74,31617.81,38268.40,52850.96,62369.44,83664.63,17148.63
HTTP Waiting (TTFB) (ms),729.28,573.27,1267.77,93348.12,599.05,603.46,609.81,648.43,696.90,769.71,852.35,1034.01,1107.67,121.29
