Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2444.42,0.00,3603.41,,,,,,2869.84,,3091.55,3130.29,3248.69,952.42
Active Decode Throughput Per User (tokens/sec/user),97.61,0.00,292.73,,,,,,94.33,,126.49,133.05,137.44,16.83
Active Prefill Throughput (tokens/sec),2168.68,243.65,20729.42,,,,,,1585.93,,3173.10,4071.88,12920.87,2025.86
Active Prefill Throughput Per User (tokens/sec/user),1441.30,243.65,1754.44,,,,,,1479.51,,1648.41,1712.36,1738.76,242.79
Active Total Throughput (tokens/sec),3230.56,105.88,20729.42,,,,,,3015.50,,4745.17,5842.11,7576.96,1895.21
Credit-to-Start Latency (ms),2.34,0.67,6.76,598.46,0.73,0.81,0.95,1.25,2.15,2.88,4.34,5.32,6.33,1.36
Decode Duration (ms),34281.13,3737.81,89232.52,8775970.25,3920.14,7514.62,11051.41,16693.14,33830.54,43510.45,69291.18,73830.79,86292.69,20318.87
E2E Output Token Throughput (tokens/sec/user),82.97,44.62,125.64,21239.88,51.50,58.42,62.21,68.55,84.30,95.27,103.75,110.53,117.95,16.58
Effective Concurrency,26.89,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.36
Effective Decode Concurrency,26.22,0.00,32.00,,,,,,31.00,,32.00,32.00,32.00,10.26
Effective Decode Throughput (tokens/sec),2438.22,0.00,3603.41,,,,,,2869.04,,3091.39,3130.17,3248.69,959.13
Effective Decode Throughput Per User (tokens/sec/user),97.36,0.00,292.73,,,,,,94.32,,126.48,133.05,137.44,17.51
Effective Latency (CO-aware) (ms),35167.47,4391.37,89979.43,9002871.53,4664.35,8251.76,12226.86,17380.27,35001.68,44416.00,69969.49,74751.17,87057.04,20312.56
Effective Prefill Concurrency,0.67,0.00,32.00,,,,,,0.00,,2.00,2.00,8.00,2.19
Effective Prefill Throughput (tokens/sec),792.24,0.00,20729.42,,,,,,0.00,,1981.15,3065.06,4783.97,1609.27
Effective Prefill Throughput Per User (tokens/sec/user),526.52,0.00,1754.44,,,,,,0.00,,1583.87,1603.48,1719.28,709.36
Effective Total Throughput (tokens/sec),3230.46,0.00,20729.42,,,,,,3015.50,,4745.17,5842.11,7576.96,1895.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,726.59,81.00,2071.00,186008.00,85.65,160.50,227.00,351.75,712.50,924.25,1482.00,1562.25,1844.00,435.11
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,4.17,60.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.59,4.12,0.92
HTTP Connection Overhead (ms),0.44,0.00,7.85,112.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.57,7.76,1.72
HTTP Connection Reused (ratio),0.94,0.00,1.00,240.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),315.52,35.85,896.67,80773.51,37.79,69.91,98.53,151.65,308.14,400.39,648.96,683.10,800.19,189.86
HTTP Data Sent (KB),4.53,4.06,4.90,1158.49,4.18,4.25,4.31,4.42,4.53,4.64,4.73,4.78,4.88,0.16
