Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),612.11,0.00,987.47,,,,,,623.11,,733.42,776.53,809.89,113.42
Active Decode Throughput Per User (tokens/sec/user),96.64,0.00,326.62,,,,,,96.12,,104.97,110.69,126.46,8.47
Active Prefill Throughput (tokens/sec),6638.02,3089.08,26000.66,,,,,,6992.58,,11050.08,14458.58,26000.66,4034.82
Active Prefill Throughput Per User (tokens/sec/user),3706.25,3089.08,3978.41,,,,,,3716.97,,3876.97,3933.35,3966.51,137.27
Active Total Throughput (tokens/sec),5868.64,126.35,26000.66,,,,,,4535.48,,11384.80,11759.77,26000.66,4391.14
Credit-to-Start Latency (ms),1.32,0.68,2.25,131.78,0.76,0.84,0.94,1.22,1.34,1.46,1.51,1.59,1.90,0.24
Decode Duration (ms),9812.05,806.53,16782.87,981204.65,2518.87,5894.43,7205.97,8599.45,10189.37,10967.99,11858.76,13115.35,14703.96,2290.61
E2E Output Token Throughput (tokens/sec/user),77.92,26.96,102.01,7791.87,48.73,58.98,62.24,72.45,79.95,84.42,90.19,97.75,100.52,11.93
Effective Concurrency,7.74,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.11
Effective Decode Concurrency,6.30,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.48
Effective Decode Throughput (tokens/sec),602.84,0.00,987.47,,,,,,621.04,,732.95,776.15,809.17,135.11
Effective Decode Throughput Per User (tokens/sec/user),95.17,0.00,326.62,,,,,,96.00,,104.85,110.63,125.67,14.49
Effective Latency (CO-aware) (ms),12056.58,3079.46,19019.03,1205658.08,4738.79,8111.78,9419.69,10969.38,12439.25,13182.73,14212.52,15356.55,16970.99,2291.06
Effective Prefill Concurrency,1.44,0.00,8.00,,,,,,1.00,,3.00,3.00,8.00,1.30
Effective Prefill Throughput (tokens/sec),5265.68,0.00,26000.66,,,,,,3868.88,,10895.62,11308.23,26000.66,4487.80
Effective Prefill Throughput Per User (tokens/sec/user),2940.02,0.00,3978.41,,,,,,3675.05,,3868.88,3900.37,3966.51,1505.88
Effective Total Throughput (tokens/sec),5868.52,0.00,26000.66,,,,,,4535.48,,11384.80,11759.77,26000.66,4391.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,277.32,24.00,464.00,27732.00,71.52,167.90,202.70,248.50,286.50,310.00,337.10,370.30,412.52,63.92
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),119.85,11.39,197.37,11985.15,31.78,73.32,88.03,108.24,124.17,133.71,145.29,158.96,175.81,27.12
HTTP Data Sent (KB),34.85,32.01,37.51,3484.84,32.03,33.34,33.69,34.35,34.87,35.37,36.18,36.50,37.42,1.01
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12055.20,3078.06,19017.68,1205519.82,4737.21,8110.27,9418.28,10968.11,12437.84,13181.21,14211.41,15354.99,16969.63,2291.07
HTTP Receiving (ms),9812.79,806.54,16782.88,981279.09,2518.87,5894.44,7205.98,8599.45,10189.38,10968.00,11858.77,13115.36,14703.97,2289.99
HTTP Sending (ms),0.14,0.11,0.22,14.00,0.11,0.12,0.12,0.13,0.14,0.15,0.16,0.16,0.20,0.02
HTTP Total Time (ms),12055.20,3078.06,19017.68,1205519.82,4737.21,8110.27,9418.28,10968.11,12437.84,13181.21,14211.41,15354.99,16969.63,2291.07
HTTP Waiting (TTFB) (ms),2242.27,2061.91,2655.60,224226.73,2068.02,2090.05,2117.49,2162.62,2215.85,2298.14,2370.95,2522.65,2556.98,118.09
Input Sequence Length (tokens),8204.01,8204.00,8205.00,820401.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.01,0.10
Inter Chunk Latency (ms),35.51,22.49,76.51,981204.65,30.04,32.47,33.60,34.90,35.66,36.16,36.69,37.93,40.27,2.26
Inter Token Latency (ms),10.51,7.60,16.41,1050.76,7.67,8.07,8.83,9.64,10.20,11.39,12.51,13.26,14.85,1.57
OSL Mismatch Diff % (%),-8.18,-91.89,0.00,-817.97,-75.27,-49.98,-36.26,-4.98,0.00,0.00,0.00,0.00,0.00,18.17
Output Sequence Length (tokens),940.24,83.00,1024.00,94024.00,253.28,512.25,652.70,973.00,1024.00,1024.00,1024.00,1024.00,1024.00,186.06
Output Token Count (tokens),231.72,5.00,844.00,11586.00,11.37,21.00,24.70,119.00,229.00,303.75,365.80,545.90,786.67,169.12
Output Token Throughput Per User (tokens/sec/user),97.18,60.95,131.53,9718.33,67.36,75.42,79.94,87.77,98.03,103.75,113.20,123.86,130.43,13.85
Prefill Throughput Per User (tokens/sec/user),3668.04,3089.08,3978.41,366803.53,3208.21,3251.76,3459.93,3569.57,3702.02,3793.20,3873.97,3924.83,3966.63,182.41
Reasoning Token Count (tokens),824.38,10.00,1024.00,82438.00,61.48,199.15,296.20,697.75,1021.50,1024.00,1024.00,1024.00,1024.00,284.52
Request Latency (ms),12054.53,3078.11,19017.73,1205452.59,4737.29,8110.34,9418.34,10968.18,12437.91,13181.27,14211.49,15355.06,16969.69,2291.63
Time to First Output Token (ms),8726.93,2381.09,13555.06,436346.64,2652.81,3459.31,4686.28,7056.34,9279.08,10563.31,12726.21,12834.25,13446.63,2847.72
Time to First Token (ms),2242.48,2062.13,2655.81,224247.94,2068.26,2090.28,2117.72,2162.82,2216.09,2298.32,2371.15,2522.94,2557.22,118.09
Time to Second Token (ms),30.24,22.49,35.13,3023.68,25.15,26.61,27.85,29.54,30.35,31.09,32.46,32.94,35.07,1.96
Tokens In Flight (tokens),66540.03,0.00,71010.15,,,,,,68786.52,,69853.93,70141.63,70670.74,9414.71
Usage Completion Tokens (tokens),940.24,83.00,1024.00,94024.00,253.28,512.25,652.70,973.00,1024.00,1024.00,1024.00,1024.00,1024.00,186.06
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8204.01,8204.00,8205.00,820401.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.01,0.10
Usage Reasoning Tokens (tokens),824.38,10.00,1024.00,82438.00,61.48,199.15,296.20,697.75,1021.50,1024.00,1024.00,1024.00,1024.00,284.52
Usage Total Tokens (tokens),9144.25,8287.00,9228.00,914425.00,8457.28,8716.25,8856.70,9177.00,9228.00,9228.00,9228.00,9228.00,9228.00,186.06

Metric,Value
Benchmark Duration (sec),155.80
Input Token Throughput (tokens/sec),5265.68
OSL Mismatch Count,26.00
Output Token Throughput (tokens/sec),603.49
Overall Usage Prompt Cache Read % (%),0.00
Request Count,100.00
Request Throughput (requests/sec),0.64
Total Input Sequence Length (tokens),820401.00
Total Output Sequence Length (tokens),94024.00
Total Output Tokens (tokens),11586.00
Total Reasoning Tokens (tokens),82438.00
Total Token Throughput (tokens/sec),5869.17
Total Usage Completion Tokens (tokens),94024.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),820401.00
Total Usage Reasoning Tokens (tokens),82438.00
Total Usage Total Tokens (tokens),914425.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
