Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2703.04,0.00,4742.22,,,,,,3707.03,,4012.51,4105.69,4273.94,1356.98
Active Decode Throughput Per User (tokens/sec/user),51.02,0.00,204.88,,,,,,69.13,,72.88,75.02,81.16,24.64
Active Prefill Throughput (tokens/sec),23651.90,102.44,108884.56,,,,,,23709.46,,24109.45,27809.48,62731.62,9054.85
Active Prefill Throughput Per User (tokens/sec/user),122.80,102.44,1124.46,,,,,,117.86,,119.22,137.67,269.81,28.82
Active Total Throughput (tokens/sec),25991.81,64.27,108884.56,,,,,,26457.25,,26799.94,30307.11,64162.29,9315.11
Credit-to-Start Latency (ms),1.50,0.47,20.45,3075.18,0.69,0.90,1.08,1.29,1.40,1.52,1.71,2.24,3.41,1.04
Decode Duration (ms),18711.24,895.46,32661.63,38320620.79,4545.87,9566.57,13746.37,17591.10,19547.94,21072.65,22270.36,23350.41,25698.91,4021.19
E2E Output Token Throughput (tokens/sec/user),11.89,1.01,60.94,24356.35,3.37,5.90,8.48,10.60,11.30,12.00,12.84,18.54,41.70,5.56
Effective Concurrency,240.93,0.00,256.00,,,,,,256.00,,256.00,256.00,256.00,48.03
Effective Decode Concurrency,53.15,0.00,56.00,,,,,,55.00,,56.00,56.00,56.00,7.23
Effective Decode Throughput (tokens/sec),2693.78,0.00,4742.22,,,,,,3704.80,,4012.29,4105.25,4273.83,1363.83
Effective Decode Throughput Per User (tokens/sec/user),50.85,0.00,204.88,,,,,,69.11,,72.87,75.01,81.16,24.78
Effective Latency (CO-aware) (ms),84841.99,7687.72,131305.67,173756404.28,22656.63,50780.59,73472.10,82756.20,87715.30,92459.00,96215.46,99026.78,104476.86,14686.37
Effective Prefill Concurrency,187.78,0.00,256.00,,,,,,201.00,,203.00,204.00,233.00,45.51
Effective Prefill Throughput (tokens/sec),23297.90,0.00,108884.56,,,,,,23705.03,,24105.10,27579.68,62731.62,9434.54
Effective Prefill Throughput Per User (tokens/sec/user),120.97,0.00,1124.46,,,,,,117.86,,119.20,136.76,269.81,32.25
Effective Total Throughput (tokens/sec),25991.67,0.00,108884.56,,,,,,26457.25,,26799.94,30307.11,64162.29,9315.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,265.27,20.00,460.00,543275.00,68.41,138.00,197.00,250.00,277.00,297.00,315.00,328.00,360.53,55.47
HTTP Chunks Sent,1.00,1.00,1.00,2048.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,21.71,470.25,0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.38,4.48,1.07
HTTP Connection Overhead (ms),0.26,0.00,21.71,526.66,0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.38,4.48,1.25
HTTP Connection Reused (ratio),0.88,0.00,1.00,1808.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),114.89,9.72,195.90,235303.58,30.38,60.17,86.01,108.59,120.08,128.33,135.78,141.48,154.56,23.66
HTTP Data Sent (KB),35.01,31.80,37.65,71707.25,32.79,33.54,33.94,34.50,34.96,35.52,36.14,36.43,37.38,0.88
HTTP DNS Lookup (ms),0.03,0.00,4.23,56.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31
HTTP Duration (excl. conn) (ms),84840.43,7687.02,131303.38,173753197.76,22655.60,50778.30,73470.52,82754.59,87713.90,92457.66,96214.04,99025.17,104475.26,14686.38
HTTP Receiving (ms),18714.93,895.47,32661.63,38328172.86,4570.08,9566.57,13750.38,17591.10,19548.48,21072.65,22270.36,23350.42,25698.91,4017.07
HTTP Sending (ms),0.37,0.06,21.82,762.33,0.11,0.12,0.12,0.13,0.14,0.15,0.57,1.51,4.66,1.07
HTTP Total Time (ms),84840.69,7687.40,131305.41,173753724.42,22656.33,50782.52,73470.52,82754.59,87713.90,92457.66,96214.04,99025.17,104475.78,14686.09
HTTP Waiting (TTFB) (ms),66125.13,2466.75,110750.26,135424262.58,6785.17,31921.11,58831.25,64685.41,68810.63,72813.70,76124.77,78338.69,83033.87,13805.27
Input Sequence Length (tokens),8204.01,8204.00,8205.00,16801814.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8205.00,0.10
Inter Chunk Latency (ms),70.82,23.08,446.17,38320620.79,43.46,47.87,48.72,50.44,50.87,51.79,157.97,176.26,210.80,45.03
Inter Token Latency (ms),19.80,10.82,31.93,40546.42,13.56,16.11,17.29,18.59,19.75,21.00,22.41,23.62,25.92,2.26
OSL Mismatch Diff % (%),-7.27,-93.95,0.00,-14885.25,-77.36,-56.77,-31.27,0.00,0.00,0.00,0.00,0.00,0.00,17.83
Output Sequence Length (tokens),949.57,62.00,1024.00,1944727.00,231.82,442.70,703.80,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,182.54
Output Token Count (tokens),216.27,1.00,981.00,210001.00,4.00,22.00,43.00,122.00,213.00,280.00,360.00,451.50,746.10,139.79
Output Token Throughput Per User (tokens/sec/user),51.20,31.32,92.45,104864.64,38.58,42.35,44.63,47.63,50.62,53.80,57.82,62.09,73.73,6.23
Prefill Throughput Per User (tokens/sec/user),156.99,74.08,3325.48,321506.36,98.80,104.72,107.77,112.67,119.23,126.83,139.45,256.99,1209.02,225.53
Reasoning Token Count (tokens),847.03,10.00,1024.00,1734726.00,82.47,206.35,441.70,727.75,1024.00,1024.00,1024.00,1024.00,1024.00,261.10
Request Latency (ms),84836.81,7687.06,131303.42,173745787.37,22655.66,50778.36,73470.57,82754.65,87713.96,92457.71,96214.11,99025.23,104475.31,14688.17
Time to First Output Token (ms),78580.90,7140.24,114771.37,76144893.11,15659.81,43499.27,66635.26,75762.67,81702.79,87113.00,91068.17,93859.09,98824.13,15194.62
Time to First Token (ms),66125.57,2467.02,110752.54,135425166.58,6785.65,31922.98,58831.48,64685.62,68810.83,72813.90,76125.23,78338.87,83034.07,13804.99
Time to Second Token (ms),67.61,23.08,228.29,138470.28,36.17,40.24,42.42,43.19,44.18,46.18,187.82,208.65,219.40,55.56
Tokens In Flight (tokens),2002645.15,0.00,2135480.08,,,,,,2126418.80,,2129429.80,2130373.43,2132159.26,395032.07
Usage Completion Tokens (tokens),949.57,62.00,1024.00,1944727.00,231.82,442.70,703.80,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,182.54
