method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
mtp,4,0,100,108.71,336.57,21.04,2288.20,9.30,10815.44,8204.00,925.58
mtp,8,0,100,97.60,602.40,37.65,2416.14,10.35,12552.38,8204.01,980.88
mtp,16,0,128,79.00,981.06,61.32,2606.50,12.82,14324.33,8204.02,925.98
mtp,32,0,256,72.71,1772.00,110.75,2913.06,13.92,15730.35,8204.02,928.73
mtp,64,0,512,53.24,2533.91,158.37,4778.42,19.16,22454.25,8204.01,930.90
mtp,128,0,1024,51.44,2645.79,165.36,24544.47,19.73,42891.98,8204.01,935.62
mtp,256,0,2048,51.20,2696.62,168.54,66125.57,19.80,84836.81,8204.01,949.57
mtp,512,0,4096,50.53,2697.97,168.62,148653.74,20.05,167366.48,8204.01,938.85
dspark,4,0,100,108.17,336.25,21.02,2246.16,9.47,10781.25,8204.00,916.26
dspark,8,0,100,97.18,603.49,37.72,2242.48,10.51,12054.53,8204.01,940.24
dspark,16,0,128,87.37,1052.92,65.81,2677.97,11.62,13563.66,8204.01,942.92
dspark,32,0,256,41.01,905.01,56.56,6175.47,28.12,32444.20,8204.02,956.16
dspark,64,0,512,31.25,782.13,48.88,40443.73,35.13,72715.24,8204.01,939.95
dspark,128,0,1024,31.24,791.98,49.50,109646.41,35.25,141663.59,8204.00,932.72
dspark,256,0,2048,30.73,786.45,49.15,255327.27,35.82,288271.10,8204.01,944.27
dspark,512,0,4096,31.01,797.13,49.82,535204.45,35.66,567840.90,8204.00,944.47
