prefiller,conc,role,source,n_spec,drafted_tokens,accepted_tokens,mean_accept_len,p0,p1,p2,p3,p4,p5,p6
pcp8,1,decode,decoder-c-tail,3,4305,2914,5.7381626016260165,0.9175040650406504,0.827939837398374,0.7301430894308943,0.663289430894309,0.6082146341463415,0.534669918699187,0.4567105691056911
pcp8,2,decode,decoder-c-tail,3,7637,4681,5.288744271310724,0.8589147571035746,0.761749770852429,0.6838038496791934,0.6075013748854261,0.5418084326306142,0.47039046746104496,0.36654720439963334
pcp8,4,decode,decoder-c-tail,3,2919,2474,6.931175059952038,0.9879999999999999,0.9566786570743405,0.9256067146282974,0.8849616306954436,0.796304556354916,0.7288393285371703,0.6524268585131895
pcp8,8,decode,decoder-c-tail,3,2835,2462,7.078913580246914,0.9899876543209876,0.9554074074074074,0.923604938271605,0.898762962962963,0.8767061728395061,0.7554913580246915,0.6788419753086419
pcp8dcp8,1,decode,decoder-c-tail,3,3731,2794,6.240656660412758,0.9493846153846154,0.8665009380863039,0.7895140712945591,0.7488348968105066,0.688673545966229,0.6398086303939962,0.5593621013133209
pcp8dcp8,2,decode,decoder-c-tail,3,5859,4164,5.973189964157706,0.9140919952210274,0.8340513739545998,0.7979235364396654,0.727599761051374,0.668626045400239,0.5640776583034648,0.4682186379928316
pcp8dcp8,4,decode,decoder-c-tail,3,15057,9035,5.2027940492794045,0.8571589958158995,0.7478196187819619,0.6487308228730824,0.5890897257089727,0.5447466294746629,0.44877080427708044,0.36379730357973034
pcp8dcp8,8,decode,decoder-c-tail,4,19285,14938,6.422087114337568,0.9310450090744102,0.8805408348457352,0.841864609800363,0.746361887477314,0.7189248638838476,0.6758341197822142,0.6276460980036298
pcp8dcp8,1,decode,pod-window,12,14350,9653,5.708521951219513,0.9146190243902438,0.7989434146341462,0.71456,0.6552248780487804,0.6034229268292683,0.5464053658536585,0.47572487804878055
pcp8dcp8,2,decode,pod-window,13,30422,18988,5.369164749194663,0.8978320294523701,0.7993032673722963,0.6817965945697192,0.5812077772664518,0.5299560515416475,0.47221421997238844,0.40655821445006907
pcp8dcp8,4,decode,pod-window,7,31283,18783,5.2032110091743125,0.861690534795256,0.7487357350637727,0.6501002461400761,0.5783318415752965,0.5274882524054598,0.45481405236070704,0.3816565227120161
pcp8dcp8,8,decode,pod-window,13,59416,38070,5.485375824693684,0.875044769085768,0.7846404335532516,0.7092185438265788,0.604862040527804,0.559367931196984,0.5004223609802073,0.45137205466540997
tp8,1,decode,decoder-c-tail,3,3143,2430,6.411603563474387,0.9442004454342984,0.9018841870824053,0.8439198218262804,0.7797527839643652,0.7462316258351893,0.6214365256124721,0.5745167037861915
tp8,2,decode,decoder-c-tail,3,6874,4571,5.655580448065173,0.9031965376782077,0.8076283095723014,0.7261568228105908,0.6609226069246437,0.6158655804480652,0.5099928716904276,0.4308910386965377
tp8,4,decode,decoder-c-tail,3,12033,8443,5.911047120418848,0.8995410122164048,0.8263891797556719,0.773305410122164,0.6691902268760909,0.6278342059336824,0.5909075043630017,0.5257225130890053
tp8,8,decode,decoder-c-tail,3,672,564,6.873749999999999,1.0,0.9894999999999999,0.8854375,0.8433750000000001,0.802125,0.6980000000000001,0.6564375
tp8,1,decode,pod-window,15,14882,9586,5.507431796801504,0.8890841956726245,0.7878269049858889,0.689052210724365,0.6246937911571028,0.577219661335842,0.5055851364063969,0.43548682972718716
tp8,2,decode,pod-window,16,30156,19027,5.417785515320335,0.883538068709378,0.771119312906221,0.6834350046425256,0.608869312906221,0.5559461467038069,0.4867729805013928,0.4273003714020427
tp8,4,decode,pod-window,16,29701,19065,5.492271977374499,0.8908232382748055,0.7961161913740278,0.7115793070940373,0.5975206222012727,0.5486212585434833,0.500808154607589,0.44841032288475136
tp8,8,decode,pod-window,217,60900,37535,5.314606896551724,0.8580781609195398,0.7589837931034475,0.661966206896552,0.5911831034482761,0.539212643678161,0.4804585057471264,0.424620804597701
