prefiller,conc,http_requests,success,failed,duration_s,rps,ttft_ms,tpot_ms,itl_ms,avg_input_tokens,avg_output_tokens,output_tok_s,total_tok_s,tok_s_per_gpu,evalscope_decoded_tok_iter,evalscope_spec_accept_rate
pcp8,1,52,52,0,100.1127,0.5194,697.48,5.6,29.5,79782.9808,220.0,114.2712,41554.701,2597.1688125,5.6924,0.8243
pcp8,2,104,104,0,114.2497,0.9103,888.48,5.89,31.7,79738.5865,220.0,200.2631,72785.2591,4549.07869375,5.8845,0.8301
pcp8,4,104,104,0,223.001,0.4664,7306.89,5.19,30.35,79755.2788,220.0,102.6004,37297.7148,2331.107175,6.343,0.8423
pcp8,8,208,208,0,446.2707,0.4661,15712.85,5.24,29.45,79733.3462,220.0,102.5387,37265.0406,2329.0650375,6.1449,0.8373
pcp8dcp8,1,52,52,0,107.5441,0.4835,950.48,5.1,29.34,79854.1731,220.0,106.375,38717.6835,2419.85521875,6.2392,0.8397
pcp8dcp8,2,104,104,0,118.0179,0.8812,953.29,5.86,31.75,79765.4327,220.0,193.8688,70484.9191,4405.30744375,5.8539,0.8292
pcp8dcp8,4,104,104,0,60.9616,1.706,757.18,6.88,36.25,79700.125,220.0,375.3184,136343.155,8521.4471875,5.9302,0.8314
pcp8dcp8,8,208,208,0,106.0627,1.9611,2168.78,7.59,43.33,79710.2644,220.0,431.443,156751.6087,9796.97554375,6.178,0.8381
tp8,1,52,52,0,141.4734,0.3676,1563.35,5.28,29.69,79784.4808,220.0,80.8633,29406.4673,1837.90420625,6.1803,0.8382
tp8,2,104,104,0,147.4583,0.7053,1555.69,5.8,31.69,79759.7788,220.0,155.1625,56408.4732,3525.529575,6.0567,0.8349
tp8,4,104,104,0,143.2043,0.7262,4070.68,6.35,35.38,79794.9615,220.0,159.7718,58109.6853,3631.85533125,6.0206,0.8339
tp8,8,208,208,0,2195.2151,0.0948,81695.0,5.58,30.49,79735.0577,220.0,20.8453,7575.8646,473.4915375,6.0762,0.8354
