prefiller,conc,role,source,n_engine,external_min_pct,external_max_pct,external_n_lt_100,local_last_pct,local_med_pct,local_min_pct,local_max_pct
pcp8,1,decode,decoder-c-tail,3,100.0,100.0,0,94.1,94.0,93.8,94.1
pcp8,2,decode,decoder-c-tail,3,100.0,100.0,0,95.3,95.1,95.0,95.3
pcp8,4,decode,decoder-c-tail,3,100.0,100.0,0,96.3,96.3,96.3,96.3
pcp8,8,decode,decoder-c-tail,3,100.0,100.0,0,96.0,96.0,95.9,96.0
pcp8dcp8,1,decode,decoder-c-tail,3,100.0,100.0,0,91.8,91.2,89.9,91.8
pcp8dcp8,2,decode,decoder-c-tail,3,100.0,100.0,0,94.2,94.1,93.7,94.2
pcp8dcp8,4,decode,decoder-c-tail,3,100.0,100.0,0,96.1,95.9,95.6,96.1
pcp8dcp8,8,decode,decoder-c-tail,3,100.0,100.0,0,95.6,95.6,95.5,95.6
pcp8dcp8,1,decode,pod-window,12,100.0,100.0,0,91.8,89.9,0.0,91.8
pcp8dcp8,1,prefill,pod-window,12,0.0,0.0,12,90.8,89.0,0.0,90.8
pcp8dcp8,2,decode,pod-window,14,100.0,100.0,0,94.2,94.2,91.8,95.1
pcp8dcp8,2,prefill,pod-window,14,0.0,0.0,14,93.2,93.1,90.8,94.2
pcp8dcp8,4,decode,pod-window,7,100.0,100.0,0,96.1,95.4,94.2,96.1
pcp8dcp8,4,prefill,pod-window,7,0.0,0.0,7,95.1,94.5,93.3,95.1
pcp8dcp8,8,decode,pod-window,13,100.0,100.0,0,95.6,95.6,94.9,96.8
pcp8dcp8,8,prefill,pod-window,13,0.0,0.0,13,94.8,94.8,94.2,95.7
tp8,1,decode,decoder-c-tail,3,100.0,100.0,0,91.8,91.3,90.0,91.8
tp8,2,decode,decoder-c-tail,3,100.0,100.0,0,94.2,93.8,93.4,94.2
tp8,4,decode,decoder-c-tail,3,100.0,100.0,0,96.1,96.0,95.7,96.1
tp8,8,decode,decoder-c-tail,3,100.0,100.0,0,95.8,95.8,95.8,95.8
tp8,1,decode,pod-window,16,100.0,100.0,0,91.8,90.0,0.0,91.8
tp8,1,prefill,pod-window,15,0.0,0.0,15,91.6,88.8,0.0,91.6
tp8,2,decode,pod-window,16,100.0,100.0,0,94.2,94.2,91.8,95.3
tp8,2,prefill,pod-window,16,0.0,0.0,16,93.9,93.8,91.6,94.9
tp8,4,decode,pod-window,16,100.0,100.0,0,96.1,95.4,94.2,96.1
tp8,4,prefill,pod-window,16,0.0,0.0,16,92.7,92.6,91.4,94.0
tp8,8,decode,pod-window,221,100.0,100.0,0,95.8,96.1,95.0,96.9
tp8,8,prefill,pod-window,221,0.0,0.0,221,51.9,66.5,51.9,92.7
