Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),474.58,0.00,5464.24,,,,,,492.36,,672.46,736.57,820.38,177.00
Active Decode Throughput Per User (tokens/sec/user),49.27,0.00,683.03,,,,,,53.01,,60.80,63.40,70.14,15.07
Active Prefill Throughput (tokens/sec),35744.42,379.80,297548.58,,,,,,35391.31,,41413.56,44771.47,86053.26,14127.99
Active Prefill Throughput Per User (tokens/sec/user),466.46,312.16,44646.64,,,,,,393.33,,469.66,551.56,1301.05,999.38
Active Total Throughput (tokens/sec),36100.41,55.89,297654.93,,,,,,35901.02,,41983.99,45222.00,86532.39,14265.87
Credit Drop Latency (ms),1.30,0.30,9.53,222.63,0.39,0.47,0.53,0.60,0.97,1.31,2.11,3.19,7.91,1.37
Credit-to-Start Latency (ms),1.18,0.44,15.14,1330.40,0.48,0.56,0.61,0.69,0.84,1.20,1.98,2.77,7.58,1.17
E2E Output Token Throughput (tokens/sec/user),4.66,0.01,61.51,5239.65,0.08,0.32,0.63,1.11,2.56,5.46,10.77,16.14,33.08,6.43
Effective Concurrency,94.08,0.00,113.00,,,,,,99.00,,110.00,111.00,112.00,20.24
Effective Decode Concurrency,9.72,0.00,19.00,,,,,,9.00,,13.00,15.00,17.00,2.84
Effective Decode Throughput (tokens/sec),471.73,0.00,5464.24,,,,,,491.35,,671.64,736.10,820.02,180.24
Effective Decode Throughput Per User (tokens/sec/user),48.97,0.00,683.03,,,,,,52.97,,60.78,63.37,70.11,15.50
Effective Latency (CO-aware) (ms),154012.17,4904.77,1212965.61,173109682.99,14007.17,72062.64,117485.14,139784.76,152139.16,173879.17,193085.93,204350.07,296922.06,53209.54
Effective Prefill Concurrency,84.36,0.00,103.00,,,,,,88.00,,99.00,100.00,101.00,18.80
Effective Prefill Throughput (tokens/sec),35418.36,0.00,297548.58,,,,,,35327.39,,41375.21,44745.69,86053.26,14468.16
Effective Prefill Throughput Per User (tokens/sec/user),462.20,0.00,44646.64,,,,,,392.67,,469.66,549.94,1301.05,995.80
Effective Total Throughput (tokens/sec),35890.10,0.00,297654.93,,,,,,35837.70,,41964.74,45175.22,86532.39,14487.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,307.12,1.00,21094.00,345206.00,6.00,18.30,38.00,64.00,136.00,291.25,614.70,953.60,2625.24,823.61
HTTP Chunks Sent,1.00,1.00,1.00,1124.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,2.01,41.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.19
HTTP Connection Overhead (ms),0.05,0.00,3.17,59.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.31
HTTP Connection Reused (ratio),0.95,0.00,1.00,1068.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),87.16,1.04,5964.99,97966.80,2.25,5.67,11.44,18.85,39.39,83.11,173.59,266.53,734.76,231.82
HTTP Data Sent (KB),224.10,0.66,532.56,251893.56,1.97,11.68,46.55,115.00,215.70,320.47,397.92,450.59,509.48,129.99
HTTP DNS Lookup (ms),0.02,0.00,1.16,18.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.12
HTTP Duration (excl. conn) (ms),154010.93,4904.07,1212965.01,173108283.02,14006.46,72061.93,117484.31,139784.02,152138.44,173877.99,193085.23,204347.66,296921.15,53209.47
HTTP Receiving (ms),15960.43,0.00,1088586.99,17939523.67,400.88,1250.28,2017.15,3411.14,7262.11,15694.43,31564.90,47998.72,133510.51,42393.37
HTTP Sending (ms),0.18,0.06,2.25,200.23,0.09,0.11,0.11,0.12,0.14,0.16,0.17,0.51,1.48,0.20
HTTP Total Time (ms),154010.98,4904.07,1212965.01,173108342.65,14006.46,72061.93,117484.31,139784.02,152138.44,173877.99,193085.23,204347.66,296921.15,53209.47
HTTP Waiting (TTFB) (ms),138050.32,327.38,197585.37,155168559.12,2971.50,60200.18,106714.36,130646.32,142028.96,153403.42,176545.51,183359.68,191910.53,34374.88
Input Sequence Length (tokens),57980.27,152.00,137964.00,65169827.00,469.23,2968.15,12155.30,29525.50,56076.00,82936.50,102694.90,116585.60,131973.92,33655.19
Inter Chunk Latency (ms),52.01,3.63,21642.87,17881957.79,37.47,40.88,41.98,43.95,47.22,48.79,51.84,60.27,227.54,58.36
Inter Token Latency (ms),21.95,12.17,220.08,24651.97,13.79,15.88,17.06,18.82,20.85,23.09,26.23,29.96,44.41,8.73
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),773.23,1.00,59725.00,869116.00,12.00,45.00,95.00,157.00,362.50,769.75,1584.30,2331.35,5999.40,2182.68
Output Token Count (tokens),1071.53,5.00,58786.00,492906.00,13.18,42.85,78.90,188.50,406.00,1025.00,2061.20,3283.95,12203.16,3189.80
Output Token Throughput Per User (tokens/sec/user),48.08,4.54,82.19,53993.27,22.53,33.38,38.12,43.31,47.96,53.14,58.63,62.96,72.51,9.09
Prefill Throughput Per User (tokens/sec/user),825.44,1.41,65471.71,927799.05,3.38,22.23,116.22,213.22,409.24,614.36,817.93,1072.05,11085.33,3518.67
Reasoning Token Count (tokens),334.71,0.00,6407.00,376210.00,0.00,0.00,0.00,59.50,196.00,455.50,799.70,1124.00,1874.48,431.73
Request Latency (ms),154010.50,4904.13,1212965.06,173107805.78,14006.51,72062.00,117484.38,139784.08,152138.50,173878.05,193085.29,204347.72,296921.20,53209.49
Requested OSL (tokens),773.23,1.00,59725.00,869116.00,12.00,45.00,95.00,157.00,362.50,769.75,1584.30,2331.35,5999.40,2182.68
Time to First Output Token (ms),143640.83,3016.66,214040.93,66074781.07,7492.21,66795.87,108053.95,135304.69,147092.58,164603.74,182491.52,188968.25,199341.72,36450.91
Time to First Token (ms),138101.29,327.58,197585.64,155225847.99,3244.44,60327.44,106714.80,130733.06,142142.75,153598.05,176545.71,183359.92,192081.10,34372.32
Time to Second Token (ms),158.65,7.22,720.91,178165.03,9.91,28.38,38.13,49.03,139.09,240.65,307.12,357.13,491.65,115.33
Tokens In Flight (tokens),5513415.79,0.00,6419550.79,,,,,,5735471.34,,6192639.13,6251099.56,6371926.54,1075323.49
Usage Completion Tokens (tokens),773.23,1.00,59725.00,869116.00,12.00,45.00,95.00,157.00,362.50,769.75,1584.30,2331.35,5999.40,2182.68
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),57980.27,152.00,137964.00,65169827.00,469.23,2968.15,12155.30,29525.50,56076.00,82936.50,102694.90,116585.60,131973.92,33655.19
Usage Reasoning Tokens (tokens),334.71,0.00,6407.00,376210.00,0.00,0.00,0.00,59.50,196.00,455.50,799.70,1124.00,1874.48,431.73
Usage Total Tokens (tokens),58753.51,197.00,138061.00,66038943.00,487.00,4190.15,13170.50,30150.75,57010.50,84096.25,103936.40,117200.10,132760.10,33803.92

Metric,Value
Benchmark Duration (sec),1829.28
Input Token Throughput (tokens/sec),35418.36
Maximum Response Timestamp (ns),1789658715520324608.00
Minimum Request Timestamp (ns),1789656886238552832.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),472.35
Request Count,1124.00
Request Throughput (requests/sec),0.61
Theoretical Prefix Cache Hit (%),94.10
Total Input Sequence Length (tokens),65169827.00
Total Output Sequence Length (tokens),869116.00
Total Output Tokens (tokens),492906.00
Total Reasoning Tokens (tokens),376210.00
Total Token Throughput (tokens/sec),35890.71
Total Usage Completion Tokens (tokens),869116.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),65169827.00
Total Usage Reasoning Tokens (tokens),376210.00
Total Usage Total Tokens (tokens),66038943.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
