Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),168.84,0.00,20386.22,,,,,,164.13,,283.50,314.45,379.08,77.01
Active Decode Throughput Per User (tokens/sec/user),82.45,0.00,12082.63,,,,,,81.77,,102.97,106.91,130.20,18.99
Active Prefill Throughput (tokens/sec),8258.91,70.19,34870.80,,,,,,8447.72,,12634.84,16809.64,27407.65,4696.43
Active Prefill Throughput Per User (tokens/sec/user),94.06,51.71,5932.92,,,,,,72.51,,131.94,188.87,371.50,113.15
Active Total Throughput (tokens/sec),8363.25,94.25,34959.15,,,,,,8565.76,,12790.33,16990.65,27491.12,4706.43
Credit Drop Latency (ms),1.00,0.50,4.40,85.65,0.50,0.51,0.53,0.59,1.05,1.22,1.42,1.62,2.40,0.52
Credit-to-Start Latency (ms),1.12,0.52,9.76,325.40,0.57,0.62,0.65,0.72,0.86,1.35,1.63,1.95,4.63,0.80
E2E Output Token Throughput (tokens/sec/user),2.29,0.01,84.93,664.54,0.02,0.14,0.17,0.29,0.78,1.65,3.39,8.19,24.11,7.18
Effective Concurrency,92.65,0.00,124.00,,,,,,107.00,,122.00,122.00,123.00,35.17
Effective Decode Concurrency,1.69,0.00,7.00,,,,,,1.00,,4.00,4.00,5.00,1.39
Effective Decode Throughput (tokens/sec),130.39,0.00,20386.22,,,,,,117.08,,255.55,305.44,358.43,97.95
Effective Decode Throughput Per User (tokens/sec/user),63.68,0.00,12082.63,,,,,,76.13,,100.17,105.16,129.59,38.39
Effective Latency (CO-aware) (ms),587864.03,10100.44,808811.93,170480568.58,32617.67,123291.57,244912.80,634195.01,666738.53,683294.71,700362.25,711743.21,744755.08,182561.84
Effective Prefill Concurrency,90.96,0.00,122.00,,,,,,106.00,,120.00,121.00,122.00,35.01
Effective Prefill Throughput (tokens/sec),8183.64,0.00,34870.80,,,,,,8445.81,,12463.61,16809.64,27407.65,4740.40
Effective Prefill Throughput Per User (tokens/sec/user),93.20,0.00,5932.92,,,,,,72.39,,131.61,188.87,371.50,112.98
Effective Total Throughput (tokens/sec),8314.04,0.00,34959.15,,,,,,8562.04,,12732.64,16990.65,27491.12,4735.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,322.14,5.00,5273.00,93422.00,5.89,37.45,43.90,68.25,171.00,361.25,641.00,864.95,3506.99,578.34
HTTP Chunks Sent,1.00,1.00,1.00,290.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,2.19,53.23,0.00,0.00,0.00,0.00,0.00,0.35,0.71,0.84,1.74,0.35
HTTP Connection Overhead (ms),0.26,0.00,4.03,75.25,0.00,0.00,0.00,0.00,0.00,0.35,1.08,1.29,3.15,0.58
HTTP Connection Reused (ratio),0.69,0.00,1.00,201.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),91.36,2.17,1479.03,26494.88,2.45,11.18,12.94,19.93,49.36,102.96,180.02,245.41,993.19,162.06
HTTP Data Sent (KB),200.65,0.66,532.56,58189.83,7.07,11.43,13.21,103.35,183.03,294.23,395.59,459.01,502.40,135.09
HTTP DNS Lookup (ms),0.08,0.00,1.83,22.02,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.48,1.41,0.24
HTTP Duration (excl. conn) (ms),587862.85,10099.70,808806.88,170480225.46,32616.93,123290.92,244911.90,634193.95,666737.09,683292.69,700360.76,711741.86,744754.27,182561.68
HTTP Receiving (ms),10732.94,106.62,178176.05,3112551.54,178.18,1239.22,1450.05,2271.28,5710.07,11516.41,20592.16,29050.55,114423.78,19300.04
HTTP Sending (ms),0.34,0.11,2.37,97.26,0.12,0.12,0.13,0.14,0.16,0.50,0.87,1.01,1.89,0.35
HTTP Total Time (ms),587863.11,10099.70,808806.88,170480300.71,32616.93,123292.20,244911.93,634194.83,666737.25,683292.69,700361.08,711742.03,744754.27,182561.64
HTTP Waiting (TTFB) (ms),577129.57,524.20,710959.19,167367576.65,23439.53,109056.74,240720.56,626477.47,657780.94,674002.29,689551.30,696473.94,705356.38,181986.29
Input Sequence Length (tokens),51923.89,151.00,137964.00,15057929.00,1755.90,2930.00,3597.50,26637.25,47151.50,76226.00,102321.50,119123.65,129266.48,34949.37
Inter Chunk Latency (ms),33.38,0.20,6115.19,3106259.88,25.52,27.45,27.72,30.51,33.95,35.09,37.59,38.49,58.15,21.33
Inter Token Latency (ms),13.37,7.65,22.32,3878.10,8.66,9.63,10.58,11.92,13.43,14.62,16.09,17.30,19.47,2.29
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),828.32,9.00,13051.00,240214.00,13.78,91.45,104.00,165.50,433.00,934.25,1558.90,2383.85,9602.60,1555.15
Output Token Count (tokens),992.68,1.00,12544.00,132026.00,7.92,35.60,99.20,169.00,408.00,904.00,2129.60,2955.00,11818.56,1941.71
Output Token Throughput Per User (tokens/sec/user),77.06,44.80,130.78,22346.93,51.37,57.81,62.15,68.39,74.46,83.91,94.50,103.84,115.54,13.79
Prefill Throughput Per User (tokens/sec/user),198.14,0.22,6216.44,57460.39,2.59,4.51,6.95,38.82,84.14,144.51,277.09,578.51,2977.12,591.67
Reasoning Token Count (tokens),373.06,0.00,4516.00,108188.00,0.00,0.00,0.00,86.50,212.50,516.00,880.10,1131.70,1956.08,469.20
Request Latency (ms),587862.53,10099.76,808806.94,170480132.31,32616.99,123290.98,244911.97,634194.02,666737.15,683292.75,700360.82,711741.93,744754.33,182561.49
Requested OSL (tokens),828.32,9.00,13051.00,240214.00,13.78,91.45,104.00,165.50,433.00,934.25,1558.90,2383.85,9602.60,1555.15
Time to First Output Token (ms),565081.58,11365.64,711006.88,74590767.91,15918.01,66816.92,193987.09,540088.24,664984.57,678800.98,696611.46,701700.29,707060.11,199749.36
Time to First Token (ms),577151.28,524.48,710959.73,167373872.43,23625.79,109057.74,240851.15,626477.75,657825.94,674002.60,689551.54,696571.04,705388.06,181977.24
Time to Second Token (ms),58.58,0.20,280.68,16989.17,6.70,13.55,18.57,27.55,35.10,81.69,122.95,145.48,217.74,46.68
Tokens In Flight (tokens),4645415.48,0.00,6099342.03,,,,,,5598983.26,,5998925.79,6052857.00,6079006.27,1765035.08
Usage Completion Tokens (tokens),828.32,9.00,13051.00,240214.00,13.78,91.45,104.00,165.50,433.00,934.25,1558.90,2383.85,9602.60,1555.15
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),51923.89,151.00,137964.00,15057929.00,1755.90,2930.00,3597.50,26637.25,47151.50,76226.00,102321.50,119123.65,129266.48,34949.37
Usage Reasoning Tokens (tokens),373.06,0.00,4516.00,108188.00,0.00,0.00,0.00,86.50,212.50,516.00,880.10,1131.70,1956.08,469.20
