Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),535.97,0.00,12996.36,,,,,,565.91,,721.55,775.86,852.36,176.84
Active Decode Throughput Per User (tokens/sec/user),52.92,0.00,1852.86,,,,,,54.42,,62.34,67.93,85.26,13.38
Active Prefill Throughput (tokens/sec),38030.47,262.86,325026.44,,,,,,36859.08,,43928.63,46800.56,84778.16,14068.37
Active Prefill Throughput Per User (tokens/sec/user),497.39,262.86,43979.23,,,,,,421.27,,546.50,571.63,1304.28,1014.75
Active Total Throughput (tokens/sec),36993.93,67.33,325165.45,,,,,,37281.53,,44335.26,46858.48,85251.61,15753.97
Credit Drop Latency (ms),1.30,0.38,9.68,230.97,0.45,0.50,0.53,0.61,0.98,1.39,2.24,3.07,7.89,1.34
Credit-to-Start Latency (ms),1.22,0.45,12.75,1536.13,0.52,0.60,0.64,0.73,0.88,1.27,2.05,2.93,6.77,1.08
E2E Output Token Throughput (tokens/sec/user),4.99,0.01,53.42,6271.19,0.08,0.38,0.68,1.20,2.67,5.62,11.32,17.47,39.43,6.96
Effective Concurrency,51.23,0.00,113.00,,,,,,72.00,,109.00,111.00,112.00,49.11
Effective Decode Concurrency,5.85,0.00,20.00,,,,,,8.00,,13.00,14.00,17.00,5.62
Effective Decode Throughput (tokens/sec),300.85,0.00,12996.36,,,,,,250.85,,670.39,731.16,834.06,297.13
Effective Decode Throughput Per User (tokens/sec/user),29.71,0.00,1852.86,,,,,,43.79,,59.76,62.85,84.61,28.11
Effective Latency (CO-aware) (ms),146841.18,3569.58,1393231.50,184432517.30,16897.65,81479.54,112783.06,131354.17,146220.76,161625.83,175558.20,189439.23,268343.32,67255.71
Effective Prefill Concurrency,45.38,0.00,107.00,,,,,,64.00,,97.00,98.00,100.00,43.80
Effective Prefill Throughput (tokens/sec),20468.08,0.00,325026.44,,,,,,31812.67,,41700.50,44189.96,74988.10,21586.78
Effective Prefill Throughput Per User (tokens/sec/user),267.70,0.00,43979.23,,,,,,376.00,,484.10,549.69,1031.59,784.66
Effective Total Throughput (tokens/sec),20768.93,0.00,325165.45,,,,,,32376.80,,42337.43,44772.11,75350.39,21824.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,341.67,1.00,25705.00,429138.00,5.55,23.00,38.00,64.75,138.00,296.50,621.50,972.75,2895.30,1248.48
HTTP Chunks Sent,1.00,1.00,1.00,1256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,2.54,49.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.24
HTTP Connection Overhead (ms),0.06,0.00,4.38,77.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,0.42
HTTP Connection Reused (ratio),0.96,0.00,1.00,1201.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),96.87,1.04,7171.63,121672.72,2.20,7.32,11.55,18.87,39.66,84.58,175.27,273.92,804.82,349.63
HTTP Data Sent (KB),226.75,0.66,532.56,284802.04,2.00,11.80,71.22,119.48,215.70,323.32,400.62,451.60,508.62,129.36
HTTP DNS Lookup (ms),0.02,0.00,1.90,28.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.18
HTTP Duration (excl. conn) (ms),146839.89,3568.74,1393230.84,184430900.37,16896.69,81478.71,112781.92,131353.43,146219.70,161625.10,175557.44,189437.10,268340.16,67255.68
HTTP Receiving (ms),16788.35,0.00,1241086.33,21086169.32,318.97,1095.68,1882.89,3187.51,6834.73,14742.37,31059.86,48462.42,142462.81,60679.33
HTTP Sending (ms),0.19,0.06,3.26,241.35,0.10,0.11,0.12,0.13,0.14,0.16,0.19,0.49,1.91,0.26
HTTP Total Time (ms),146839.95,3568.74,1393230.84,184430978.26,16896.69,81478.71,112781.92,131353.43,146219.70,161625.10,175557.44,189437.10,268340.16,67255.68
HTTP Waiting (TTFB) (ms),130051.35,331.66,175725.19,163344489.70,3351.03,67851.33,98509.85,122556.88,135185.55,148681.72,157358.46,162259.46,168662.22,29848.31
Input Sequence Length (tokens),58666.48,151.00,137963.00,73685093.00,472.10,2970.00,18628.50,30852.00,56075.00,83754.75,103723.00,117185.50,131146.60,33494.63
Inter Chunk Latency (ms),49.24,0.00,26549.29,21055633.91,31.45,40.17,41.15,43.55,46.70,48.54,50.61,57.12,138.14,64.40
Inter Token Latency (ms),20.21,12.12,68.86,25367.72,13.66,15.21,16.38,18.00,19.70,21.46,23.75,26.25,37.03,4.25
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),863.31,1.00,59903.00,1084314.00,12.00,53.50,95.00,157.00,358.50,775.00,1603.50,2447.50,6681.75,3053.46
Output Token Count (tokens),1298.98,2.00,59903.00,639100.00,10.73,40.10,94.10,188.50,439.00,988.50,2259.30,3794.15,12360.52,4665.03
Output Token Throughput Per User (tokens/sec/user),51.07,14.52,82.52,64091.31,27.02,38.10,42.10,46.60,50.76,55.55,61.07,65.77,73.21,8.38
Prefill Throughput Per User (tokens/sec/user),841.58,1.56,56380.45,1057023.86,3.52,24.63,148.79,235.19,433.73,656.46,871.13,1112.91,12757.76,3432.33
Reasoning Token Count (tokens),354.47,0.00,5517.00,445214.00,0.00,0.00,0.00,83.50,221.00,465.00,845.00,1167.75,1975.90,458.28
Request Latency (ms),146839.43,3568.81,1393230.90,184430319.08,16896.75,81478.77,112781.99,131353.49,146219.76,161625.17,175557.50,189437.15,268340.23,67255.77
Requested OSL (tokens),863.31,1.00,59903.00,1084314.00,12.00,53.50,95.00,157.00,358.50,775.00,1603.50,2447.50,6681.75,3053.46
Time to First Output Token (ms),137545.64,2349.97,243817.27,67672456.75,6145.42,82581.67,111276.81,126658.80,142305.71,155034.68,166690.44,173023.56,191569.17,31138.22
Time to First Token (ms),130075.39,331.87,175725.43,163374685.17,3426.77,67851.58,98526.08,122557.07,135185.76,148681.89,157358.68,162259.69,168734.48,29848.67
Time to Second Token (ms),116.08,7.86,12263.96,145676.97,10.61,26.98,34.52,46.82,87.23,132.87,177.13,198.58,257.44,412.89
Tokens In Flight (tokens),3046641.88,0.00,6391236.68,,,,,,4849853.50,,6132311.68,6256275.09,6348307.12,2889982.10
Usage Completion Tokens (tokens),863.31,1.00,59903.00,1084314.00,12.00,53.50,95.00,157.00,358.50,775.00,1603.50,2447.50,6681.75,3053.46
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),58666.48,151.00,137963.00,73685093.00,472.10,2970.00,18628.50,30852.00,56075.00,83754.75,103723.00,117185.50,131146.60,33494.63
Usage Reasoning Tokens (tokens),354.47,0.00,5517.00,445214.00,0.00,0.00,0.00,83.50,221.00,465.00,845.00,1167.75,1975.90,458.28
