Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),458.73,0.00,38851.83,,,,,,497.58,,600.50,636.76,722.43,303.40
Active Decode Throughput Per User (tokens/sec/user),58.23,0.00,5550.26,,,,,,57.92,,68.00,74.75,81.47,33.19
Active Prefill Throughput (tokens/sec),44157.56,2394.71,187078.74,,,,,,42494.52,,65292.38,78068.56,120049.09,19443.01
Active Prefill Throughput Per User (tokens/sec/user),4792.65,1268.49,94996.21,,,,,,4150.86,,7877.93,10176.13,16704.65,3014.63
Active Total Throughput (tokens/sec),37869.03,53.57,187521.55,,,,,,38481.29,,63435.91,74976.03,113257.83,24000.61
Credit Drop Latency (ms),2.20,0.46,19.20,167.21,0.47,0.52,0.56,0.71,1.49,2.48,4.61,6.16,10.92,2.60
Credit-to-Start Latency (ms),1.29,0.46,19.77,1453.82,0.55,0.64,0.68,0.75,0.86,1.21,2.20,3.15,6.97,1.50
E2E Output Token Throughput (tokens/sec/user),19.52,0.07,63.04,22035.01,0.66,2.82,4.51,7.93,15.92,28.83,40.32,46.10,55.39,13.83
Effective Concurrency,16.50,0.00,24.00,,,,,,18.00,,22.00,23.00,24.00,6.36
Effective Decode Concurrency,8.14,0.00,15.00,,,,,,9.00,,11.00,12.00,13.00,2.88
Effective Decode Throughput (tokens/sec),458.45,0.00,38851.83,,,,,,497.53,,600.48,636.75,722.43,303.52
Effective Decode Throughput Per User (tokens/sec/user),58.19,0.00,5550.26,,,,,,57.91,,67.99,74.75,81.47,33.21
Effective Latency (CO-aware) (ms),31783.47,1342.62,1128224.15,35883532.09,5802.56,9190.78,11471.31,16541.09,22789.39,32881.42,48183.86,65693.02,158767.89,58714.80
Effective Prefill Concurrency,8.37,0.00,15.00,,,,,,10.00,,12.00,13.00,14.00,4.03
Effective Prefill Throughput (tokens/sec),37401.09,0.00,187078.74,,,,,,37857.45,,62979.26,74548.17,112780.00,23935.08
