Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),173.76,0.00,2199.27,,,,,,162.60,,283.53,299.84,332.47,73.19
Active Decode Throughput Per User (tokens/sec/user),77.25,0.00,733.09,,,,,,76.75,,90.94,101.24,115.44,13.12
Active Prefill Throughput (tokens/sec),7689.39,262.24,28899.86,,,,,,7737.39,,9016.98,11376.56,20648.37,3018.23
Active Prefill Throughput Per User (tokens/sec/user),215.93,181.77,6551.16,,,,,,199.44,,215.53,264.57,558.06,123.76
Active Total Throughput (tokens/sec),6822.84,73.60,28899.86,,,,,,7767.10,,8651.03,10547.63,20720.60,3836.54
Credit Drop Latency (ms),1.16,0.52,3.10,24.27,0.53,0.54,0.58,0.70,0.99,1.36,1.78,1.91,2.86,0.60
Credit-to-Start Latency (ms),1.17,0.53,8.06,287.85,0.55,0.60,0.68,0.74,0.90,1.19,1.94,2.48,5.38,0.91
E2E Output Token Throughput (tokens/sec/user),3.74,0.02,66.83,920.31,0.04,0.24,0.30,0.51,1.10,3.42,6.70,14.13,48.49,8.23
Effective Concurrency,23.24,0.00,46.00,,,,,,38.00,,43.00,45.00,46.00,19.98
Effective Decode Concurrency,1.51,0.00,6.00,,,,,,1.00,,4.00,4.00,5.00,1.47
Effective Decode Throughput (tokens/sec),110.67,0.00,2199.27,,,,,,91.07,,269.17,289.44,322.23,101.95
Effective Decode Throughput Per User (tokens/sec/user),49.20,0.00,733.09,,,,,,68.68,,86.49,93.26,110.95,38.59
Effective Latency (CO-aware) (ms),340128.98,9253.97,1214049.18,83671730.24,48986.92,133166.68,229644.90,324275.96,351542.03,373603.78,394007.91,408402.23,869195.75,120985.87
Effective Prefill Concurrency,21.73,0.00,45.00,,,,,,35.00,,42.00,43.00,45.00,19.15
Effective Prefill Throughput (tokens/sec),4603.63,0.00,28899.86,,,,,,6940.69,,8377.19,9391.08,18034.68,4433.92
Effective Prefill Throughput Per User (tokens/sec/user),129.27,0.00,6551.16,,,,,,189.55,,205.75,233.94,478.25,142.73
Effective Total Throughput (tokens/sec),4714.30,0.00,28899.86,,,,,,7264.63,,8452.20,9471.62,18115.22,4484.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,657.50,5.00,25286.00,161746.00,7.00,31.00,42.50,60.00,132.00,383.25,905.50,1567.50,14949.65,2703.05
HTTP Chunks Sent,1.00,1.00,1.00,246.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,2.45,17.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,1.89,0.32
HTTP Connection Overhead (ms),0.11,0.00,4.35,27.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,3.34,0.54
HTTP Connection Reused (ratio),0.93,0.00,1.00,228.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.26
HTTP Data Received (KB),185.18,1.87,7085.46,45553.68,2.56,9.41,12.76,17.72,38.04,109.95,253.48,439.55,4189.40,756.76
HTTP Data Sent (KB),260.11,1.36,516.06,63985.97,11.20,71.03,82.26,170.13,261.35,354.10,408.05,449.97,507.07,121.63
HTTP DNS Lookup (ms),0.04,0.00,1.90,9.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.23
HTTP Duration (excl. conn) (ms),340127.75,9253.19,1214048.44,83671426.32,48985.65,133165.44,229643.92,324275.25,351540.40,373602.85,394006.98,408400.43,869195.10,120985.83
HTTP Receiving (ms),22090.67,197.75,858462.93,5434304.79,248.02,1045.22,1472.04,2089.05,4232.99,12985.36,30625.90,53341.70,517884.85,90851.42
HTTP Sending (ms),0.23,0.12,2.65,56.28,0.12,0.12,0.13,0.14,0.15,0.17,0.24,0.54,2.07,0.32
HTTP Total Time (ms),340127.86,9253.19,1214048.44,83671453.34,48985.65,133165.44,229643.92,324275.25,351540.40,373602.85,394006.98,408400.43,869195.10,120985.83
HTTP Waiting (TTFB) (ms),318036.85,6789.18,411352.99,78237065.25,29445.29,103488.30,218063.53,313515.18,341113.25,360266.51,372439.33,381536.97,393659.24,77731.75
Input Sequence Length (tokens),67370.23,346.00,132963.00,16573076.00,2966.45,18703.75,21367.00,44503.00,67648.50,91971.25,106025.50,115441.00,130711.00,31416.78
Inter Chunk Latency (ms),33.63,0.00,225.06,5428782.55,26.62,27.64,27.90,30.94,34.55,35.14,36.66,38.58,43.47,6.50
Inter Token Latency (ms),13.38,8.62,25.68,3291.41,8.77,9.47,10.24,11.78,13.58,14.73,15.94,17.20,19.57,2.38
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1620.52,7.00,59903.00,398649.00,12.45,86.50,102.00,155.50,345.00,1039.00,2182.00,3580.75,36183.85,6465.41
Output Token Count (tokens),2923.14,7.00,59371.00,309853.00,12.35,42.25,82.50,189.50,619.50,1452.50,3230.50,10234.50,58335.90,9392.11
Output Token Throughput Per User (tokens/sec/user),77.13,38.95,116.04,18973.32,51.10,58.16,62.74,67.88,73.63,84.91,97.61,105.56,114.02,13.94
Prefill Throughput Per User (tokens/sec/user),295.29,1.01,6551.16,72642.18,8.03,61.02,69.62,141.02,211.31,282.23,351.32,673.56,1899.88,552.50
Reasoning Token Count (tokens),360.96,0.00,3055.00,88796.00,0.00,0.00,0.00,72.00,190.00,446.00,1006.00,1274.75,2326.90,475.59
Request Latency (ms),340127.52,9253.26,1214048.50,83671369.89,48985.74,133165.51,229644.00,324275.31,351540.46,373602.91,394007.04,408400.50,869195.16,120986.03
Requested OSL (tokens),1620.52,7.00,59903.00,398649.00,12.45,86.50,102.00,155.50,345.00,1039.00,2182.00,3580.75,36183.85,6465.41
Time to First Output Token (ms),325313.67,24790.63,396085.79,34483249.40,47363.73,108098.03,260085.55,324384.10,348729.68,366679.23,373816.17,381707.41,384343.33,76836.90
Time to First Token (ms),318059.30,6789.49,411353.23,78242587.33,29445.61,103568.83,218063.83,313662.40,341113.45,360266.72,372480.76,381655.86,393659.44,77730.50
Time to Second Token (ms),63.90,2.85,182.08,15718.97,6.95,17.86,25.13,33.05,56.47,90.06,121.62,132.70,167.93,38.54
Tokens In Flight (tokens),1570944.97,0.00,3084927.09,,,,,,2504667.65,,2922913.73,2982890.84,3075938.24,1340110.15
Usage Completion Tokens (tokens),1620.52,7.00,59903.00,398649.00,12.45,86.50,102.00,155.50,345.00,1039.00,2182.00,3580.75,36183.85,6465.41
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),67370.23,346.00,132963.00,16573076.00,2966.45,18703.75,21367.00,44503.00,67648.50,91971.25,106025.50,115441.00,130711.00,31416.78
Usage Reasoning Tokens (tokens),360.96,0.00,3055.00,88796.00,0.00,0.00,0.00,72.00,190.00,446.00,1006.00,1274.75,2326.90,475.59
Usage Total Tokens (tokens),68990.75,357.00,132982.00,16971725.00,3994.35,18844.75,21487.00,47120.00,70471.50,92786.25,107946.00,116488.25,130986.15,31403.93

Metric,Value
Benchmark Duration (sec),2487.45
Input Token Throughput (tokens/sec),4603.63
Maximum Response Timestamp (ns),1790043859797423104.00
Minimum Request Timestamp (ns),1790041372346924032.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),110.74
Request Count,246.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.07
Total Input Sequence Length (tokens),16573076.00
Total Output Sequence Length (tokens),398649.00
Total Output Tokens (tokens),309853.00
Total Reasoning Tokens (tokens),88796.00
Total Token Throughput (tokens/sec),4714.37
Total Usage Completion Tokens (tokens),398649.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),16573076.00
Total Usage Reasoning Tokens (tokens),88796.00
Total Usage Total Tokens (tokens),16971725.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
