Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),182.92,0.00,4820.98,,,,,,168.61,,315.05,350.63,459.69,90.96
Active Decode Throughput Per User (tokens/sec/user),86.23,0.00,2410.49,,,,,,82.13,,109.67,140.64,143.49,21.51
Active Prefill Throughput (tokens/sec),8407.35,39.80,34994.43,,,,,,8494.84,,11294.51,15311.58,23815.97,3974.64
Active Prefill Throughput Per User (tokens/sec/user),89.65,39.80,6147.26,,,,,,75.52,,111.83,163.29,360.43,99.40
Active Total Throughput (tokens/sec),8211.06,119.49,35073.10,,,,,,8613.87,,11106.52,14859.87,23895.64,4204.04
Credit Drop Latency (ms),1.00,0.40,4.02,95.28,0.47,0.51,0.55,0.61,0.88,1.24,1.59,1.77,2.79,0.53
Credit-to-Start Latency (ms),1.17,0.55,9.33,466.37,0.57,0.64,0.68,0.76,0.88,1.31,1.83,2.38,4.39,0.90
E2E Output Token Throughput (tokens/sec/user),2.07,0.01,76.13,820.99,0.02,0.13,0.16,0.29,0.75,1.58,3.08,7.01,25.55,6.16
Effective Concurrency,68.51,0.00,124.00,,,,,,95.00,,121.00,122.00,123.00,52.00
Effective Decode Concurrency,1.37,0.00,8.00,,,,,,1.00,,4.00,4.00,6.00,1.56
Effective Decode Throughput (tokens/sec),109.04,0.00,4820.98,,,,,,90.67,,269.78,322.88,427.96,113.96
Effective Decode Throughput Per User (tokens/sec/user),51.40,0.00,2410.49,,,,,,70.13,,101.36,116.16,142.64,45.45
Effective Latency (CO-aware) (ms),621263.76,9923.43,1206536.82,246641713.43,41580.22,178733.61,348677.00,651589.75,677643.17,698036.46,715571.25,723390.10,777991.61,167794.87
Effective Prefill Concurrency,67.14,0.00,122.00,,,,,,94.00,,119.00,120.00,122.00,51.44
Effective Prefill Throughput (tokens/sec),5793.77,0.00,34994.43,,,,,,8143.23,,10096.82,12609.78,22590.90,5101.89
Effective Prefill Throughput Per User (tokens/sec/user),61.78,0.00,6147.26,,,,,,72.34,,89.35,132.31,285.22,92.36
Effective Total Throughput (tokens/sec),5902.81,0.00,35073.10,,,,,,8318.47,,10096.82,12816.59,22757.97,5131.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,370.82,2.00,15516.00,147217.00,5.96,33.00,43.00,72.00,164.00,352.00,683.00,1009.20,3807.36,1000.86
HTTP Chunks Sent,1.00,1.00,1.00,397.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,2.17,56.95,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.79,1.72,0.33
HTTP Connection Overhead (ms),0.21,0.00,3.99,81.72,0.00,0.00,0.00,0.00,0.00,0.00,0.42,1.26,3.12,0.55
HTTP Connection Reused (ratio),0.77,0.00,1.00,306.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.42
